kickoff,home,away,mkt_pick,mkt_p,mdl_pick,mdl_p,mkt_on_mdlpick,opportunity,tier,elo_diff
06-17 23:00Z,Ghana,Panama,Ghana,0.44,Panama,0.57,0.28,0.295,STRONG,-207
06-19 19:00Z,USA,Australia,USA,0.59,Australia,0.38,0.18,0.204,STRONG,-62
06-27 03:00Z,Egypt,Iran,Egypt,0.42,Iran,0.43,0.27,0.161,STRONG,-98
06-28 02:00Z,Algeria,Austria,Austria,0.44,Algeria,0.42,0.26,0.151,STRONG,22
06-26 02:00Z,Paraguay,Australia,Paraguay,0.44,Australia,0.4,0.27,0.127,STRONG,-78
06-27 23:30Z,Colombia,Portugal,Portugal,0.44,Colombia,0.39,0.27,0.116,STRONG,0
06-27 23:30Z,DR Congo,Uzbekistan,DR Congo,0.41,Uzbekistan,0.41,0.3,0.104,STRONG,-83
06-26 02:00Z,Turkey,USA,USA,0.39,Turkey,0.42,0.34,0.076,LEAN,26
06-27 00:00Z,Cape Verde,Saudi Arabia,Cape Verde,0.38,Saudi Arabia,0.39,0.35,0.04,slight,-70
06-25 23:00Z,Japan,Sweden,Japan,0.45,Japan,0.66,0.45,0.214,CONSENSUS,215
06-27 21:00Z,Croatia,Ghana,Croatia,0.57,Croatia,0.77,0.57,0.195,CONSENSUS,313
06-22 17:00Z,Argentina,Austria,Argentina,0.59,Argentina,0.74,0.59,0.158,CONSENSUS,289
06-23 20:00Z,England,Ghana,England,0.72,England,0.86,0.72,0.137,CONSENSUS,425
06-18 19:00Z,Switzerland,Bosnia & Herzegovina,Switzerland,0.61,Switzerland,0.73,0.61,0.125,CONSENSUS,276
06-21 22:00Z,Uruguay,Cape Verde,Uruguay,0.66,Uruguay,0.76,0.66,0.101,CONSENSUS,309
06-20 17:00Z,Netherlands,Sweden,Netherlands,0.57,Netherlands,0.66,0.57,0.093,CONSENSUS,214
06-24 02:00Z,Colombia,DR Congo,Colombia,0.65,Colombia,0.73,0.65,0.079,CONSENSUS,274
06-17 01:00Z,Argentina,Algeria,Argentina,0.69,Argentina,0.72,0.69,0.036,CONSENSUS,266
