kickoff,match,consensus,cons_ev,cheapest_contrarian,cheap_ev_cost,model_lean,model_pick,model_ev_cost,host
06-16 19:00Z,France v Senegal,2-0 (France),1.062,1-1 (Draw),0.552,France,,,
06-16 22:00Z,Iraq v Norway,0-2 (Norway),1.259,1-1 (Draw),0.924,Norway,,,
06-17 01:00Z,Argentina v Algeria,2-0 (Argentina),1.126,1-1 (Draw),0.639,Argentina,,,
06-17 04:00Z,Austria v Jordan,2-0 (Austria),1.126,1-1 (Draw),0.694,Austria,,,
06-17 17:00Z,Portugal v DR Congo,2-0 (Portugal),1.187,1-1 (Draw),0.776,Portugal,,,
06-17 20:00Z,England v Croatia,2-0 (England),0.924,1-1 (Draw),0.333,England,,,
06-17 23:00Z,Ghana v Panama,1-0 (Ghana),0.75,1-1 (Draw),0.099,Panama,0-1 (Panama),0.245,
06-18 02:00Z,Uzbekistan v Colombia,0-2 (Colombia),1.132,1-1 (Draw),0.649,Colombia,,,
06-18 16:00Z,Czech Republic v South Africa,2-0 (Czech Republic),0.893,1-1 (Draw),0.297,Czech Republic,,,
06-18 19:00Z,Switzerland v Bosnia & Herzegovina,2-0 (Switzerland),1.002,1-1 (Draw),0.444,Switzerland,,,
06-18 22:00Z,Canada v Qatar,2-0 (Canada),1.209,1-1 (Draw),0.796,Canada,,,host
06-19 01:00Z,Mexico v South Korea,1-0 (Mexico),0.827,1-1 (Draw),0.179,Mexico,,,host
06-19 19:00Z,United States v Australia,2-0 (United States),0.963,1-1 (Draw),0.409,Australia,1-2 (Australia),0.636,host
06-19 22:00Z,Scotland v Morocco,0-2 (Morocco),0.917,1-1 (Draw),0.312,Morocco,,,
06-20 01:00Z,Brazil v Haiti,2-0 (Brazil),1.263,1-1 (Draw),1.02,Brazil,,,
06-20 03:00Z,Turkey v Paraguay,2-0 (Turkey),0.787,1-1 (Draw),0.151,Turkey,,,
06-20 17:00Z,Netherlands v Sweden,2-0 (Netherlands),0.924,1-1 (Draw),0.364,Netherlands,,,
06-20 20:00Z,Germany v Ivory Coast,2-0 (Germany),0.981,1-1 (Draw),0.467,Germany,,,
06-21 00:00Z,Ecuador v Curacao,2-0 (Ecuador),1.324,1-1 (Draw),1.068,Ecuador,,,
06-21 04:00Z,Tunisia v Japan,0-2 (Japan),1.047,1-1 (Draw),0.503,Japan,,,
06-21 16:00Z,Spain v Saudi Arabia,2-0 (Spain),1.328,1-1 (Draw),1.072,Spain,,,
06-21 19:00Z,Belgium v Iran,2-0 (Belgium),1.108,1-1 (Draw),0.628,Belgium,,,
06-21 22:00Z,Uruguay v Cape Verde,2-0 (Uruguay),1.079,1-1 (Draw),0.578,Uruguay,,,
06-22 01:00Z,New Zealand v Egypt,0-2 (Egypt),0.912,1-1 (Draw),0.31,Egypt,,,
06-22 17:00Z,Argentina v Austria,2-0 (Argentina),0.962,1-1 (Draw),0.404,Argentina,,,
06-22 21:00Z,France v Iraq,2-0 (France),1.308,1-1 (Draw),1.038,France,,,
06-23 00:00Z,Norway v Senegal,2-1 (Norway),0.742,1-1 (Draw),0.125,Norway,,,
06-23 03:00Z,Jordan v Algeria,0-2 (Algeria),1.035,1-1 (Draw),0.512,Algeria,,,
06-23 17:00Z,Portugal v Uzbekistan,2-0 (Portugal),1.192,1-1 (Draw),0.811,Portugal,,,
06-23 20:00Z,England v Ghana,2-0 (England),1.143,1-1 (Draw),0.707,England,,,
06-23 23:00Z,Panama v Croatia,0-2 (Croatia),1.011,1-1 (Draw),0.461,Croatia,,,
06-24 02:00Z,Colombia v DR Congo,2-0 (Colombia),1.085,1-1 (Draw),0.555,Colombia,,,
06-24 19:00Z,Bosnia & Herzegovina v Qatar,2-0 (Bosnia & Herzegovina),1.002,1-1 (Draw),0.449,Bosnia & Herzegovina,,,
06-24 19:00Z,Switzerland v Canada,1-0 (Switzerland),0.745,1-1 (Draw),0.108,Switzerland,,,host
06-24 22:00Z,Scotland v Brazil,0-2 (Brazil),1.057,1-1 (Draw),0.561,Brazil,,,
06-24 22:00Z,Morocco v Haiti,2-0 (Morocco),1.15,1-1 (Draw),0.733,Morocco,,,
06-25 01:00Z,Czech Republic v Mexico,0-2 (Mexico),0.871,1-1 (Draw),0.263,Mexico,,,host
06-25 01:00Z,South Africa v South Korea,0-2 (South Korea),0.968,1-1 (Draw),0.407,South Korea,,,
06-25 20:00Z,Curacao v Ivory Coast,0-2 (Ivory Coast),1.247,1-1 (Draw),0.923,Ivory Coast,,,
06-25 20:00Z,Ecuador v Germany,0-2 (Germany),0.889,1-1 (Draw),0.314,Germany,,,
06-25 23:00Z,Japan v Sweden,2-0 (Japan),0.748,1-1 (Draw),0.115,Japan,,,
06-25 23:00Z,Tunisia v Netherlands,0-2 (Netherlands),1.107,1-1 (Draw),0.657,Netherlands,,,
06-26 02:00Z,Paraguay v Australia,1-0 (Paraguay),0.749,1-1 (Draw),0.095,Australia,0-1 (Australia),0.24,
06-26 02:00Z,Turkey v United States,1-2 (United States),0.664,1-1 (Draw),0.057,Turkey,2-1 (Turkey),0.07,host
06-26 19:00Z,Norway v France,0-2 (France),0.85,1-1 (Draw),0.255,France,,,
06-26 19:00Z,Senegal v Iraq,2-0 (Senegal),1.093,1-1 (Draw),0.599,Senegal,,,
06-27 00:00Z,Cape Verde v Saudi Arabia,2-1 (Cape Verde),0.642,1-1 (Draw),0.003,Saudi Arabia,1-2 (Saudi Arabia),0.045,
06-27 00:00Z,Uruguay v Spain,0-2 (Spain),0.941,1-1 (Draw),0.385,Spain,,,
06-27 03:00Z,New Zealand v Belgium,0-2 (Belgium),1.149,1-1 (Draw),0.723,Belgium,,,
