match,base,base_pexact,base_ev,chase,chase_pexact,chase_ev,changed,dPexact,dEV
France v Senegal,2-0,0.126,1.062,2-0,0.126,1.062,False,0.0,0.0
Iraq v Norway,0-2,0.142,1.259,0-2,0.142,1.259,False,0.0,0.0
Argentina v Algeria,2-0,0.138,1.126,2-0,0.138,1.126,False,0.0,0.0
Austria v Jordan,2-0,0.125,1.126,2-0,0.125,1.126,False,0.0,0.0
Portugal v DR Congo,2-0,0.137,1.187,2-0,0.137,1.187,False,0.0,0.0
England v Croatia,2-0,0.11,0.924,1-0,0.128,0.898,True,0.018,-0.027
Ghana v Panama,1-0,0.117,0.75,1-0,0.117,0.75,False,0.0,0.0
Uzbekistan v Colombia,0-2,0.138,1.132,0-2,0.138,1.132,False,0.0,0.0
Czech Republic v South Africa,2-0,0.104,0.893,1-0,0.122,0.868,True,0.018,-0.025
Switzerland v Bosnia & Herzegovina,2-0,0.121,1.002,2-0,0.121,1.002,False,0.0,0.0
Canada v Qatar,2-0,0.145,1.209,2-0,0.145,1.209,False,0.0,0.0
Mexico v South Korea,1-0,0.132,0.827,1-0,0.132,0.827,False,0.0,0.0
United States v Australia,2-0,0.111,0.963,2-0,0.111,0.963,False,0.0,0.0
Scotland v Morocco,0-2,0.111,0.917,0-1,0.134,0.9,True,0.023,-0.017
Brazil v Haiti,2-0,0.122,1.263,3-0,0.122,1.262,True,0.001,-0.0
Turkey v Paraguay,2-0,0.091,0.787,1-0,0.119,0.786,True,0.028,-0.001
Netherlands v Sweden,2-0,0.104,0.924,2-0,0.104,0.924,False,0.0,0.0
Germany v Ivory Coast,2-0,0.107,0.981,2-0,0.107,0.981,False,0.0,0.0
Ecuador v Curacao,2-0,0.146,1.324,2-0,0.146,1.324,False,0.0,0.0
Tunisia v Japan,0-2,0.129,1.047,0-2,0.129,1.047,False,0.0,0.0
Spain v Saudi Arabia,2-0,0.147,1.328,2-0,0.147,1.328,False,0.0,0.0
Belgium v Iran,2-0,0.131,1.108,2-0,0.131,1.108,False,0.0,0.0
Uruguay v Cape Verde,2-0,0.128,1.079,2-0,0.128,1.079,False,0.0,0.0
New Zealand v Egypt,0-2,0.109,0.912,0-1,0.131,0.893,True,0.022,-0.019
Argentina v Austria,2-0,0.112,0.962,2-0,0.112,0.962,False,0.0,0.0
France v Iraq,2-0,0.143,1.308,2-0,0.143,1.308,False,0.0,0.0
Norway v Senegal,2-1,0.09,0.742,1-0,0.101,0.724,True,0.01,-0.019
Jordan v Algeria,0-2,0.122,1.035,0-2,0.122,1.035,False,0.0,0.0
Portugal v Uzbekistan,2-0,0.132,1.192,2-0,0.132,1.192,False,0.0,0.0
England v Ghana,2-0,0.13,1.143,2-0,0.13,1.143,False,0.0,0.0
Panama v Croatia,0-2,0.121,1.011,0-2,0.121,1.011,False,0.0,0.0
Colombia v DR Congo,2-0,0.136,1.085,2-0,0.136,1.085,False,0.0,0.0
Bosnia & Herzegovina v Qatar,2-0,0.12,1.002,2-0,0.12,1.002,False,0.0,0.0
Switzerland v Canada,1-0,0.111,0.745,1-0,0.111,0.745,False,0.0,0.0
Scotland v Brazil,0-2,0.121,1.057,0-2,0.121,1.057,False,0.0,0.0
Morocco v Haiti,2-0,0.128,1.15,2-0,0.128,1.15,False,0.0,0.0
Czech Republic v Mexico,0-2,0.102,0.871,0-1,0.123,0.853,True,0.021,-0.018
South Africa v South Korea,0-2,0.114,0.968,0-2,0.114,0.968,False,0.0,0.0
Curacao v Ivory Coast,0-2,0.135,1.247,0-2,0.135,1.247,False,0.0,0.0
Ecuador v Germany,0-2,0.1,0.889,0-2,0.1,0.889,False,0.0,0.0
Japan v Sweden,2-0,0.084,0.748,1-0,0.11,0.746,True,0.026,-0.002
Tunisia v Netherlands,0-2,0.124,1.107,0-2,0.124,1.107,False,0.0,0.0
Paraguay v Australia,1-0,0.118,0.749,1-0,0.118,0.749,False,0.0,0.0
Turkey v United States,1-2,0.086,0.664,1-1,0.132,0.607,True,0.046,-0.057
Norway v France,0-2,0.096,0.85,0-1,0.112,0.823,True,0.016,-0.027
Senegal v Iraq,2-0,0.13,1.093,2-0,0.13,1.093,False,0.0,0.0
Cape Verde v Saudi Arabia,2-1,0.082,0.642,1-1,0.139,0.639,True,0.057,-0.003
Uruguay v Spain,0-2,0.107,0.941,0-2,0.107,0.941,False,0.0,0.0
New Zealand v Belgium,0-2,0.13,1.149,0-2,0.13,1.149,False,0.0,0.0
Egypt v Iran,1-0,0.136,0.769,1-0,0.136,0.769,False,0.0,0.0
Croatia v Ghana,2-0,0.113,0.951,1-0,0.129,0.917,True,0.015,-0.034
Panama v England,0-2,0.128,1.156,0-2,0.128,1.156,False,0.0,0.0
Colombia v Portugal,0-1,0.11,0.742,0-1,0.11,0.742,False,0.0,0.0
DR Congo v Uzbekistan,1-0,0.111,0.701,1-1,0.141,0.658,True,0.03,-0.043
Algeria v Austria,0-1,0.116,0.75,0-1,0.116,0.75,False,0.0,0.0
Jordan v Argentina,0-2,0.135,1.222,0-2,0.135,1.222,False,0.0,0.0
