match_id,commence_time,home_team,away_team,url,alt_url,match_key,match_score,is_fixture_match,link_label,seed_url,url_slug,discovered_url_count,discovered_order
czech-republic-south-africa,,Czech Republic,South Africa,https://oddspedia.com/football/czech-republic-south-africa-1869938,,1869938,25,False,Odds | Czech Republic vs South Africa odds,https://oddspedia.com/football/world/world-cup,czech-republic-south-africa,1,90
mexico-south-korea,,Mexico,South Korea,https://oddspedia.com/football/mexico-south-korea-465,,465,25,False,Odds | Mexico vs South Korea odds,https://oddspedia.com/football/world/world-cup,mexico-south-korea,1,92
switzerland-bosnia-herzegovina,,Switzerland,Bosnia Herzegovina,https://oddspedia.com/football/switzerland-bosnia-herzegovina-1001,,1001,25,False,Odds | Switzerland vs Bosnia-Herzegovina odds,https://oddspedia.com/football/world/world-cup,switzerland-bosnia-herzegovina,1,94
canada-qatar,,Canada,Qatar,https://oddspedia.com/football/canada-qatar-1023867,,1023867,25,False,Odds | Canada vs Qatar odds,https://oddspedia.com/football/world/world-cup,canada-qatar,1,96
scotland-morocco,,Scotland,Morocco,https://oddspedia.com/football/scotland-morocco-1654557,,1654557,25,False,Odds | Scotland vs Morocco odds,https://oddspedia.com/football/world/world-cup,scotland-morocco,1,98
brazil-haiti,,Brazil,Haiti,https://oddspedia.com/football/brazil-haiti-390,,390,25,False,Odds | Brazil vs Haiti odds,https://oddspedia.com/football/world/world-cup,brazil-haiti,1,100
australia-usa,,Australia,USA,https://oddspedia.com/football/australia-usa-1534707,,1534707,25,False,Odds | USA vs Australia odds,https://oddspedia.com/football/world/world-cup,australia-usa,1,102
turkey-paraguay,,Turkey,Paraguay,https://oddspedia.com/football/turkey-paraguay-1869941,,1869941,25,False,Odds | Turkey vs Paraguay odds,https://oddspedia.com/football/world/world-cup,turkey-paraguay,1,104
germany-ivory-coast,2026-06-20T20:00:00Z,Germany,Ivory Coast,https://oddspedia.com/football/ivory-coast-germany-1654563,,1654563,100,True,Odds | Germany vs Ivory Coast odds,https://oddspedia.com/football/world/world-cup,ivory-coast-germany,1,106
ecuador-curacao,2026-06-21T00:00:00Z,Ecuador,Curacao,https://oddspedia.com/football/ecuador-curacao-1654564,,1654564,100,True,Odds | Ecuador vs Curacao odds,https://oddspedia.com/football/world/world-cup,ecuador-curacao,1,108
netherlands-sweden,2026-06-20T17:00:00Z,Netherlands,Sweden,https://oddspedia.com/football/netherlands-sweden-1529,,1529,100,True,Odds | Netherlands vs Sweden odds,https://oddspedia.com/football/world/world-cup,netherlands-sweden,1,110
tunisia-japan,2026-06-21T04:00:00Z,Tunisia,Japan,https://oddspedia.com/football/japan-tunisia-957,,957,100,True,Odds | Tunisia vs Japan odds,https://oddspedia.com/football/world/world-cup,japan-tunisia,1,112
belgium-iran,2026-06-21T19:00:00Z,Belgium,Iran,https://oddspedia.com/football/iran-belgium-1654569,,1654569,100,True,Odds | Belgium vs Iran odds,https://oddspedia.com/football/world/world-cup,iran-belgium,1,114
new-zealand-egypt,2026-06-22T01:00:00Z,New Zealand,Egypt,https://oddspedia.com/football/egypt-new-zealand-1295549,,1295549,100,True,Odds | New Zealand vs Egypt odds,https://oddspedia.com/football/world/world-cup,egypt-new-zealand,1,116
spain-saudi-arabia,2026-06-21T16:00:00Z,Spain,Saudi Arabia,https://oddspedia.com/football/spain-saudi-arabia-1654576,,1654576,100,True,Odds | Spain vs Saudi Arabia odds,https://oddspedia.com/football/world/world-cup,spain-saudi-arabia,1,118
uruguay-cape-verde,2026-06-21T22:00:00Z,Uruguay,Cape Verde,https://oddspedia.com/football/uruguay-cape-verde-1654577,,1654577,100,True,Odds | Uruguay vs Cape Verde odds,https://oddspedia.com/football/world/world-cup,uruguay-cape-verde,1,120
