rank,movement_or_yellow_caps,player,current_points
1,15,Danie,29.0
2,-,Dheben,28.0
3,11,Bijal,28.0
4,3,Peter@,27.5
5,4,rob87,27.0
6,,Leonard,26.5
7,1,Kea Makhene,26.0
8,4,MasterRoshi,25.5
9,2,Ettiene,25.5
10,3,Navasha,25.0
11,,Lusse,24.5
12,8,Caitlin,24.5
13,4,Sajeed,24.0
14,9,Anru Pienaar,24.0
15,12,ABC Ltd,23.5
16,8,Ivan Prinsloo,23.5
17,5,Joe,23.5
18,4,Tayyibah,23.0
19,9,Philip,23.0
20,9,Chapman12,22.5
21,2,Renay,22.0
22,4,Neilo,21.0
23,1,AudittheRef,20.5
24,9,Shoeshine and piano,19.5
25,6,Jordan,18.5
26,5,Kayla,15.5
27,2,Bee,13.5
28,2,Mari,13.0
29,1,Boss3675,11.5
30,3,Coco Chanelle,7.5
31,2,Amit,5.5
32,2,Legend-Harry,2.5
