source_date,source,screenshot_file,home,away,home_name,away_name,actual_score,winner_home_pct,winner_draw_pct,winner_away_pct,modal_score,home_goals,away_goals,probability_pct,probability_raw,cell_type
2026-06-20,Oddspedia SmartBet screenshot,image(51).png,USA,AUS,United States,Australia,2-0,49,24,26,1-1,0,0,5.9,5.9,exact_0_to_3_grid
2026-06-20,Oddspedia SmartBet screenshot,image(51).png,USA,AUS,United States,Australia,2-0,49,24,26,1-1,0,1,6.3,6.3,exact_0_to_3_grid
2026-06-20,Oddspedia SmartBet screenshot,image(51).png,USA,AUS,United States,Australia,2-0,49,24,26,1-1,0,2,3.8,3.8,exact_0_to_3_grid
2026-06-20,Oddspedia SmartBet screenshot,image(51).png,USA,AUS,United States,Australia,2-0,49,24,26,1-1,0,3,1.6,1.6,exact_0_to_3_grid
2026-06-20,Oddspedia SmartBet screenshot,image(51).png,USA,AUS,United States,Australia,2-0,49,24,26,1-1,1,0,9.6,9.6,exact_0_to_3_grid
2026-06-20,Oddspedia SmartBet screenshot,image(51).png,USA,AUS,United States,Australia,2-0,49,24,26,1-1,1,1,11.6,11.6,exact_0_to_3_grid
2026-06-20,Oddspedia SmartBet screenshot,image(51).png,USA,AUS,United States,Australia,2-0,49,24,26,1-1,1,2,6.5,6.5,exact_0_to_3_grid
2026-06-20,Oddspedia SmartBet screenshot,image(51).png,USA,AUS,United States,Australia,2-0,49,24,26,1-1,1,3,2.4,2.4,exact_0_to_3_grid
2026-06-20,Oddspedia SmartBet screenshot,image(51).png,USA,AUS,United States,Australia,2-0,49,24,26,1-1,2,0,8.1,8.1,exact_0_to_3_grid
2026-06-20,Oddspedia SmartBet screenshot,image(51).png,USA,AUS,United States,Australia,2-0,49,24,26,1-1,2,1,9.0,9.0,exact_0_to_3_grid
2026-06-20,Oddspedia SmartBet screenshot,image(51).png,USA,AUS,United States,Australia,2-0,49,24,26,1-1,2,2,5.3,5.3,exact_0_to_3_grid
2026-06-20,Oddspedia SmartBet screenshot,image(51).png,USA,AUS,United States,Australia,2-0,49,24,26,1-1,2,3,2.2,2.2,exact_0_to_3_grid
