match_id,commence_time,home_team,away_team,source_type,market_id,market_structure,data_json,source_url,current_url,source_name
netherlands-sweden,2026-06-20T17:00:00Z,Netherlands,Sweden,nuxt,100,list,"[50.6, 23.45, 26]",https://oddspedia.com/football/netherlands-sweden-1529,https://oddspedia.com/football/netherlands-sweden-1529,nuxt_state_event
netherlands-sweden,2026-06-20T17:00:00Z,Netherlands,Sweden,nuxt,800,dict_with_probs,"{""probabilities"": {""0-0"": 5.25, ""0-1"": 6.19, ""0-2"": 3.69, ""0-3"": 1.48, ""1-0"": 9.21, ""1-1"": 10.85, ""1-2"": 6.5, ""1-3"": 2.62, ""2-0"": 8.05, ""2-1"": 9.57, ""2-2"": 5.76, ""2-3"": 2.33, ""3-0"": 4.7, ""3-1"": 5.63, ""3-2"": 3.4, ""3-3"": 1.38, ""Other_1"": 10.04, ""Other_2"": 3.19, ""Other_X"": 0.21}, ""odds"": {""value"": ""8"", ""bid"": 126, ""offerId"": 2023663715, ""link"": ""https://www.bet365.com/dl/sportsbookredirect?affiliatecode=365_00917427&affiliate=365_00917427&bs=192256761-1269071805~8.000~10&bet=1"", ""link_e2e_parameter"": null, ""bookie"": ""bet365"", ""slug"": ""bet365"", ""primary_color"": ""#126d50"", ""status"": 2, ""handicap_name"": ""1 : 1""}}",https://oddspedia.com/football/netherlands-sweden-1529,https://oddspedia.com/football/netherlands-sweden-1529,nuxt_state_event
germany-ivory-coast,2026-06-20T20:00:00Z,Germany,Ivory Coast,nuxt,100,list,"[55.85, 22, 22.15]",https://oddspedia.com/football/germany-ivory-coast-1654563,https://oddspedia.com/football/ivory-coast-germany-1654563,nuxt_state_event
germany-ivory-coast,2026-06-20T20:00:00Z,Germany,Ivory Coast,nuxt,800,dict_with_probs,"{""probabilities"": {""0-0"": 4.91, ""0-1"": 5.42, ""0-2"": 3.06, ""0-3"": 1.17, ""1-0"": 9.36, ""1-1"": 10.25, ""1-2"": 5.73, ""1-3"": 2.18, ""2-0"": 8.99, ""2-1"": 9.74, ""2-2"": 5.39, ""2-3"": 2.04, ""3-0"": 5.76, ""3-1"": 6.19, ""3-2"": 3.4, ""3-3"": 1.27, ""Other_1"": 12.4, ""Other_2"": 2.55, ""Other_X"": 0.18}}",https://oddspedia.com/football/germany-ivory-coast-1654563,https://oddspedia.com/football/ivory-coast-germany-1654563,nuxt_state_event
ecuador-curacao,2026-06-21T00:00:00Z,Ecuador,Curacao,nuxt,100,list,"[49.1, 26.05, 24.85]",https://oddspedia.com/football/ecuador-curacao-1654564,https://oddspedia.com/football/ecuador-curacao-1654564,nuxt_state_event
ecuador-curacao,2026-06-21T00:00:00Z,Ecuador,Curacao,nuxt,800,dict_with_probs,"{""probabilities"": {""0-0"": 8.78, ""0-1"": 8.05, ""0-2"": 3.92, ""0-3"": 1.35, ""1-0"": 12.93, ""1-1"": 11.99, ""1-2"": 5.89, ""1-3"": 2.05, ""2-0"": 9.58, ""2-1"": 8.91, ""2-2"": 4.41, ""2-3"": 1.55, ""3-0"": 4.7, ""3-1"": 4.43, ""3-2"": 2.22, ""3-3"": 0.78, ""Other_1"": 6.33, ""Other_2"": 2.04, ""Other_X"": 0.09}, ""odds"": {""value"": ""8"", ""bid"": 126, ""offerId"": 2024700980, ""link"": ""https://www.bet365.com/dl/sportsbookredirect?affiliatecode=365_00917427&affiliate=365_00917427&bs=194699800-1301006348~8.000~10&bet=1"", ""link_e2e_parameter"": null, ""bookie"": ""bet365"", ""slug"": ""bet365"", ""primary_color"": ""#126d50"", ""status"": 6, ""handicap_name"": ""1 : 0""}}",https://oddspedia.com/football/ecuador-curacao-1654564,https://oddspedia.com/football/ecuador-curacao-1654564,nuxt_state_event
tunisia-japan,2026-06-21T04:00:00Z,Tunisia,Japan,nuxt,100,list,"[20.2, 24.3, 55.55]",https://oddspedia.com/football/tunisia-japan-957,https://oddspedia.com/football/japan-tunisia-957,nuxt_state_event
tunisia-japan,2026-06-21T04:00:00Z,Tunisia,Japan,nuxt,800,dict_with_probs,"{""probabilities"": {""0-0"": 7.79, ""0-1"": 12.81, ""0-2"": 10.66, ""0-3"": 5.95, ""1-0"": 6.98, ""1-1"": 11.47, ""1-2"": 9.52, ""1-3"": 5.3, ""2-0"": 3.13, ""2-1"": 5.14, ""2-2"": 4.26, ""2-3"": 2.37, ""3-0"": 0.94, ""3-1"": 1.53, ""3-2"": 1.26, ""3-3"": 0.71, ""Other_1"": 1.21, ""Other_2"": 8.95, ""Other_X"": 0.07}, ""odds"": {""value"": ""6"", ""bid"": 126, ""offerId"": 2024702233, ""link"": ""https://www.bet365.com/dl/sportsbookredirect?affiliatecode=365_00917427&affiliate=365_00917427&bs=194699803-1301016607~6.000~10&bet=1"", ""link_e2e_parameter"": null, ""bookie"": ""bet365"", ""slug"": ""bet365"", ""primary_color"": ""#126d50"", ""status"": 7, ""handicap_name"": ""0 : 1""}}",https://oddspedia.com/football/tunisia-japan-957,https://oddspedia.com/football/japan-tunisia-957,nuxt_state_event
spain-saudi-arabia,2026-06-21T16:00:00Z,Spain,Saudi Arabia,nuxt,100,list,"[66.8, 20.9, 12.25]",https://oddspedia.com/football/spain-saudi-arabia-1654576,https://oddspedia.com/football/spain-saudi-arabia-1654576,nuxt_state_event
spain-saudi-arabia,2026-06-21T16:00:00Z,Spain,Saudi Arabia,nuxt,800,dict_with_probs,"{""probabilities"": {""0-0"": 7.81, ""0-1"": 5.08, ""0-2"": 1.68, ""0-3"": 0.37, ""1-0"": 14.26, ""1-1"": 9.46, ""1-2"": 3.18, ""1-3"": 0.73, ""2-0"": 13.31, ""2-1"": 9.02, ""2-2"": 3.1, ""2-3"": 0.73, ""3-0"": 8.53, ""3-1"": 5.9, ""3-2"": 2.08, ""3-3"": 0.48, ""Other_1"": 13.7, ""Other_2"": 0.49, ""Other_X"": 0.04}, ""odds"": {""value"": ""9"", ""bid"": 495, ""offerId"": 2019765669, ""link"": ""https://wlfanduelus.adsrv.eacdn.com/C.ashx?btag=a_44784b_15c_&affid=16174&siteid=44784&adid=15&c="", ""link_e2e_parameter"": null, ""bookie"": ""FanDuel"", ""slug"": ""fanduel"", ""primary_color"": ""#0078FF"", ""status"": 3, ""handicap_name"": ""1 : 0""}}",https://oddspedia.com/football/spain-saudi-arabia-1654576,https://oddspedia.com/football/spain-saudi-arabia-1654576,nuxt_state_event
