match_id,commence_time,home_team,away_team,source_url,current_url,source_name,p_home_win,p_draw,p_away_win,has_correct_score,available_market_ids,total_markets,xhr_payloads_captured,p_btts_yes,p_btts_no,p_over_3,p_under_3,p_over_0_5,p_under_0_5,p_over_1_25,p_under_1_25,p_over_1_5,p_under_1_5,p_over_1_75,p_under_1_75,p_over_2,p_under_2,p_over_2_25,p_under_2_25,p_over_2_5,p_under_2_5,p_over_2_75,p_under_2_75,p_over_3_25,p_under_3_25,p_over_3_5,p_under_3_5,p_over_3_75,p_under_3_75,p_over_4,p_under_4,p_over_4_25,p_under_4_25,p_over_4_5,p_under_4_5,p_over_4_75,p_under_4_75,p_over_5,p_under_5,p_over_5_25,p_under_5_25,p_over_5_5,p_under_5_5,p_over_6_5,p_under_6_5,event_id,p_over_1,p_under_1,p_over_5_75,p_under_5_75,p_over_0_75,p_under_0_75,p_over_6,p_under_6
ecuador-curacao,2026-06-21T00:00:00Z,Ecuador,Curacao,https://oddspedia.com/football/ecuador-curacao-1654564,https://oddspedia.com/football/ecuador-curacao-1654564,nuxt_state_event,49.1,26.05,24.85,True,"100,800",2,0,35.36,64.64,46.71,53.29,94.91,5.09,86.42,13.58,81.81,18.19,79.76,20.24,77.28,22.72,69.66,30.34,61.64,38.36,58.06,41.94,46.05,53.95,40.73,59.27,36.2,63.8,28.65,71.35,26.42,73.58,23.81,76.19,19.67,80.33,14.4,85.6,13.58,86.42,12.79,87.21,6.4,93.6,9798302,,,,,,,,
netherlands-sweden,2026-06-20T17:00:00Z,Netherlands,Sweden,https://oddspedia.com/football/netherlands-sweden-1529,https://oddspedia.com/football/netherlands-sweden-1529,nuxt_state_event,50.6,23.45,26.0,True,"100,800",2,0,57.98,42.02,46.05,53.95,93.57,6.43,84.8,15.2,78.8,21.2,76.48,23.52,73.58,26.42,63.8,36.2,57.44,42.56,53.95,46.05,41.03,58.97,36.36,63.64,31.43,68.57,24.12,75.88,22.16,77.84,20.69,79.31,16.07,83.93,,,,,10.63,89.37,5.09,94.91,10015860,,,,,,,,
germany-ivory-coast,2026-06-20T20:00:00Z,Germany,Ivory Coast,https://oddspedia.com/football/germany-ivory-coast-1654563,https://oddspedia.com/football/germany-ivory-coast-1654563,nuxt_state_event,55.85,22.0,22.15,True,"100,800",2,0,54.31,45.69,46.71,53.29,93.57,6.43,85.16,14.84,78.8,21.2,76.48,23.52,73.58,26.42,64.85,35.15,58.3,41.7,53.29,46.71,41.03,58.97,35.71,64.29,31.43,68.57,24.75,75.25,22.72,77.28,20.0,80.0,16.55,83.45,,,,,10.13,89.87,5.09,94.91,9798301,,,,,,,,
tunisia-japan,2026-06-21T04:00:00Z,Tunisia,Japan,https://oddspedia.com/football/tunisia-japan-957,https://oddspedia.com/football/tunisia-japan-957,nuxt_state_event,20.2,24.3,55.55,True,"100,800",2,0,43.59,56.41,32.94,67.06,90.39,9.61,78.57,21.43,71.57,28.43,67.06,32.94,61.39,38.61,53.29,46.71,46.75,53.25,41.03,58.97,28.65,71.35,25.79,74.21,21.43,78.57,14.89,85.11,14.03,85.97,13.58,86.42,,,,,,,6.4,93.6,3.35,96.65,9798339,86.42,13.58,,,,,,
uruguay-cape-verde,2026-06-21T22:00:00Z,Uruguay,Cape Verde,https://oddspedia.com/football/uruguay-cape-verde-1654577,https://oddspedia.com/football/uruguay-cape-verde-1654577,nuxt_state_event,52.2,26.6,21.2,True,"100,800",2,0,37.57,62.43,27.37,72.63,88.7,11.3,74.6,25.4,66.9,33.1,61.39,38.61,55.26,44.74,,,41.4,58.6,35.15,64.85,24.75,75.25,22.0,78.0,17.29,82.71,,,,,10.64,89.36,,,,,,,5.09,94.91,2.39,97.61,9798315,85.6,14.4,,,,,,
new-zealand-egypt,2026-06-22T01:00:00Z,New Zealand,Egypt,https://oddspedia.com/football/new-zealand-egypt-1295549,https://oddspedia.com/football/new-zealand-egypt-1295549,nuxt_state_event,26.85,27.35,45.8,True,"100,800",2,0,45.03,54.97,32.94,67.06,89.94,10.06,78.57,21.43,71.47,28.53,67.06,32.94,61.39,38.61,,,46.41,53.59,40.13,59.87,28.65,71.35,25.54,74.46,21.43,78.57,14.84,85.16,13.98,86.02,12.79,87.21,,,,,,,6.4,93.6,3.35,96.65,9798308,,,,,,,,
spain-saudi-arabia,2026-06-21T16:00:00Z,Spain,Saudi Arabia,https://oddspedia.com/football/spain-saudi-arabia-1654576,https://oddspedia.com/football/spain-saudi-arabia-1654576,nuxt_state_event,66.8,20.9,12.25,True,"100,800",2,0,35.94,64.06,61.39,38.61,95.78,4.22,,,85.4,14.6,84.8,15.2,83.45,16.55,75.25,24.75,69.8,30.2,65.87,34.13,54.61,45.39,49.44,50.56,43.79,56.21,37.5,62.5,34.13,65.87,30.11,69.89,26.42,73.58,20.17,79.83,18.1,81.9,17.34,82.66,9.61,90.39,9798314,,,13.98,86.02,,,,
belgium-iran,2026-06-21T19:00:00Z,Belgium,Iran,https://oddspedia.com/football/belgium-iran-1654569,https://oddspedia.com/football/belgium-iran-1654569,nuxt_state_event,51.9,23.85,24.3,True,"100,800",2,0,47.83,52.17,41.03,58.97,92.02,7.98,82.71,17.29,76.1,23.9,72.63,27.37,69.66,30.34,59.87,40.13,52.94,47.06,,,36.2,63.8,31.82,68.18,26.42,73.58,20.24,79.76,18.1,81.9,17.2,82.8,13.58,86.42,,,,,8.71,91.29,4.21,95.79,9798307,,,,,,,,
france-iraq,2026-06-22T21:00:00Z,France,Iraq,https://oddspedia.com/football/france-iraq-1869928,https://oddspedia.com/football/france-iraq-1869928,nuxt_state_event,72.95,18.7,8.31,True,"100,800",2,0,34.02,65.98,61.39,38.61,95.37,4.63,,,86.37,13.63,84.8,15.2,83.45,16.55,75.25,24.75,70.11,29.89,65.87,34.13,54.61,45.39,50.0,50.0,43.79,56.21,37.5,62.5,34.13,65.87,30.09,69.91,26.42,73.58,20.24,79.76,18.1,81.9,17.34,82.66,9.61,90.39,10015844,,,13.98,86.02,,,,
argentina-austria,2026-06-22T17:00:00Z,Argentina,Austria,https://oddspedia.com/football/argentina-austria-1654585,https://oddspedia.com/football/argentina-austria-1654585,nuxt_state_event,41.55,24.5,33.9,True,"100,800",2,0,47.83,52.17,35.15,64.85,90.81,9.19,79.09,20.91,73.74,26.26,68.57,31.43,63.8,36.2,54.61,45.39,48.31,51.69,41.94,58.06,31.43,68.57,27.67,72.33,22.72,77.28,16.07,83.93,15.2,84.8,14.6,85.4,,,,,,,6.43,93.57,3.36,96.64,9798323,,,,,,,,
jordan-algeria,2026-06-23T03:00:00Z,Jordan,Algeria,https://oddspedia.com/football/jordan-algeria-1654586,https://oddspedia.com/football/jordan-algeria-1654586,nuxt_state_event,26.25,24.45,49.3,True,"100,800",2,0,47.62,52.38,36.2,63.8,91.29,8.71,80.33,19.67,72.87,27.13,69.66,30.34,64.85,35.15,56.21,43.79,50.0,50.0,43.79,56.21,31.43,68.57,28.16,71.84,23.52,76.48,16.55,83.45,15.79,84.21,14.64,85.36,,,,,,,7.41,92.59,3.73,96.27,9798324,,,,,,,,
england-ghana,2026-06-23T20:00:00Z,England,Ghana,https://oddspedia.com/football/england-ghana-1654594,https://oddspedia.com/football/england-ghana-1654594,nuxt_state_event,69.8,19.5,10.74,True,"100,800",2,0,37.45,62.55,44.74,55.26,92.59,7.41,84.21,15.79,78.64,21.36,75.25,24.75,72.63,27.37,62.5,37.5,57.44,42.56,,,39.49,60.51,35.11,64.89,28.65,71.35,22.72,77.28,20.91,79.09,19.23,80.77,15.2,84.8,,,,,9.61,90.39,5.07,94.93,9798332,,,,,,,,
portugal-uzbekistan,2026-06-23T17:00:00Z,Portugal,Uzbekistan,https://oddspedia.com/football/portugal-uzbekistan-1232,https://oddspedia.com/football/portugal-uzbekistan-1232,nuxt_state_event,65.85,21.9,12.26,True,"100,800",2,0,41.1,58.9,,,93.98,6.02,86.02,13.98,80.88,19.12,77.84,22.16,75.25,24.75,65.87,34.13,59.93,40.07,55.26,44.74,42.86,57.14,37.91,62.09,32.94,67.06,26.42,73.58,24.12,75.88,21.74,78.26,17.29,82.71,,,,,11.3,88.7,5.69,94.31,9798328,,,,,,,,
panama-croatia,2026-06-23T23:00:00Z,Panama,Croatia,https://oddspedia.com/football/panama-croatia-1654595,https://oddspedia.com/football/panama-croatia-1654595,nuxt_state_event,24.4,23.3,52.25,True,"100,800",2,0,47.21,52.79,34.13,65.87,91.19,8.81,79.09,20.91,72.98,27.02,68.57,31.43,62.5,37.5,54.61,45.39,48.84,51.16,41.94,58.06,30.34,69.66,27.42,72.58,22.16,77.84,15.85,84.15,14.89,85.11,14.75,85.25,,,,,,,6.43,93.57,3.36,96.64,9798333,,,,,,,,
norway-senegal,2026-06-23T00:00:00Z,Norway,Senegal,https://oddspedia.com/football/norway-senegal-1654581,https://oddspedia.com/football/norway-senegal-1654581,nuxt_state_event,41.55,24.6,33.85,True,"100,800",2,0,55.13,44.87,36.2,63.8,91.19,8.81,79.76,20.24,73.47,26.53,69.66,30.34,64.85,35.15,55.26,44.74,50.0,50.0,42.86,57.14,31.43,68.57,28.43,71.57,23.52,76.48,16.55,83.45,15.79,84.21,14.75,85.25,,,,,,,7.41,92.59,3.74,96.26,9798319,,,,,,,,
1869938,2026-06-18 16:00:00+00,Czech Republic,South Africa,https://oddspedia.com/football/czech-republic-south-africa-1869938,https://oddspedia.com/football/czech-republic-south-africa-1869938,nuxt_state_event,36.7,26.75,36.5,True,"100,800",2,0,48.59,51.41,28.65,71.35,88.7,11.3,75.88,24.12,67.92,32.08,63.8,36.2,57.14,42.86,,,42.55,57.45,36.2,63.8,26.42,73.58,22.73,77.27,18.1,81.9,13.58,86.42,13.98,86.02,11.3,88.7,,,,,,,5.09,94.91,2.39,97.61,10015854,86.02,13.98,,,,,,
colombia-dr-congo,2026-06-24T02:00:00Z,Colombia,DR Congo,https://oddspedia.com/football/colombia-dr-congo-1869932,https://oddspedia.com/football/colombia-dr-congo-1869932,nuxt_state_event,52.95,25.85,21.2,True,"100,800",2,0,40.36,59.64,28.65,71.35,89.37,10.63,75.88,24.12,67.69,32.31,63.8,36.2,57.14,42.86,,,43.11,56.89,36.2,63.8,26.42,73.58,23.15,76.85,18.1,81.9,,,,,10.64,89.36,,,,,,,5.09,94.91,2.39,97.61,10015848,86.42,13.58,,,,,,
1001,2026-06-18 19:00:00+00,Switzerland,Bosnia-Herzegovina,https://oddspedia.com/football/switzerland-bosnia-herzegovina-1001,https://oddspedia.com/football/switzerland-bosnia-herzegovina-1001,nuxt_state_event,52.0,26.4,21.55,True,"100,800",2,0,49.22,50.78,38.61,61.39,91.29,8.71,81.9,18.1,74.95,25.05,71.35,28.65,67.06,32.94,58.06,41.94,50.56,49.44,45.39,54.61,34.13,65.87,30.76,69.24,25.4,74.6,18.1,81.9,16.55,83.45,15.85,84.15,,,,,,,7.41,92.59,3.73,96.27,10015851,,,,,,,,
1023867,2026-06-18 22:00:00+00,Canada,Qatar,https://oddspedia.com/football/canada-qatar-1023867,https://oddspedia.com/football/canada-qatar-1023867,nuxt_state_event,52.2,27.8,19.95,True,"100,800",2,0,42.0,58.0,42.86,57.14,92.59,7.41,83.93,16.07,78.0,22.0,74.6,25.4,71.35,28.65,61.39,38.61,55.46,44.54,46.71,53.29,38.61,61.39,34.03,65.97,28.65,71.35,22.16,77.84,20.24,79.76,18.92,81.08,14.84,85.16,,,,,9.61,90.39,4.61,95.39,9798287,,,,,,,,
1534707,2026-06-19 19:00:00+00,USA,Australia,https://oddspedia.com/football/usa-australia-1534707,https://oddspedia.com/football/usa-australia-1534707,nuxt_state_event,49.33,24.18,26.43,True,"100,800",2,0,43.32,56.68,28.65,71.35,89.87,10.13,76.48,23.52,68.89,31.11,63.8,36.2,58.06,41.94,53.95,46.05,44.01,55.99,37.5,62.5,26.42,73.58,23.81,76.19,18.1,81.9,14.03,85.97,13.58,86.42,11.92,88.08,,,,,,,5.09,94.91,2.39,97.61,9798290,86.42,13.58,,,,,,
465,2026-06-19 01:00:00+00,Mexico,South Korea,https://oddspedia.com/football/mexico-south-korea-465,https://oddspedia.com/football/mexico-south-korea-465,nuxt_state_event,38.65,26.07,35.24,True,"100,800",2,0,50.88,49.12,28.65,71.35,88.07,11.93,75.25,24.75,67.92,32.08,62.5,37.5,57.14,42.86,,,42.24,57.76,36.2,63.8,25.4,74.6,22.18,77.82,18.1,81.9,13.58,86.42,,,10.64,89.36,,,,,,,5.09,94.91,2.39,97.61,9798284,85.16,14.84,,,86.42,13.58,,
