"match_id","home_team","away_team","source","scoreline","probability","bucket","url","scraped_at","selected_correct_score","home_win_probability","draw_probability","away_win_probability"
"1654600","Netherlands","Japan","Oddspedia rendered correct-score grid","4-1","0.063","home_high","https://oddspedia.com/football/japan-netherlands-1654600","2026-06-16T08:25:00+00:00","1-1","0.44","0.26","0.31"
"1654600","Netherlands","Japan","Oddspedia rendered correct-score grid","4-4","0.001","both_high","https://oddspedia.com/football/japan-netherlands-1654600","2026-06-16T08:25:00+00:00","1-1","0.44","0.26","0.31"
"1654600","Netherlands","Japan","Oddspedia rendered correct-score grid","3-0","0.038","exact","https://oddspedia.com/football/japan-netherlands-1654600","2026-06-16T08:25:00+00:00","1-1","0.44","0.26","0.31"
"1654600","Netherlands","Japan","Oddspedia rendered correct-score grid","3-1","0.045","exact","https://oddspedia.com/football/japan-netherlands-1654600","2026-06-16T08:25:00+00:00","1-1","0.44","0.26","0.31"
"1654600","Netherlands","Japan","Oddspedia rendered correct-score grid","3-2","0.027","exact","https://oddspedia.com/football/japan-netherlands-1654600","2026-06-16T08:25:00+00:00","1-1","0.44","0.26","0.31"
"1654600","Netherlands","Japan","Oddspedia rendered correct-score grid","3-3","0.011","exact","https://oddspedia.com/football/japan-netherlands-1654600","2026-06-16T08:25:00+00:00","1-1","0.44","0.26","0.31"
"1654600","Netherlands","Japan","Oddspedia rendered correct-score grid","2-0","0.076","exact","https://oddspedia.com/football/japan-netherlands-1654600","2026-06-16T08:25:00+00:00","1-1","0.44","0.26","0.31"
"1654600","Netherlands","Japan","Oddspedia rendered correct-score grid","2-1","0.090","exact","https://oddspedia.com/football/japan-netherlands-1654600","2026-06-16T08:25:00+00:00","1-1","0.44","0.26","0.31"
"1654600","Netherlands","Japan","Oddspedia rendered correct-score grid","2-2","0.054","exact","https://oddspedia.com/football/japan-netherlands-1654600","2026-06-16T08:25:00+00:00","1-1","0.44","0.26","0.31"
"1654600","Netherlands","Japan","Oddspedia rendered correct-score grid","2-3","0.021","exact","https://oddspedia.com/football/japan-netherlands-1654600","2026-06-16T08:25:00+00:00","1-1","0.44","0.26","0.31"
"1654600","Netherlands","Japan","Oddspedia rendered correct-score grid","1-0","0.102","exact","https://oddspedia.com/football/japan-netherlands-1654600","2026-06-16T08:25:00+00:00","1-1","0.44","0.26","0.31"
"1654600","Netherlands","Japan","Oddspedia rendered correct-score grid","1-1","0.122","exact","https://oddspedia.com/football/japan-netherlands-1654600","2026-06-16T08:25:00+00:00","1-1","0.44","0.26","0.31"
"1654600","Netherlands","Japan","Oddspedia rendered correct-score grid","1-2","0.072","exact","https://oddspedia.com/football/japan-netherlands-1654600","2026-06-16T08:25:00+00:00","1-1","0.44","0.26","0.31"
"1654600","Netherlands","Japan","Oddspedia rendered correct-score grid","1-3","0.029","exact","https://oddspedia.com/football/japan-netherlands-1654600","2026-06-16T08:25:00+00:00","1-1","0.44","0.26","0.31"
"1654600","Netherlands","Japan","Oddspedia rendered correct-score grid","0-0","0.068","exact","https://oddspedia.com/football/japan-netherlands-1654600","2026-06-16T08:25:00+00:00","1-1","0.44","0.26","0.31"
"1654600","Netherlands","Japan","Oddspedia rendered correct-score grid","0-1","0.082","exact","https://oddspedia.com/football/japan-netherlands-1654600","2026-06-16T08:25:00+00:00","1-1","0.44","0.26","0.31"
"1654600","Netherlands","Japan","Oddspedia rendered correct-score grid","0-2","0.049","exact","https://oddspedia.com/football/japan-netherlands-1654600","2026-06-16T08:25:00+00:00","1-1","0.44","0.26","0.31"
"1654600","Netherlands","Japan","Oddspedia rendered correct-score grid","0-3","0.019","exact","https://oddspedia.com/football/japan-netherlands-1654600","2026-06-16T08:25:00+00:00","1-1","0.44","0.26","0.31"
"1654600","Netherlands","Japan","Oddspedia rendered correct-score grid","1-4","0.032","away_high","https://oddspedia.com/football/japan-netherlands-1654600","2026-06-16T08:25:00+00:00","1-1","0.44","0.26","0.31"
"1869943","Sweden","Tunisia","Oddspedia rendered correct-score grid","4-1","0.069","home_high","https://oddspedia.com/football/sweden-tunisia-1869943","2026-06-16T08:25:00+00:00","1-1","0.45","0.25","0.29"
