archive_date,archive_timestamp_utc,match_id,commence_time,home_team,away_team,locked_pick,locked_pick_outcome,locked_pick_ev,best_ev_scoreline,best_ev_expected_points,ev_gap_vs_locked,review_level,oddspedia_top1_score,oddspedia_top1_pct,oddspedia_top2_score,oddspedia_top2_pct,oddspedia_top3_score,oddspedia_top3_pct,market_consensus_direction,market_p_home_win,market_p_draw,market_p_away_win,grid_over_2_5_pct,grid_btts_pct,market_p_over_2_5,market_p_btts_yes,ou25_diff_pct,btts_diff_pct,independence_class,signal_consistency,pick_follows,actual_score,actual_outcome,backtest_points
2026-06-21,2026-06-21T08:20:48.098371+00:00,netherlands-sweden,2026-06-20T17:00:00Z,Netherlands,Sweden,2-0,home,0.81255,2-1,0.8523499999999999,0.0397999999999999,none,1-1,10.85,2-1,9.57,1-0,9.21,home,50.6,23.45,26.0,56.81,48.04,57.44,57.98,0.6299999999999955,9.939999999999998,strongly_independent,consistent_grid_expects_fewer_goals,n/a_grid_market_agree,,,
2026-06-21,2026-06-21T08:20:48.098371+00:00,germany-ivory-coast,2026-06-20T20:00:00Z,Germany,Ivory Coast,2-0,home,0.8934500000000001,2-1,0.9217,0.0282499999999999,none,1-1,10.25,2-1,9.74,1-0,9.36,home,55.85,22.0,22.15,58.0,46.190000000000005,58.3,54.31,0.2999999999999971,8.119999999999997,strongly_independent,consistent_grid_expects_fewer_goals,n/a_grid_market_agree,,,
2026-06-21,2026-06-21T08:20:48.098371+00:00,ecuador-curacao,2026-06-21T00:00:00Z,Ecuador,Curacao,2-0,home,0.83745,1-0,0.84205,0.0045999999999999,none,1-0,12.93,1-1,11.99,2-0,9.58,home,49.1,26.05,24.85,44.75000000000001,42.23,61.64,35.36,16.889999999999993,-6.8700000000000045,strongly_independent,inconsistent_ou_vs_btts,n/a_grid_market_agree,,,
2026-06-21,2026-06-21T08:20:48.098371+00:00,tunisia-japan,2026-06-21T04:00:00Z,Tunisia,Japan,0-2,away,0.9367,0-2,0.9367,0.0,none,0-1,12.81,1-1,11.47,0-2,10.66,away,20.2,24.3,55.55,47.21,41.56,46.75,43.59,-0.4599999999999937,2.030000000000001,mildly_independent,inconsistent_ou_vs_btts,n/a_grid_market_agree,,,
2026-06-21,2026-06-21T08:20:48.098371+00:00,spain-saudi-arabia,2026-06-21T16:00:00Z,Spain,Saudi Arabia,3-0,home,0.97975,2-0,1.12275,0.143,none,1-0,14.26,2-0,13.31,1-1,9.46,home,66.8,20.9,12.25,48.35,34.68,69.8,35.94,21.450000000000003,1.259999999999998,strongly_independent,consistent_grid_expects_fewer_goals,n/a_grid_market_agree,,,
2026-06-21,2026-06-21T08:20:48.098371+00:00,belgium-iran,2026-06-21T19:00:00Z,Belgium,Iran,2-0,home,0.84795,2-1,0.8752000000000001,0.0272500000000001,none,1-1,11.24,1-0,10.26,2-1,9.63,home,51.9,23.85,24.3,53.37000000000001,46.15,52.94,47.83,-0.4300000000000139,1.6799999999999995,market_aligned,inconsistent_ou_vs_btts,n/a_grid_market_agree,,,
2026-06-21,2026-06-21T08:20:48.098371+00:00,uruguay-cape-verde,2026-06-21T22:00:00Z,Uruguay,Cape Verde,2-0,home,0.90725,1-0,0.9207,0.01345,none,1-0,15.0,1-1,12.06,2-0,10.9,home,52.2,26.6,21.2,40.09,38.7,41.4,37.57,1.3099999999999952,-1.1299999999999957,market_aligned,inconsistent_ou_vs_btts,n/a_grid_market_agree,,,
2026-06-21,2026-06-21T08:20:48.098371+00:00,new-zealand-egypt,2026-06-22T01:00:00Z,New Zealand,Egypt,0-2,away,0.7863000000000001,0-1,0.80895,0.0226499999999998,none,0-1,13.15,1-1,12.6,0-0,9.71,away,26.85,27.35,45.8,41.88999999999999,41.92,46.41,45.03,4.520000000000003,3.1099999999999994,mildly_independent,consistent_grid_expects_fewer_goals,n/a_grid_market_agree,,,
2026-06-21,2026-06-21T08:20:48.098371+00:00,argentina-austria,2026-06-22T17:00:00Z,Argentina,Austria,2-0,home,0.6625000000000001,2-1,0.7147,0.0521999999999999,none,1-1,11.2,2-1,8.61,1-0,8.17,home,41.55,24.5,33.9,56.26,49.13,48.31,47.83,-7.949999999999996,-1.2999999999999972,strongly_independent,consistent_grid_expects_more_goals,n/a_grid_market_agree,,,
2026-06-21,2026-06-21T08:20:48.098371+00:00,france-iraq,2026-06-22T21:00:00Z,France,Iraq,3-0,home,1.0860999999999998,2-0,1.24265,0.1565500000000002,ev_review,1-0,15.89,2-0,15.64,3-0,10.5,home,72.95,18.7,8.31,47.5,28.700000000000003,70.11,34.02,22.61,5.32,strongly_independent,consistent_grid_expects_fewer_goals,n/a_grid_market_agree,,,
2026-06-21,2026-06-21T08:20:48.098371+00:00,norway-senegal,2026-06-23T00:00:00Z,Norway,Senegal,2-1,home,0.7183,2-1,0.7183,0.0,none,1-1,11.25,2-1,8.69,1-0,8.46,home,41.55,24.6,33.85,55.95,49.19,50.0,55.13,-5.950000000000003,5.940000000000005,strongly_independent,inconsistent_ou_vs_btts,n/a_grid_market_agree,,,
2026-06-21,2026-06-21T08:20:48.098371+00:00,jordan-algeria,2026-06-23T03:00:00Z,Jordan,Algeria,0-2,away,0.81145,1-2,0.8361500000000001,0.0247,none,1-1,11.26,0-1,10.59,1-2,9.22,away,26.25,24.45,49.3,52.31,45.85,50.0,47.62,-2.309999999999995,1.769999999999996,mildly_independent,inconsistent_ou_vs_btts,n/a_grid_market_agree,,,
2026-06-21,2026-06-21T08:20:48.098371+00:00,portugal-uzbekistan,2026-06-23T17:00:00Z,Portugal,Uzbekistan,2-0,home,1.1303500000000002,2-0,1.1303500000000002,0.0,none,1-0,15.96,2-0,14.06,1-1,9.17,home,65.85,21.9,12.26,45.010000000000005,32.99,59.93,41.1,14.919999999999996,8.11,strongly_independent,consistent_grid_expects_fewer_goals,n/a_grid_market_agree,,,
2026-06-21,2026-06-21T08:20:48.098371+00:00,england-ghana,2026-06-23T20:00:00Z,England,Ghana,2-0,home,1.17525,2-0,1.17525,0.0,none,1-0,14.22,2-0,14.17,3-0,9.57,home,69.8,19.5,10.74,49.35,33.07,57.44,37.45,8.090000000000003,4.380000000000003,strongly_independent,consistent_grid_expects_fewer_goals,n/a_grid_market_agree,,,
2026-06-21,2026-06-21T08:20:48.098371+00:00,panama-croatia,2026-06-23T23:00:00Z,Panama,Croatia,0-2,away,0.8450500000000001,1-2,0.8759999999999999,0.0309499999999998,none,1-1,10.79,0-1,9.75,1-2,9.58,away,24.4,23.3,52.25,55.75999999999999,46.78,48.84,47.21,-6.919999999999988,0.4300000000000068,strongly_independent,inconsistent_ou_vs_btts,n/a_grid_market_agree,,,
2026-06-21,2026-06-21T08:20:48.098371+00:00,colombia-dr-congo,2026-06-24T02:00:00Z,Colombia,DR Congo,2-0,home,0.91045,2-0,0.91045,0.0,none,1-0,14.01,1-1,12.06,2-0,10.71,home,52.95,25.85,21.2,42.71,40.32,43.11,40.36,0.4000000000000057,0.0399999999999991,market_aligned,both_neutral,n/a_grid_market_agree,,,
2026-06-21,2026-06-21T08:20:48.098371+00:00,bosnia-and-herzegovina-qatar,2026-06-24T19:00:00Z,Bosnia & Herzegovina,Qatar,2-0,home,,,,,no_grid,,,,,,,unknown,,,,,,,,,,,,,,,
