match_id,round_label,round_number,home_team,away_team,actual_score,submitted_points,submitted_result_class,raw_text,source_url,scraped_at_utc
argentina-algeria,Round 1 11 - 18 Jun,1,Argentina,Algeria,3-0,1.5,CLOSE,ARG 3 - 0 ALG 1.5 CLOSE,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,2026-06-22T07:00:28.854Z
australia-turkey,Round 1 11 - 18 Jun,1,Australia,Turkey,2-0,0.0,WRONG,AUS 2 - 0 TUR 0 WRONG,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,2026-06-22T07:00:28.854Z
austria-jordan,Round 1 11 - 18 Jun,1,Austria,Jordan,3-1,1.5,CLOSE,AUT 3 - 1 JOR 1.5 CLOSE,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,2026-06-22T07:00:28.854Z
belgium-egypt,Round 1 11 - 18 Jun,1,Belgium,Egypt,1-1,0.0,WRONG,BEL 1 - 1 EGY 0 WRONG,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,2026-06-22T07:00:28.854Z
brazil-morocco,Round 1 11 - 18 Jun,1,Brazil,Morocco,1-1,3.0,EXACT,BRA 1 - 1 MOR 3 EXACT,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,2026-06-22T07:00:28.854Z
canada-bosnia-and-herzegovina,Round 1 11 - 18 Jun,1,Canada,Bosnia & Herzegovina,1-1,0.0,WRONG,CAN 1 - 1 BHI 0 WRONG,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,2026-06-22T07:00:28.854Z
england-croatia,Round 1 11 - 18 Jun,1,England,Croatia,4-2,1.0,RESULT,ENG 4 - 2 CRO 1 RESULT,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,2026-06-22T07:00:28.854Z
france-senegal,Round 1 11 - 18 Jun,1,France,Senegal,3-1,1.5,CLOSE,FRA 3 - 1 SEN 1.5 CLOSE,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,2026-06-22T07:00:28.854Z
germany-curacao,Round 1 11 - 18 Jun,1,Germany,Curacao,7-1,1.0,RESULT,GER 7 - 1 CUR 1 RESULT,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,2026-06-22T07:00:28.854Z
ghana-panama,Round 1 11 - 18 Jun,1,Ghana,Panama,1-0,3.0,EXACT,GHA 1 - 0 PAN 3 EXACT,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,2026-06-22T07:00:28.854Z
haiti-scotland,Round 1 11 - 18 Jun,1,Haiti,Scotland,0-1,0.0,WRONG,HAI 0 - 1 SCO 0 WRONG,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,2026-06-22T07:00:28.854Z
iran-new-zealand,Round 1 11 - 18 Jun,1,Iran,New Zealand,2-2,0.0,WRONG,IRN 2 - 2 NZL 0 WRONG,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,2026-06-22T07:00:28.854Z
iraq-norway,Round 1 11 - 18 Jun,1,Iraq,Norway,1-4,1.0,RESULT,IRQ 1 - 4 NOR 1 RESULT,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,2026-06-22T07:00:28.854Z
ivory-coast-ecuador,Round 1 11 - 18 Jun,1,Ivory Coast,Ecuador,1-0,0.0,WRONG,CIV 1 - 0 ECU 0 WRONG,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,2026-06-22T07:00:28.854Z
mexico-south-africa,Round 1 11 - 18 Jun,1,Mexico,South Africa,2-0,1.5,CLOSE,MEX 2 - 0 RSA 1.5 CLOSE,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,2026-06-22T07:00:28.854Z
netherlands-japan,Round 1 11 - 18 Jun,1,Netherlands,Japan,2-2,0.0,WRONG,NED 2 - 2 JPN 0 WRONG,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,2026-06-22T07:00:28.854Z
portugal-dr-congo,Round 1 11 - 18 Jun,1,Portugal,DR Congo,1-1,0.0,WRONG,POR 1 - 1 DRC 0 WRONG,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,2026-06-22T07:00:28.854Z
qatar-switzerland,Round 1 11 - 18 Jun,1,Qatar,Switzerland,1-1,0.0,WRONG,QAT 1 - 1 SUI 0 WRONG,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,2026-06-22T07:00:28.854Z
saudi-arabia-uruguay,Round 1 11 - 18 Jun,1,Saudi Arabia,Uruguay,1-1,0.0,WRONG,KSA 1 - 1 URU 0 WRONG,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,2026-06-22T07:00:28.854Z
south-korea-czech-republic,Round 1 11 - 18 Jun,1,South Korea,Czech Republic,2-1,0.0,WRONG,KOR 2 - 1 CZE 0 WRONG,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,2026-06-22T07:00:28.854Z
spain-cape-verde,Round 1 11 - 18 Jun,1,Spain,Cape Verde,0-0,0.0,WRONG,ESP 0 - 0 CPV 0 WRONG,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,2026-06-22T07:00:28.854Z
sweden-tunisia,Round 1 11 - 18 Jun,1,Sweden,Tunisia,5-1,0.0,WRONG,SWE 5 - 1 TUN 0 WRONG,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,2026-06-22T07:00:28.854Z
united-states-paraguay,Round 1 11 - 18 Jun,1,United States,Paraguay,4-1,0.0,WRONG,USA 4 - 1 PAR 0 WRONG,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,2026-06-22T07:00:28.854Z
uzbekistan-colombia,Round 1 11 - 18 Jun,1,Uzbekistan,Colombia,1-3,1.5,CLOSE,UZB 1 - 3 COL 1.5 CLOSE,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,2026-06-22T07:00:28.854Z
belgium-iran,Round 2 18 - 24 Jun,2,Belgium,Iran,0-0,0.0,WRONG,BEL 0 - 0 IRN 0 WRONG,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,2026-06-22T07:00:52.224Z
brazil-haiti,Round 2 18 - 24 Jun,2,Brazil,Haiti,3-0,3.0,EXACT,BRA 3 - 0 HAI 3 EXACT,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,2026-06-22T07:00:52.224Z
canada-qatar,Round 2 18 - 24 Jun,2,Canada,Qatar,6-0,1.0,RESULT,CAN 6 - 0 QAT 1 RESULT,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,2026-06-22T07:00:52.224Z
czech-republic-south-africa,Round 2 18 - 24 Jun,2,Czech Republic,South Africa,1-1,0.0,WRONG,CZE 1 - 1 RSA 0 WRONG,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,2026-06-22T07:00:52.224Z
