#,match,pick,odds,price_source,result,stake,return,bankroll_after
1,Portugal 1-1 DR Congo,home,1.307,polymarket,loss,176.47,0.0,2823.53
2,England 4-2 Croatia,home,1.739,polymarket,WIN,176.47,306.88,2953.94
3,Ghana 1-0 Panama,home,2.469,polymarket,WIN,176.47,435.71,3213.18
4,Uzbekistan 1-3 Colombia,away,1.418,polymarket,WIN,176.47,250.24,3286.94
5,Czech Republic 1-1 South Africa,home,1.869,polymarket,loss,176.47,0.0,3110.47
6,Switzerland 4-1 Bosnia & Herzegovina,home,1.6,polymarket,WIN,176.47,282.35,3216.35
7,Canada 6-0 Qatar,home,1.342,polymarket,WIN,176.47,236.82,3276.71
8,United States 2-0 Australia,home,1.653,polymarket,WIN,176.47,291.71,3391.94
9,Scotland 0-1 Morocco,away,1.802,polymarket,WIN,176.47,318.0,3533.47
10,Brazil 3-0 Haiti,home,1.13,polymarket,WIN,176.47,199.41,3556.41
11,Netherlands 5-1 Sweden,home,1.678,consensus_haircut,WIN,176.47,296.12,3676.06
12,Germany 2-1 Ivory Coast,home,1.473,consensus_haircut,WIN,176.47,259.94,3759.53
13,Tunisia 0-4 Japan,away,1.519,consensus_haircut,WIN,176.47,268.06,3851.12
14,Spain 4-0 Saudi Arabia,home,1.12,best_obtainable,WIN,176.47,197.65,3872.29
15,Belgium 0-0 Iran,home,1.46,best_obtainable,loss,176.47,0.0,3695.82
16,Uruguay 2-2 Cape Verde,home,1.48,best_obtainable,loss,176.47,0.0,3519.35
17,New Zealand 1-3 Egypt,away,1.64,best_obtainable,WIN,176.47,289.41,3632.29
