commence_time,home_team,away_team,robust_locked_pick
2026-06-28T19:00:00Z,South Africa,Canada,0-2
2026-06-29T17:00:00Z,Brazil,Japan,2-0
2026-06-29T20:30:00Z,Germany,Paraguay,2-0
2026-06-30T01:00:00Z,Netherlands,Morocco,2-0
2026-06-30T17:00:00Z,Ivory Coast,Norway,1-2
2026-06-30T21:00:00Z,France,Sweden,2-0
2026-07-01T01:00:00Z,Mexico,Ecuador,1-0
2026-07-01T16:00:00Z,England,DR Congo,2-0
2026-07-01T20:00:00Z,Belgium,Senegal,2-0
2026-07-02T00:00:00Z,United States,Bosnia & Herzegovina,2-0
2026-07-02T19:00:00Z,Spain,Austria,2-0
2026-07-02T23:00:00Z,Portugal,Croatia,2-0
2026-07-03T03:00:00Z,Switzerland,Algeria,2-0
2026-07-03T18:00:00Z,Australia,Egypt,0-1
2026-07-03T22:00:00Z,Argentina,Cape Verde,2-0
2026-07-04T01:30:00Z,Colombia,Ghana,2-0
