home_team,away_team,raw_pick,candidate_pick,scenarios_tested,scenarios_passed,scenarios_positive_delta,mean_delta_p_finish_first,min_delta_p_finish_first,max_delta_p_finish_first,mean_ev_loss,max_ev_loss,mean_z_score,pass_rate,positive_delta_rate,robust_switch
Spain,Saudi Arabia,3-0,2-0,11,3,11,0.00443,0.00312,0.0067,0.005694818181818182,0.022951,5.196363636363636,0.2727272727272727,1.0,False
Ecuador,Curacao,2-0,3-0,11,3,11,0.003567272727272727,0.00078,0.00565,0.012084818181818181,0.032753,4.179090909090909,0.2727272727272727,1.0,False
Algeria,Austria,0-1,1-1,11,0,11,0.010942727272727272,0.00422,0.01927,0.029479727272727275,0.080282,8.614363636363636,0.0,1.0,False
Switzerland,Canada,1-0,1-1,11,0,11,0.00951909090909091,0.00089,0.0171,0.04568463636363637,0.098392,7.475636363636363,0.0,1.0,False
Cape Verde,Saudi Arabia,1-2,1-1,11,0,11,0.008645454545454546,0.00108,0.01603,0.0475290909090909,0.09892,6.890363636363636,0.0,1.0,False
Norway,Senegal,2-1,1-1,11,0,10,0.00794090909090909,-6e-05,0.01489,0.0989590909090909,0.151013,6.303454545454545,0.0,0.9090909090909091,False
DR Congo,Uzbekistan,2-1,1-1,11,0,10,0.004372727272727273,-0.00397,0.01291,0.13242263636363638,0.185678,3.4287272727272726,0.0,0.9090909090909091,False
Japan,Sweden,2-1,1-1,11,0,10,0.004264545454545455,-0.00603,0.0119,0.12968036363636365,0.182808,3.332909090909091,0.0,0.9090909090909091,False
Egypt,Iran,2-0,1-1,11,0,9,0.0029045454545454544,-0.00705,0.01184,0.15193572727272728,0.207315,2.223818181818182,0.0,0.8181818181818182,False
Paraguay,Australia,1-0,1-1,11,0,9,0.002821818181818182,-0.00419,0.00947,0.02611290909090909,0.082187,2.061,0.0,0.8181818181818182,False
Curacao,Ivory Coast,0-2,0-3,11,0,10,0.002000909090909091,-0.00083,0.00381,0.005422090909090909,0.023433,2.461818181818182,0.0,0.9090909090909091,False
France,Iraq,3-0,2-0,11,0,9,0.001979090909090909,-0.00123,0.00418,0.018253727272727272,0.035708,2.34,0.0,0.8181818181818182,False
Paraguay,Australia,1-0,0-0,11,0,7,0.0015309090909090906,-0.00581,0.00845,0.03154454545454546,0.087341,1.0934545454545452,0.0,0.6363636363636364,False
Czech Republic,Mexico,0-2,1-1,11,0,7,0.0014427272727272728,-0.00879,0.01075,0.15288654545454547,0.206805,1.1084545454545456,0.0,0.6363636363636364,False
Switzerland,Canada,1-0,2-1,11,0,10,0.001379090909090909,-0.00089,0.0025,0.0013404545454545455,0.013498,2.138909090909091,0.0,0.9090909090909091,False
Norway,France,1-2,0-2,11,0,11,0.0013,0.0002,0.00287,0.00011918181818181819,0.001311,1.9686363636363637,0.0,1.0,False
Algeria,Austria,0-1,1-2,11,0,10,0.0012327272727272727,-0.00083,0.00339,0.00122,0.012678,1.9174545454545457,0.0,0.9090909090909091,False
Egypt,Iran,2-0,1-0,11,0,8,0.001050909090909091,-0.00084,0.00272,0.003230818181818182,0.013368,1.5147272727272727,0.0,0.7272727272727273,False
Germany,Ivory Coast,2-0,2-1,11,0,7,0.0008327272727272727,-0.00033,0.00269,0.007682,0.016859,1.239090909090909,0.0,0.6363636363636364,False
Netherlands,Sweden,2-0,2-1,11,0,9,0.0008163636363636363,-0.00031,0.00206,0.0004934545454545454,0.005428,1.2326363636363635,0.0,0.8181818181818182,False
Colombia,Portugal,0-2,1-1,11,0,7,0.0007727272727272728,-0.00716,0.00956,0.15784445454545454,0.211269,0.5943636363636364,0.0,0.6363636363636364,False
DR Congo,Uzbekistan,2-1,2-0,11,0,11,0.0007654545454545455,0.00031,0.00149,0.007706636363636363,0.014973,1.2439090909090909,0.0,1.0,False
Colombia,Portugal,0-2,1-2,11,0,9,0.0006381818181818182,-0.00135,0.00162,0.0004577272727272728,0.005035,1.0099090909090909,0.0,0.8181818181818182,False
Czech Republic,Mexico,0-2,1-2,11,0,9,0.0006209090909090909,-0.00103,0.00137,0.001235909090909091,0.008225,0.9784545454545455,0.0,0.8181818181818182,False
Japan,Sweden,2-1,2-0,11,0,7,0.00048636363636363634,-0.00031,0.00137,0.009049363636363637,0.016282,0.7950909090909092,0.0,0.6363636363636364,False
Switzerland,Canada,1-0,2-0,11,0,9,0.0004618181818181818,-0.00145,0.00146,0.006010454545454546,0.016486,0.7303636363636364,0.0,0.8181818181818182,False
Egypt,Iran,2-0,2-1,11,0,7,0.00010636363636363637,-0.00105,0.001,0.012064454545454545,0.019482,0.15245454545454543,0.0,0.6363636363636364,False
Algeria,Austria,0-1,0-2,11,0,7,5.454545454545451e-05,-0.00205,0.00156,0.007923818181818183,0.018405,0.09127272727272723,0.0,0.6363636363636364,False
Czech Republic,Mexico,0-2,0-1,11,0,5,4.545454545454546e-05,-0.00148,0.00112,0.012571727272727273,0.022886,0.05836363636363635,0.0,0.45454545454545453,False
DR Congo,Uzbekistan,2-1,1-0,11,0,3,-0.00025272727272727274,-0.0024,0.00121,0.020406636363636363,0.037404,-0.40663636363636363,0.0,0.2727272727272727,False
Japan,Sweden,2-1,1-0,11,0,2,-0.00057,-0.00278,0.00167,0.02190018181818182,0.038762,-0.898090909090909,0.0,0.18181818181818182,False
Colombia,Portugal,0-2,0-1,11,0,2,-0.0006318181818181818,-0.00205,0.00123,0.016545,0.026504,-0.9787272727272728,0.0,0.18181818181818182,False
Germany,Ivory Coast,2-0,3-1,11,0,3,-0.0006581818181818182,-0.00435,0.0028,0.019694545454545454,0.04201,-1.0121818181818183,0.0,0.2727272727272727,False
Norway,Senegal,2-1,2-0,11,0,1,-0.0007299999999999999,-0.00161,0.00042,0.019304181818181818,0.026176,-1.2243636363636363,0.0,0.09090909090909091,False
