scenario,description,baseline_p_finish_first,final_p_finish_first,delta_p_finish_first,baseline_p_finish_first_or_tied,final_p_finish_first_or_tied,total_ev_loss,accepted_switch_count,accepted_switch_labels
base,Current Monte Carlo assumptions.,0.73226,0.73226,0.0,0.77285,0.77285,0.0,0,
chasers_conservative,"Chasers lean more towards raw, top1 and chalk picks.",0.74869,0.74869,0.0,0.78524,0.78524,0.0,0,
chasers_aggressive,Chasers chase exacts and differentials more aggressively.,0.7154,0.7154,0.0,0.76198,0.76198,0.0,0,
favourite_heavy,Chasers overweight favourite/chalk scorelines.,0.74652,0.74652,0.0,0.78506,0.78506,0.0,0,
exact_chase_heavy,Chasers overweight modal and top exact scorelines.,0.71934,0.71934,0.0,0.75924,0.75924,0.0,0,
goals_plus_5pct,Model total-goals expectation tilted 5 percent higher.,0.73402,0.73402,0.0,0.77357,0.77357,0.0,0,
goals_minus_5pct,Model total-goals expectation tilted 5 percent lower.,0.72694,0.72694,0.0,0.76742,0.76742,0.0,0,
rho_plus_0_02,Dixon-Coles rho increased by 0.02.,0.73334,0.73334,0.0,0.77417,0.77417,0.0,0,
rho_minus_0_02,Dixon-Coles rho decreased by 0.02.,0.73091,0.73091,0.0,0.77264,0.77264,0.0,0,
draw_heavy,Draw scorelines receive 8 percent more mass.,0.7272,0.7272,0.0,0.76718,0.76718,0.0,0,
draw_light,Draw scorelines receive 8 percent less mass.,0.73526,0.73526,0.0,0.77616,0.77616,0.0,0,
