home_team,away_team,raw_pick,candidate_pick,scenarios_tested,scenarios_passed,scenarios_positive_delta,mean_delta_p_finish_first,min_delta_p_finish_first,max_delta_p_finish_first,mean_ev_loss,max_ev_loss,mean_z_score,pass_rate,positive_delta_rate,robust_switch
Brazil,Norway,2-0,2-1,11,0,0,-0.007401818181818181,-0.01143,-0.00363,0.0023706363636363634,0.010238,-10.214272727272727,0.0,0.0,False
Portugal,Spain,0-2,1-2,11,0,0,-0.007734545454545455,-0.01238,-0.00316,0.0037856363636363634,0.011572,-10.778272727272729,0.0,0.0,False
Canada,Morocco,0-2,0-1,11,0,0,-0.009703636363636364,-0.01288,-0.00629,0.027330909090909093,0.039593,-11.622090909090907,0.0,0.0,False
Portugal,Spain,0-2,0-1,11,0,0,-0.012725454545454545,-0.01644,-0.00893,0.03541472727272727,0.044946,-17.835454545454546,0.0,0.0,False
Mexico,England,0-1,1-2,11,0,0,-0.013426363636363636,-0.01725,-0.00867,0.008360727272727271,0.025561,-18.855818181818183,0.0,0.0,False
Brazil,Norway,2-0,1-0,11,0,0,-0.014139090909090908,-0.01805,-0.00997,0.04802072727272728,0.056688,-19.915272727272725,0.0,0.0,False
United States,Belgium,2-1,2-0,11,0,0,-0.014654545454545455,-0.01869,-0.01076,0.034867909090909095,0.040841,-24.402545454545454,0.0,0.0,False
Mexico,England,0-1,0-2,11,0,0,-0.01562818181818182,-0.02037,-0.01101,0.012941545454545456,0.024185,-22.469727272727273,0.0,0.0,False
United States,Belgium,2-1,1-0,11,0,0,-0.01641090909090909,-0.02098,-0.01218,0.04436436363636364,0.057823,-26.902454545454546,0.0,0.0,False
Canada,Morocco,0-2,1-2,11,0,0,-0.018255454545454547,-0.02219,-0.01408,0.043255181818181825,0.051305,-24.31236363636364,0.0,0.0,False
Brazil,Norway,2-0,3-1,11,0,0,-0.020338181818181818,-0.02387,-0.01672,0.065437,0.08439,-30.836909090909092,0.0,0.0,False
United States,Belgium,2-1,3-1,11,0,0,-0.020572727272727274,-0.02462,-0.0167,0.07921881818181818,0.08636,-35.31809090909091,0.0,0.0,False
Portugal,Spain,0-2,1-3,11,0,0,-0.02135,-0.02525,-0.01801,0.07763918181818182,0.095448,-32.67009090909091,0.0,0.0,False
Australia,Egypt,0-1,0-2,11,0,0,-0.02141909090909091,-0.02644,-0.01612,0.035179545454545456,0.047932,-27.40527272727273,0.0,0.0,False
