commence_time,home_team,away_team,locked_pick
2026-06-20T17:00:00Z,Netherlands,Sweden,2-0
2026-06-20T20:00:00Z,Germany,Ivory Coast,2-0
2026-06-21T00:00:00Z,Ecuador,Curacao,2-0
2026-06-21T04:00:00Z,Tunisia,Japan,0-2
2026-06-21T16:00:00Z,Spain,Saudi Arabia,3-0
2026-06-21T19:00:00Z,Belgium,Iran,2-0
2026-06-21T22:00:00Z,Uruguay,Cape Verde,2-0
2026-06-22T01:00:00Z,New Zealand,Egypt,0-2
2026-06-22T17:00:00Z,Argentina,Austria,2-0
2026-06-22T21:00:00Z,France,Iraq,3-0
2026-06-23T00:00:00Z,Norway,Senegal,2-1
2026-06-23T03:00:00Z,Jordan,Algeria,0-2
2026-06-23T17:00:00Z,Portugal,Uzbekistan,2-0
2026-06-23T20:00:00Z,England,Ghana,2-0
2026-06-23T23:00:00Z,Panama,Croatia,0-2
2026-06-24T02:00:00Z,Colombia,DR Congo,2-0
2026-06-24T19:00:00Z,Bosnia & Herzegovina,Qatar,2-0
2026-06-24T19:00:00Z,Switzerland,Canada,1-0
2026-06-24T22:00:00Z,Morocco,Haiti,2-0
2026-06-24T22:00:00Z,Scotland,Brazil,0-2
2026-06-25T01:00:00Z,Czech Republic,Mexico,0-2
2026-06-25T01:00:00Z,South Africa,South Korea,0-2
2026-06-25T20:00:00Z,Curacao,Ivory Coast,0-2
2026-06-25T20:00:00Z,Ecuador,Germany,0-2
2026-06-25T23:00:00Z,Japan,Sweden,2-1
2026-06-25T23:00:00Z,Tunisia,Netherlands,0-2
2026-06-26T02:00:00Z,Paraguay,Australia,1-0
2026-06-26T02:00:00Z,Turkey,United States,1-2
2026-06-26T19:00:00Z,Senegal,Iraq,2-0
2026-06-26T19:00:00Z,Norway,France,1-2
2026-06-27T00:00:00Z,Cape Verde,Saudi Arabia,1-2
2026-06-27T00:00:00Z,Uruguay,Spain,0-2
2026-06-27T03:00:00Z,New Zealand,Belgium,0-2
2026-06-27T03:00:00Z,Egypt,Iran,2-0
2026-06-27T21:00:00Z,Croatia,Ghana,2-0
2026-06-27T21:00:00Z,Panama,England,0-2
2026-06-27T23:30:00Z,Colombia,Portugal,0-2
2026-06-27T23:30:00Z,DR Congo,Uzbekistan,2-1
2026-06-28T02:00:00Z,Algeria,Austria,0-1
2026-06-28T02:00:00Z,Jordan,Argentina,0-2
