scenario,scenario_description,commence_time,home_team,away_team,raw_pick,leader_mc_pick,switched,raw_ev_full_matrix,leader_mc_ev_full_matrix,ev_loss,risk_tier,confidence_tier
base,Current Monte Carlo assumptions.,2026-06-20T17:00:00Z,Netherlands,Sweden,2-0,2-0,False,0.89163,0.89163,0.0,medium,medium
base,Current Monte Carlo assumptions.,2026-06-20T20:00:00Z,Germany,Ivory Coast,2-0,2-0,False,0.974289,0.974289,0.0,medium,medium
base,Current Monte Carlo assumptions.,2026-06-21T00:00:00Z,Ecuador,Curacao,2-0,3-0,True,1.324712,1.313581,0.011131,low,medium
base,Current Monte Carlo assumptions.,2026-06-21T04:00:00Z,Tunisia,Japan,0-2,0-2,False,1.033784,1.033784,0.0,medium,medium
base,Current Monte Carlo assumptions.,2026-06-21T16:00:00Z,Spain,Saudi Arabia,3-0,3-0,False,1.331779,1.331779,0.0,low,medium
base,Current Monte Carlo assumptions.,2026-06-21T19:00:00Z,Belgium,Iran,2-0,2-0,False,1.107137,1.107137,0.0,low,strong
base,Current Monte Carlo assumptions.,2026-06-21T22:00:00Z,Uruguay,Cape Verde,2-0,2-0,False,1.130837,1.130837,0.0,low,strong
base,Current Monte Carlo assumptions.,2026-06-22T01:00:00Z,New Zealand,Egypt,0-2,0-2,False,1.007724,1.007724,0.0,medium,medium
base,Current Monte Carlo assumptions.,2026-06-22T17:00:00Z,Argentina,Austria,2-0,2-0,False,1.011855,1.011855,0.0,medium,medium
base,Current Monte Carlo assumptions.,2026-06-22T21:00:00Z,France,Iraq,3-0,3-0,False,1.336377,1.336377,0.0,low,medium
base,Current Monte Carlo assumptions.,2026-06-23T00:00:00Z,Norway,Senegal,2-1,2-1,False,0.708144,0.708144,0.0,high,medium
base,Current Monte Carlo assumptions.,2026-06-23T03:00:00Z,Jordan,Algeria,0-2,0-2,False,1.011151,1.011151,0.0,medium,medium
base,Current Monte Carlo assumptions.,2026-06-23T17:00:00Z,Portugal,Uzbekistan,2-0,2-0,False,1.256071,1.256071,0.0,low,strong
base,Current Monte Carlo assumptions.,2026-06-23T20:00:00Z,England,Ghana,2-0,2-0,False,1.260636,1.260636,0.0,low,strong
base,Current Monte Carlo assumptions.,2026-06-23T23:00:00Z,Panama,Croatia,0-2,0-2,False,1.045387,1.045387,0.0,medium,medium
base,Current Monte Carlo assumptions.,2026-06-24T02:00:00Z,Colombia,DR Congo,2-0,2-0,False,1.097002,1.097002,0.0,medium,medium
base,Current Monte Carlo assumptions.,2026-06-24T19:00:00Z,Bosnia & Herzegovina,Qatar,2-0,2-0,False,1.046778,1.046778,0.0,low,strong
base,Current Monte Carlo assumptions.,2026-06-24T19:00:00Z,Switzerland,Canada,2-1,2-1,False,0.688901,0.688901,0.0,high,fragile
base,Current Monte Carlo assumptions.,2026-06-24T22:00:00Z,Scotland,Brazil,0-2,0-2,False,1.125956,1.125956,0.0,low,strong
base,Current Monte Carlo assumptions.,2026-06-24T22:00:00Z,Morocco,Haiti,2-0,2-0,False,1.233649,1.233649,0.0,low,strong
base,Current Monte Carlo assumptions.,2026-06-25T01:00:00Z,Czech Republic,Mexico,0-2,0-2,False,0.769602,0.769602,0.0,high,fragile
base,Current Monte Carlo assumptions.,2026-06-25T01:00:00Z,South Africa,South Korea,0-2,0-2,False,0.997348,0.997348,0.0,medium,medium
base,Current Monte Carlo assumptions.,2026-06-25T20:00:00Z,Curacao,Ivory Coast,0-2,0-2,False,1.259502,1.259502,0.0,low,medium
base,Current Monte Carlo assumptions.,2026-06-25T20:00:00Z,Ecuador,Germany,0-2,0-2,False,0.931835,0.931835,0.0,medium,medium
base,Current Monte Carlo assumptions.,2026-06-25T23:00:00Z,Japan,Sweden,2-1,2-1,False,0.74322,0.74322,0.0,high,fragile
base,Current Monte Carlo assumptions.,2026-06-25T23:00:00Z,Tunisia,Netherlands,0-2,0-2,False,1.15665,1.15665,0.0,low,strong
base,Current Monte Carlo assumptions.,2026-06-26T02:00:00Z,Paraguay,Australia,1-0,1-0,False,0.736789,0.736789,0.0,high,medium
base,Current Monte Carlo assumptions.,2026-06-26T02:00:00Z,Turkey,United States,1-2,1-2,False,0.741987,0.741987,0.0,high,medium
base,Current Monte Carlo assumptions.,2026-06-26T19:00:00Z,Norway,France,0-2,0-2,False,0.864981,0.864981,0.0,high,fragile
