scenario,description,baseline_p_finish_first,final_p_finish_first,delta_p_finish_first,baseline_p_finish_first_or_tied,final_p_finish_first_or_tied,total_ev_loss,accepted_switch_count,accepted_switch_labels
base,Current Monte Carlo assumptions.,0.29084,0.29602,0.00518,0.36247,0.36405,0.011131,1,Ecuador vs Curacao: 2-0 -> 3-0
chasers_conservative,"Chasers lean more towards raw, top1 and chalk picks.",0.29091,0.29091,0.0,0.36579,0.36579,0.0,0,
chasers_aggressive,Chasers chase exacts and differentials more aggressively.,0.30193,0.30193,0.0,0.36623,0.36623,0.0,0,
favourite_heavy,Chasers overweight favourite/chalk scorelines.,0.30224,0.30224,0.0,0.37566,0.37566,0.0,0,
exact_chase_heavy,Chasers overweight modal and top exact scorelines.,0.28976,0.28976,0.0,0.35619,0.35619,0.0,0,
goals_plus_5pct,Model total-goals expectation tilted 5 percent higher.,0.29662,0.30394,0.00732,0.36715,0.37129,0.0,1,Ecuador vs Curacao: 2-0 -> 3-0
goals_minus_5pct,Model total-goals expectation tilted 5 percent lower.,0.29233,0.30447,0.01214,0.36019,0.36817,0.0,2,Spain vs Saudi Arabia: 3-0 -> 2-0 | France vs Iraq: 3-0 -> 2-0
rho_plus_0_02,Dixon-Coles rho increased by 0.02.,0.29563,0.30087,0.00524,0.36384,0.36747,0.003267,1,Spain vs Saudi Arabia: 3-0 -> 2-0
rho_minus_0_02,Dixon-Coles rho decreased by 0.02.,0.29357,0.29357,0.0,0.36145,0.36145,0.0,0,
draw_heavy,Draw scorelines receive 8 percent more mass.,0.28061,0.30653,0.02592,0.34904,0.36547,0.004375,2,Spain vs Saudi Arabia: 3-0 -> 2-0 | Algeria vs Austria: 1-2 -> 1-1
draw_light,Draw scorelines receive 8 percent less mass.,0.31176,0.31176,0.0,0.38266,0.38266,0.0,0,
