home_team,away_team,raw_pick,candidate_pick,scenarios_tested,scenarios_passed,scenarios_positive_delta,mean_delta_p_finish_first,min_delta_p_finish_first,max_delta_p_finish_first,mean_ev_loss,max_ev_loss,mean_z_score,pass_rate,positive_delta_rate,robust_switch
Spain,Saudi Arabia,3-0,2-0,11,3,11,0.004304545454545454,0.00229,0.0064,0.005694818181818182,0.022951,5.019909090909091,0.2727272727272727,1.0,False
Ecuador,Curacao,2-0,3-0,11,2,11,0.003578181818181818,0.00162,0.00732,0.012084818181818181,0.032753,4.162181818181818,0.18181818181818182,1.0,False
Algeria,Austria,1-2,1-1,11,1,11,0.01085,0.00324,0.02045,0.03387418181818182,0.085351,8.486636363636363,0.09090909090909091,1.0,False
France,Iraq,3-0,2-0,11,1,10,0.0024536363636363636,-0.00128,0.00574,0.018253727272727272,0.035708,2.8945454545454545,0.09090909090909091,0.9090909090909091,False
Switzerland,Canada,2-1,1-1,11,0,10,0.008795454545454546,-0.00027,0.01512,0.049628818181818184,0.102956,6.855272727272728,0.0,0.9090909090909091,False
Cape Verde,Saudi Arabia,1-2,1-1,11,0,11,0.008113636363636363,0.00053,0.01372,0.0475290909090909,0.09892,6.429000000000001,0.0,1.0,False
Norway,Senegal,2-1,1-1,11,0,10,0.008063636363636363,-0.00081,0.01375,0.0989590909090909,0.151013,6.3678181818181825,0.0,0.9090909090909091,False
Japan,Sweden,2-1,1-1,11,0,10,0.004597272727272728,-0.00535,0.01193,0.12968036363636365,0.182808,3.5771818181818187,0.0,0.9090909090909091,False
DR Congo,Uzbekistan,2-1,1-1,11,0,10,0.004414545454545455,-0.00434,0.01202,0.13242263636363638,0.185678,3.434,0.0,0.9090909090909091,False
Egypt,Iran,2-0,1-1,11,0,9,0.0029090909090909093,-0.00835,0.01114,0.15193572727272728,0.207315,2.217,0.0,0.8181818181818182,False
Paraguay,Australia,1-0,1-1,11,0,9,0.002641818181818182,-0.00526,0.00974,0.02611290909090909,0.082187,1.914181818181818,0.0,0.8181818181818182,False
Curacao,Ivory Coast,0-2,0-3,11,0,11,0.002158181818181818,0.00049,0.004,0.005422090909090909,0.023433,2.6403636363636362,0.0,1.0,False
Norway,France,0-2,1-2,11,0,9,0.0013027272727272727,-0.0007,0.0038,0.006985818181818182,0.015333,1.945,0.0,0.8181818181818182,False
Czech Republic,Mexico,0-2,1-1,11,0,6,0.0012627272727272728,-0.0085,0.00935,0.15288654545454547,0.206805,0.9628181818181819,0.0,0.5454545454545454,False
