commence_time,home_team,away_team,final_pick,home_goals,away_goals,pred_outcome,market_rows,market_available,bookmaker_count_h2h,market_p_home,market_p_draw,market_p_away,market_favourite,market_favourite_prob,totals_available,bookmaker_count_totals,total_line,market_p_over,market_p_under,market_total_lean,market_total_lean_prob,spreads_available,market_alignment_score,market_alignment_label,market_alignment_reasons,validation_score,validation_label,h2h_bookmaker_count,totals_bookmaker_count,spreads_bookmaker_count,market_depth_class,snapshot_id,snapshot_created_at_utc
2026-07-03T18:00:00Z,Australia,Egypt,0-1,0,1,away,109,True,25.0,0.2636082435502544,0.333080265487566,0.4033114909621795,away,0.4033114909621795,True,4.0,2.5,0.3422406757192157,0.6577593242807843,under,0.6577593242807843,False,0.852484,market_aligned,pick outcome agrees with market favourite; goal total agrees with market lean; spreads market unavailable,0.644263,acceptable,25,14,0,strong,20260703T100610Z,2026-07-03T10:06:11.572290+00:00
2026-07-03T22:00:00Z,Argentina,Cape Verde,2-0,2,0,home,109,True,25.0,0.8455556304555841,0.1122050752867609,0.0422392942576549,home,0.8455556304555841,True,9.0,2.5,0.5879917013442123,0.4120082986557876,over,0.5879917013442123,False,0.8,market_aligned,pick outcome agrees with market favourite; market gives selected outcome strong support; goal total conflicts with market lean; spreads market unavailable,0.968202,validated,25,14,0,strong,20260703T100610Z,2026-07-03T10:06:11.572290+00:00
2026-07-04T01:30:00Z,Colombia,Ghana,2-0,2,0,home,109,True,25.0,0.6742439863755838,0.2179711471630511,0.1077848664613649,home,0.6742439863755838,True,11.0,2.5,0.4576759992358107,0.5423240007641894,under,0.5423240007641894,False,1.0,market_aligned,pick outcome agrees with market favourite; market gives selected outcome strong support; goal total agrees with market lean; spreads market unavailable,0.96544,validated,25,14,0,strong,20260703T100610Z,2026-07-03T10:06:11.572290+00:00
2026-07-04T17:00:00Z,Canada,Morocco,0-2,0,2,away,109,True,25.0,0.1848548199873783,0.2738571399533526,0.541288040059269,away,0.541288040059269,True,10.0,2.5,0.4240121329207595,0.5759878670792405,under,0.5759878670792405,False,0.955966,market_aligned,pick outcome agrees with market favourite; market gives selected outcome strong support; goal total agrees with market lean; spreads market unavailable,0.637706,acceptable,25,14,0,strong,20260703T100610Z,2026-07-03T10:06:11.572290+00:00
2026-07-04T21:00:00Z,Paraguay,France,0-2,0,2,away,109,True,25.0,0.0564715231012531,0.1379736398604248,0.8055548370383221,away,0.8055548370383221,True,6.0,2.5,0.569854365881486,0.4301456341185141,over,0.569854365881486,False,0.8,market_aligned,pick outcome agrees with market favourite; market gives selected outcome strong support; goal total conflicts with market lean; spreads market unavailable,0.967413,validated,25,14,0,strong,20260703T100610Z,2026-07-03T10:06:11.572290+00:00
2026-07-05T20:00:00Z,Brazil,Norway,2-0,2,0,home,109,True,25.0,0.5144794486626353,0.2600648413262799,0.2254557100110849,home,0.5144794486626353,True,12.0,2.5,0.5440912835275235,0.4559087164724766,over,0.5440912835275235,False,0.83586,market_aligned,pick outcome agrees with market favourite; market gives selected outcome strong support; spreads market unavailable,0.512325,fragile,25,14,0,strong,20260703T100610Z,2026-07-03T10:06:11.572290+00:00
2026-07-06T00:00:00Z,Mexico,England,0-1,0,1,away,111,True,25.0,0.3049886148772666,0.2988271383684083,0.3961842467543251,away,0.3961842467543251,True,10.0,2.5,0.3955485532562218,0.6044514467437783,under,0.6044514467437783,False,0.847138,market_aligned,pick outcome agrees with market favourite; goal total agrees with market lean; spreads market unavailable,0.516523,fragile,25,15,0,strong,20260703T100610Z,2026-07-03T10:06:11.572290+00:00
2026-07-06T19:00:00Z,Portugal,Spain,0-2,0,2,away,106,True,24.0,0.2347201797757181,0.2663328393270641,0.4989469808972179,away,0.4989469808972179,True,14.0,2.5,0.4927794253613393,0.5072205746386607,under,0.5072205746386607,False,0.92421,market_aligned,pick outcome agrees with market favourite; goal total agrees with market lean; spreads market unavailable,0.513011,fragile,24,14,0,strong,20260703T100610Z,2026-07-03T10:06:11.572290+00:00
2026-07-07T00:00:00Z,United States,Belgium,2-1,2,1,home,0,False,,,,,,,False,,,,,,,False,0.5,market_mixed,h2h market unavailable; totals market unavailable; spreads market unavailable,0.506956,fragile,0,0,0,unavailable,20260703T100610Z,2026-07-03T10:06:11.572290+00:00
2026-07-03T18:00:00Z,Australia,Egypt,0-1,0,1,away,109,True,25.0,0.2627134349859486,0.3339666318078784,0.403319933206173,away,0.403319933206173,True,4.0,2.5,0.3514370094271297,0.6485629905728704,under,0.6485629905728704,False,0.85249,market_aligned,pick outcome agrees with market favourite; goal total agrees with market lean; spreads market unavailable,0.64274,acceptable,25,14,0,strong,20260703T160009Z,2026-07-03T16:00:10.802839+00:00
2026-07-03T22:00:00Z,Argentina,Cape Verde,2-0,2,0,home,109,True,25.0,0.8453423640984887,0.1111636205902837,0.0434940153112275,home,0.8453423640984887,True,9.0,2.5,0.5860601688977984,0.4139398311022015,over,0.5860601688977984,False,0.8,market_aligned,pick outcome agrees with market favourite; market gives selected outcome strong support; goal total conflicts with market lean; spreads market unavailable,0.968419,validated,25,14,0,strong,20260703T160009Z,2026-07-03T16:00:10.802839+00:00
2026-07-04T01:30:00Z,Colombia,Ghana,2-0,2,0,home,109,True,25.0,0.6704905059970976,0.2191027601480054,0.1104067338548969,home,0.6704905059970976,True,13.0,2.5,0.4649484776635188,0.5350515223364811,under,0.5350515223364811,False,1.0,market_aligned,pick outcome agrees with market favourite; market gives selected outcome strong support; goal total agrees with market lean; spreads market unavailable,0.965595,validated,25,14,0,strong,20260703T160009Z,2026-07-03T16:00:10.802839+00:00
2026-07-04T17:00:00Z,Canada,Morocco,0-2,0,2,away,109,True,25.0,0.186328685331211,0.2736793875091667,0.5399919271596222,away,0.5399919271596222,True,10.0,2.5,0.4245829320091523,0.5754170679908477,under,0.5754170679908477,False,0.954994,market_aligned,pick outcome agrees with market favourite; market gives selected outcome strong support; goal total agrees with market lean; spreads market unavailable,0.637573,acceptable,25,14,0,strong,20260703T160009Z,2026-07-03T16:00:10.802839+00:00
2026-07-04T21:00:00Z,Paraguay,France,0-2,0,2,away,109,True,25.0,0.0552277201532269,0.1364316241288817,0.8083406557178913,away,0.8083406557178913,True,11.0,2.5,0.5603135994865148,0.4396864005134854,over,0.5603135994865148,False,0.8,market_aligned,pick outcome agrees with market favourite; market gives selected outcome strong support; goal total conflicts with market lean; spreads market unavailable,0.969891,validated,25,14,0,strong,20260703T160009Z,2026-07-03T16:00:10.802839+00:00
2026-07-05T20:00:00Z,Brazil,Norway,2-0,2,0,home,109,True,25.0,0.5213093222921684,0.2580017512658484,0.2206889264419833,home,0.5213093222921684,True,12.0,2.5,0.5387732519740843,0.4612267480259156,over,0.5387732519740843,False,0.840982,market_aligned,pick outcome agrees with market favourite; market gives selected outcome strong support; spreads market unavailable,0.512798,fragile,25,14,0,strong,20260703T160009Z,2026-07-03T16:00:10.802839+00:00
2026-07-06T00:00:00Z,Mexico,England,0-1,0,1,away,111,True,25.0,0.3051527232437768,0.2994933196884976,0.3953539570677257,away,0.3953539570677257,True,10.0,2.5,0.3961211585271824,0.6038788414728175,under,0.6038788414728175,False,0.846515,market_aligned,pick outcome agrees with market favourite; goal total agrees with market lean; spreads market unavailable,0.51643,fragile,25,15,0,strong,20260703T160009Z,2026-07-03T16:00:10.802839+00:00
2026-07-06T19:00:00Z,Portugal,Spain,0-2,0,2,away,111,True,25.0,0.2344764391497652,0.2643104032443829,0.5012131576058517,away,0.5012131576058517,True,14.0,2.5,0.5008739049350263,0.4991260950649737,over,0.5008739049350263,False,0.82591,market_aligned,pick outcome agrees with market favourite; market gives selected outcome strong support; spreads market unavailable,0.512696,fragile,25,15,0,strong,20260703T160009Z,2026-07-03T16:00:10.802839+00:00
2026-07-07T00:00:00Z,United States,Belgium,2-1,2,1,home,0,False,,,,,,,False,,,,,,,False,0.5,market_mixed,h2h market unavailable; totals market unavailable; spreads market unavailable,0.506756,fragile,0,0,0,unavailable,20260703T160009Z,2026-07-03T16:00:10.802839+00:00
2026-07-04T17:00:00Z,Canada,Morocco,0-2,0,2,away,109,True,25.0,0.1831000994122181,0.2788997091933091,0.5380001913944726,away,0.5380001913944726,True,12.0,2.5,0.4362599270071668,0.5637400729928332,under,0.5637400729928332,False,0.9535,market_aligned,pick outcome agrees with market favourite; market gives selected outcome strong support; goal total agrees with market lean; spreads market unavailable,0.637892,acceptable,25,14,0,strong,20260704T085054Z,2026-07-04T08:50:56.143302+00:00
2026-07-04T21:00:00Z,Paraguay,France,0-2,0,2,away,109,True,25.0,0.0528408324723015,0.1315305875776383,0.8156285799500601,away,0.8156285799500601,True,9.0,2.5,0.5798374868149309,0.4201625131850692,over,0.5798374868149309,False,0.8,market_aligned,pick outcome agrees with market favourite; market gives selected outcome strong support; goal total conflicts with market lean; spreads market unavailable,0.966378,validated,25,14,0,strong,20260704T085054Z,2026-07-04T08:50:56.143302+00:00
2026-07-05T20:00:00Z,Brazil,Norway,2-0,2,0,home,109,True,25.0,0.5243949705466597,0.2568516358205007,0.2187533936328394,home,0.5243949705466597,True,12.0,2.5,0.546132413896997,0.453867586103003,over,0.546132413896997,False,0.843296,market_aligned,pick outcome agrees with market favourite; market gives selected outcome strong support; spreads market unavailable,0.512728,fragile,25,14,0,strong,20260704T085054Z,2026-07-04T08:50:56.143302+00:00
2026-07-06T00:00:00Z,Mexico,England,0-1,0,1,away,111,True,25.0,0.3077806637698375,0.2982931454880266,0.3939261907421359,away,0.3939261907421359,True,10.0,2.5,0.3986198661459708,0.6013801338540291,under,0.6013801338540291,False,0.845445,market_aligned,pick outcome agrees with market favourite; goal total agrees with market lean; spreads market unavailable,0.516103,fragile,25,15,0,strong,20260704T085054Z,2026-07-04T08:50:56.143302+00:00
2026-07-06T19:00:00Z,Portugal,Spain,0-2,0,2,away,109,True,25.0,0.2357013894272062,0.2648324271520091,0.4994661834207847,away,0.4994661834207847,True,13.0,2.5,0.5063423605360231,0.4936576394639769,over,0.5063423605360231,False,0.8246,market_aligned,pick outcome agrees with market favourite; spreads market unavailable,0.512422,fragile,25,14,0,strong,20260704T085054Z,2026-07-04T08:50:56.143302+00:00
2026-07-07T00:00:00Z,United States,Belgium,1-2,1,2,away,0,False,,,,,,,False,,,,,,,False,0.5,market_mixed,h2h market unavailable; totals market unavailable; spreads market unavailable,0.627847,acceptable,0,0,0,unavailable,20260704T085054Z,2026-07-04T08:50:56.143302+00:00
2026-07-07T16:00:00Z,Argentina,Egypt,2-0,2,0,home,106,True,24.0,0.7036894445145468,0.1971458610190259,0.0991646944664271,home,0.7036894445145468,True,14.0,2.5,0.4759002672881299,0.52409973271187,under,0.52409973271187,False,1.0,market_aligned,pick outcome agrees with market favourite; market gives selected outcome strong support; goal total agrees with market lean; spreads market unavailable,0.967565,validated,24,14,0,strong,20260704T085054Z,2026-07-04T08:50:56.143302+00:00
2026-07-07T20:00:00Z,Switzerland,Colombia,0-2,0,2,away,100,True,22.0,0.2730453825768583,0.2997331307439456,0.427221486679196,away,0.427221486679196,True,10.0,2.5,0.4161671058628082,0.5838328941371919,under,0.5838328941371919,False,0.870416,market_aligned,pick outcome agrees with market favourite; goal total agrees with market lean; spreads market unavailable,0.46974,fragile,22,14,0,strong,20260704T085054Z,2026-07-04T08:50:56.143302+00:00
2026-07-04T17:00:00Z,Canada,Morocco,0-2,0,2,away,109,True,25.0,0.1708967552065932,0.2800364013862307,0.549066843407176,away,0.549066843407176,True,12.0,2.5,0.4336358866131576,0.5663641133868423,under,0.5663641133868423,False,0.9618,market_aligned,pick outcome agrees with market favourite; market gives selected outcome strong support; goal total agrees with market lean; spreads market unavailable,0.734909,acceptable,25,14,0,strong,20260704T151913Z,2026-07-04T15:19:14.687075+00:00
2026-07-04T21:00:00Z,Paraguay,France,0-2,0,2,away,109,True,25.0,0.0554660228034556,0.1335231650388389,0.8110108121577057,away,0.8110108121577057,True,9.0,2.5,0.5866741394251904,0.4133258605748096,over,0.5866741394251904,False,0.8,market_aligned,pick outcome agrees with market favourite; market gives selected outcome strong support; goal total conflicts with market lean; spreads market unavailable,0.96554,validated,25,14,0,strong,20260704T151913Z,2026-07-04T15:19:14.687075+00:00
2026-07-05T20:00:00Z,Brazil,Norway,2-0,2,0,home,109,True,25.0,0.5236383411104529,0.257471135538517,0.21889052335103,home,0.5236383411104529,True,12.0,2.5,0.5495014371579673,0.4504985628420326,over,0.5495014371579673,False,0.842729,market_aligned,pick outcome agrees with market favourite; market gives selected outcome strong support; spreads market unavailable,0.512616,fragile,25,14,0,strong,20260704T151913Z,2026-07-04T15:19:14.687075+00:00
2026-07-06T00:00:00Z,Mexico,England,0-1,0,1,away,111,True,25.0,0.3094615060119945,0.298717951359281,0.3918205426287245,away,0.3918205426287245,True,10.0,2.5,0.4000719148257405,0.5999280851742594,under,0.5999280851742594,False,0.843865,market_aligned,pick outcome agrees with market favourite; goal total agrees with market lean; spreads market unavailable,0.515605,fragile,25,15,0,strong,20260704T151913Z,2026-07-04T15:19:14.687075+00:00
2026-07-06T19:00:00Z,Portugal,Spain,0-2,0,2,away,109,True,25.0,0.2340168156875068,0.2638571107085255,0.5021260736039677,away,0.5021260736039677,True,13.0,2.5,0.5171908025505783,0.4828091974494217,over,0.5171908025505783,False,0.826595,market_aligned,pick outcome agrees with market favourite; market gives selected outcome strong support; spreads market unavailable,0.512062,fragile,25,14,0,strong,20260704T151913Z,2026-07-04T15:19:14.687075+00:00
2026-07-07T00:00:00Z,United States,Belgium,1-2,1,2,away,0,False,,,,,,,False,,,,,,,False,0.5,market_mixed,h2h market unavailable; totals market unavailable; spreads market unavailable,0.627486,acceptable,0,0,0,unavailable,20260704T151913Z,2026-07-04T15:19:14.687075+00:00
2026-07-07T16:00:00Z,Argentina,Egypt,2-0,2,0,home,111,True,25.0,0.7028829430379444,0.1979038176436856,0.0992132393183696,home,0.7028829430379444,True,14.0,2.5,0.4755675411450172,0.5244324588549828,under,0.5244324588549828,False,1.0,market_aligned,pick outcome agrees with market favourite; market gives selected outcome strong support; goal total agrees with market lean; spreads market unavailable,0.967274,validated,25,15,0,strong,20260704T151913Z,2026-07-04T15:19:14.687075+00:00
2026-07-07T20:00:00Z,Switzerland,Colombia,0-2,0,2,away,111,True,25.0,0.2759590734865415,0.300008087022636,0.4240328394908226,away,0.4240328394908226,True,10.0,2.5,0.4156264319624964,0.5843735680375036,under,0.5843735680375036,False,0.868025,market_aligned,pick outcome agrees with market favourite; goal total agrees with market lean; spreads market unavailable,0.505913,fragile,25,15,0,strong,20260704T151913Z,2026-07-04T15:19:14.687075+00:00
2026-07-05T20:00:00Z,Brazil,Norway,2-0,2,0,home,106,True,24.0,0.5352169775713085,0.2577367940716081,0.2070462283570835,home,0.5352169775713085,True,10.0,2.5,0.5581558080561215,0.4418441919438785,over,0.5581558080561215,False,0.751413,market_aligned,pick outcome agrees with market favourite; market gives selected outcome strong support; goal total conflicts with market lean; spreads market unavailable,0.51243,fragile,24,14,0,strong,20260705T092055Z,2026-07-05T09:20:56.887863+00:00
2026-07-06T00:00:00Z,Mexico,England,0-1,0,1,away,108,True,24.0,0.3021798009274526,0.3022773830851276,0.3955428159874197,away,0.3955428159874197,True,10.0,2.5,0.4029141111189127,0.5970858888810872,under,0.5970858888810872,False,0.846657,market_aligned,pick outcome agrees with market favourite; goal total agrees with market lean; spreads market unavailable,0.516669,fragile,24,15,0,strong,20260705T092055Z,2026-07-05T09:20:56.887863+00:00
2026-07-06T19:00:00Z,Portugal,Spain,0-2,0,2,away,106,True,24.0,0.2356251957506573,0.2622780636659076,0.502096740583435,away,0.502096740583435,True,12.0,2.5,0.5243479608227769,0.4756520391772232,over,0.5243479608227769,False,0.826573,market_aligned,pick outcome agrees with market favourite; market gives selected outcome strong support; spreads market unavailable,0.511877,fragile,24,14,0,strong,20260705T092055Z,2026-07-05T09:20:56.887863+00:00
2026-07-07T00:00:00Z,United States,Belgium,1-2,1,2,away,0,False,,,,,,,False,,,,,,,False,0.5,market_mixed,h2h market unavailable; totals market unavailable; spreads market unavailable,0.50698,fragile,0,0,0,unavailable,20260705T092055Z,2026-07-05T09:20:56.887863+00:00
