commence_time,home_team,away_team,final_pick,home_goals,away_goals,pred_outcome,market_rows,market_available,totals_available,spreads_available,market_alignment_score,market_alignment_label,market_alignment_reasons,bookmaker_count_totals,total_line,market_p_over,market_p_under,market_total_lean,market_total_lean_prob,bookmaker_count_spreads,avg_home_spread,bookmaker_count_h2h,market_p_home,market_p_draw,market_p_away,market_favourite,market_favourite_prob,validation_score,validation_label,h2h_bookmaker_count,totals_bookmaker_count,spreads_bookmaker_count,market_depth_class,snapshot_id,snapshot_created_at_utc
2026-06-20T17:00:00Z,Netherlands,Sweden,2-0,2,0,home,0,False,False,False,0.5,market_mixed,h2h market unavailable; totals market unavailable; spreads market unavailable,,,,,,,,,,,,,,,0.610545,fragile,0,0,0,unavailable,20260621T165947Z,2026-06-21T16:59:50.406128+00:00
2026-06-20T20:00:00Z,Germany,Ivory Coast,2-0,2,0,home,0,False,False,False,0.5,market_mixed,h2h market unavailable; totals market unavailable; spreads market unavailable,,,,,,,,,,,,,,,0.642364,acceptable,0,0,0,unavailable,20260621T165947Z,2026-06-21T16:59:50.406128+00:00
2026-06-21T00:00:00Z,Ecuador,Curacao,2-0,2,0,home,0,False,False,False,0.5,market_mixed,h2h market unavailable; totals market unavailable; spreads market unavailable,,,,,,,,,,,,,,,0.706545,acceptable,0,0,0,unavailable,20260621T165947Z,2026-06-21T16:59:50.406128+00:00
2026-06-21T04:00:00Z,Tunisia,Japan,0-2,0,2,away,0,False,False,False,0.5,market_mixed,h2h market unavailable; totals market unavailable; spreads market unavailable,,,,,,,,,,,,,,,0.656,acceptable,0,0,0,unavailable,20260621T165947Z,2026-06-21T16:59:50.406128+00:00
2026-06-21T16:00:00Z,Spain,Saudi Arabia,3-0,3,0,home,72,False,True,True,0.68,market_mixed,h2h market unavailable; goal total agrees with market lean; score margin direction agrees with spread,14.0,5.5,0.4351943159789815,0.5648056840210185,under,0.5648056840210185,4.0,-3.75,,,,,,,0.692909,acceptable,10,17,4,strong,20260621T165947Z,2026-06-21T16:59:50.406128+00:00
2026-06-21T19:00:00Z,Belgium,Iran,2-0,2,0,home,261,True,True,True,0.98,market_aligned,pick outcome agrees with market favourite; market gives selected outcome strong support; score margin direction agrees with spread,24.0,2.5,0.5303743740070944,0.4696256259929055,over,0.5303743740070944,11.0,-1.431818181818182,58.0,0.6784822940990332,0.2010565550396335,0.1204611508613332,home,0.6784822940990332,0.88,validated,55,25,11,strong,20260621T165947Z,2026-06-21T16:59:50.406128+00:00
2026-06-21T22:00:00Z,Uruguay,Cape Verde,2-0,2,0,home,261,True,True,True,1.0,market_aligned,pick outcome agrees with market favourite; market gives selected outcome strong support; goal total agrees with market lean; score margin direction agrees with spread,20.0,2.5,0.4197982356810055,0.5802017643189943,under,0.5802017643189943,11.0,-1.2045454545454546,58.0,0.6629885039556318,0.2287181932019564,0.1082933028424113,home,0.6629885039556318,0.88,validated,55,25,11,strong,20260621T165947Z,2026-06-21T16:59:50.406128+00:00
2026-06-22T01:00:00Z,New Zealand,Egypt,0-2,0,2,away,261,True,True,True,1.0,market_aligned,pick outcome agrees with market favourite; market gives selected outcome strong support; goal total agrees with market lean; score margin direction agrees with spread,24.0,2.5,0.4648618388254291,0.5351381611745706,under,0.5351381611745706,11.0,0.9545454545454546,58.0,0.1591968745129443,0.2391605186901485,0.601642606796907,away,0.601642606796907,0.656,acceptable,55,25,11,strong,20260621T165947Z,2026-06-21T16:59:50.406128+00:00
2026-06-22T17:00:00Z,Argentina,Austria,2-0,2,0,home,263,True,True,True,0.98,market_aligned,pick outcome agrees with market favourite; market gives selected outcome strong support; score margin direction agrees with spread,25.0,2.5,0.5004833957149861,0.4995166042850138,over,0.5004833957149861,11.0,-1.0454545454545454,58.0,0.6201364810376442,0.2336879849491993,0.1461755340131567,home,0.6201364810376442,0.656,acceptable,55,26,11,strong,20260621T165947Z,2026-06-21T16:59:50.406128+00:00
2026-06-22T21:00:00Z,France,Iraq,3-0,3,0,home,265,True,True,True,1.0,market_aligned,pick outcome agrees with market favourite; market gives selected outcome strong support; goal total agrees with market lean; score margin direction agrees with spread,3.0,2.5,0.6977213147812059,0.3022786852187941,over,0.6977213147812059,12.0,-2.5625,58.0,0.8825619453976102,0.0844820690207588,0.0329559855816309,home,0.8825619453976102,0.724727,acceptable,55,26,12,strong,20260621T165947Z,2026-06-21T16:59:50.406128+00:00
