match_id,commence_time,home_team,away_team,correct_score_row_count,missing_exact_scores,missing_other_rows,correct_score_probability_total_pct,winner_probability_total_pct,winner_home_pct,winner_draw_pct,winner_away_pct,modal_correct_score,market_p_home_win,market_p_draw,market_p_away_win,locked_pick,locked_pick_outside_0_3_grid,source_url,current_url,has_grid,row_count_usually_19,has_exact_0_0_to_3_3,has_other_rows,correct_score_probability_total_ok,winner_probability_total_ok,market_1x2_vs_grid_direction_consistent,source_url_loaded_successfully,modal_score_present,locked_score_present_or_outside_grid,quality_status,failed_checks,failed_check_count
algeria-austria,,,,0,0-0;0-1;0-2;0-3;1-0;1-1;1-2;1-3;2-0;2-1;2-2;2-3;3-0;3-1;3-2;3-3,Other_1;Other_X;Other_2,0.0,0.0,,,,,,,,0-1,False,,,False,False,False,False,False,False,True,False,False,False,warning,has_grid;row_count_usually_19;has_exact_0_0_to_3_3;has_other_rows;correct_score_probability_total_ok;winner_probability_total_ok;source_url_loaded_successfully;modal_score_present;locked_score_present_or_outside_grid,9
argentina-austria,2026-06-22T17:00:00Z,Argentina,Austria,19,,,99.96000000000001,99.94999999999999,41.55,24.5,33.9,1-1,41.55,24.5,33.9,2-0,False,https://oddspedia.com/football/argentina-austria-1654585,https://oddspedia.com/football/argentina-austria-1654585,True,True,True,True,True,True,True,True,True,True,ok,,0
belgium-iran,2026-06-21T19:00:00Z,Belgium,Iran,19,,,100.08000000000001,100.05,51.9,23.85,24.3,1-1,51.9,23.85,24.3,2-0,False,https://oddspedia.com/football/belgium-iran-1654569,https://oddspedia.com/football/belgium-iran-1654569,True,True,True,True,True,True,True,True,True,True,ok,,0
bosnia-and-herzegovina-qatar,,,,0,0-0;0-1;0-2;0-3;1-0;1-1;1-2;1-3;2-0;2-1;2-2;2-3;3-0;3-1;3-2;3-3,Other_1;Other_X;Other_2,0.0,0.0,,,,,,,,2-0,False,,,False,False,False,False,False,False,True,False,False,False,warning,has_grid;row_count_usually_19;has_exact_0_0_to_3_3;has_other_rows;correct_score_probability_total_ok;winner_probability_total_ok;source_url_loaded_successfully;modal_score_present;locked_score_present_or_outside_grid,9
cape-verde-saudi-arabia,,,,0,0-0;0-1;0-2;0-3;1-0;1-1;1-2;1-3;2-0;2-1;2-2;2-3;3-0;3-1;3-2;3-3,Other_1;Other_X;Other_2,0.0,0.0,,,,,,,,1-2,False,,,False,False,False,False,False,False,True,False,False,False,warning,has_grid;row_count_usually_19;has_exact_0_0_to_3_3;has_other_rows;correct_score_probability_total_ok;winner_probability_total_ok;source_url_loaded_successfully;modal_score_present;locked_score_present_or_outside_grid,9
colombia-dr-congo,2026-06-24T02:00:00Z,Colombia,DR Congo,19,,,99.99999999999999,100.00000000000001,52.95,25.85,21.2,1-0,52.95,25.85,21.2,2-0,False,https://oddspedia.com/football/colombia-dr-congo-1869932,https://oddspedia.com/football/colombia-dr-congo-1869932,True,True,True,True,True,True,True,True,True,True,ok,,0
colombia-portugal,,,,0,0-0;0-1;0-2;0-3;1-0;1-1;1-2;1-3;2-0;2-1;2-2;2-3;3-0;3-1;3-2;3-3,Other_1;Other_X;Other_2,0.0,0.0,,,,,,,,0-2,False,,,False,False,False,False,False,False,True,False,False,False,warning,has_grid;row_count_usually_19;has_exact_0_0_to_3_3;has_other_rows;correct_score_probability_total_ok;winner_probability_total_ok;source_url_loaded_successfully;modal_score_present;locked_score_present_or_outside_grid,9
croatia-ghana,,,,0,0-0;0-1;0-2;0-3;1-0;1-1;1-2;1-3;2-0;2-1;2-2;2-3;3-0;3-1;3-2;3-3,Other_1;Other_X;Other_2,0.0,0.0,,,,,,,,2-0,False,,,False,False,False,False,False,False,True,False,False,False,warning,has_grid;row_count_usually_19;has_exact_0_0_to_3_3;has_other_rows;correct_score_probability_total_ok;winner_probability_total_ok;source_url_loaded_successfully;modal_score_present;locked_score_present_or_outside_grid,9
curacao-ivory-coast,,,,0,0-0;0-1;0-2;0-3;1-0;1-1;1-2;1-3;2-0;2-1;2-2;2-3;3-0;3-1;3-2;3-3,Other_1;Other_X;Other_2,0.0,0.0,,,,,,,,0-2,False,,,False,False,False,False,False,False,True,False,False,False,warning,has_grid;row_count_usually_19;has_exact_0_0_to_3_3;has_other_rows;correct_score_probability_total_ok;winner_probability_total_ok;source_url_loaded_successfully;modal_score_present;locked_score_present_or_outside_grid,9
czech-republic-mexico,,,,0,0-0;0-1;0-2;0-3;1-0;1-1;1-2;1-3;2-0;2-1;2-2;2-3;3-0;3-1;3-2;3-3,Other_1;Other_X;Other_2,0.0,0.0,,,,,,,,0-2,False,,,False,False,False,False,False,False,True,False,False,False,warning,has_grid;row_count_usually_19;has_exact_0_0_to_3_3;has_other_rows;correct_score_probability_total_ok;winner_probability_total_ok;source_url_loaded_successfully;modal_score_present;locked_score_present_or_outside_grid,9
dr-congo-uzbekistan,,,,0,0-0;0-1;0-2;0-3;1-0;1-1;1-2;1-3;2-0;2-1;2-2;2-3;3-0;3-1;3-2;3-3,Other_1;Other_X;Other_2,0.0,0.0,,,,,,,,2-1,False,,,False,False,False,False,False,False,True,False,False,False,warning,has_grid;row_count_usually_19;has_exact_0_0_to_3_3;has_other_rows;correct_score_probability_total_ok;winner_probability_total_ok;source_url_loaded_successfully;modal_score_present;locked_score_present_or_outside_grid,9
ecuador-curacao,2026-06-21T00:00:00Z,Ecuador,Curacao,19,,,100.0,100.0,49.1,26.05,24.85,1-0,49.1,26.05,24.85,2-0,False,https://oddspedia.com/football/ecuador-curacao-1654564,https://oddspedia.com/football/ecuador-curacao-1654564,True,True,True,True,True,True,True,True,True,True,ok,,0
ecuador-germany,,,,0,0-0;0-1;0-2;0-3;1-0;1-1;1-2;1-3;2-0;2-1;2-2;2-3;3-0;3-1;3-2;3-3,Other_1;Other_X;Other_2,0.0,0.0,,,,,,,,0-2,False,,,False,False,False,False,False,False,True,False,False,False,warning,has_grid;row_count_usually_19;has_exact_0_0_to_3_3;has_other_rows;correct_score_probability_total_ok;winner_probability_total_ok;source_url_loaded_successfully;modal_score_present;locked_score_present_or_outside_grid,9
egypt-iran,,,,0,0-0;0-1;0-2;0-3;1-0;1-1;1-2;1-3;2-0;2-1;2-2;2-3;3-0;3-1;3-2;3-3,Other_1;Other_X;Other_2,0.0,0.0,,,,,,,,2-0,False,,,False,False,False,False,False,False,True,False,False,False,warning,has_grid;row_count_usually_19;has_exact_0_0_to_3_3;has_other_rows;correct_score_probability_total_ok;winner_probability_total_ok;source_url_loaded_successfully;modal_score_present;locked_score_present_or_outside_grid,9
england-ghana,2026-06-23T20:00:00Z,England,Ghana,19,,,100.05,100.03999999999999,69.8,19.5,10.74,1-0,69.8,19.5,10.74,2-0,False,https://oddspedia.com/football/england-ghana-1654594,https://oddspedia.com/football/england-ghana-1654594,True,True,True,True,True,True,True,True,True,True,ok,,0
france-iraq,2026-06-22T21:00:00Z,France,Iraq,19,,,99.97,99.96000000000001,72.95,18.7,8.31,1-0,72.95,18.7,8.31,3-0,False,https://oddspedia.com/football/france-iraq-1869928,https://oddspedia.com/football/france-iraq-1869928,True,True,True,True,True,True,True,True,True,True,ok,,0
germany-ivory-coast,2026-06-20T20:00:00Z,Germany,Ivory Coast,19,,,99.99000000000001,100.0,55.85,22.0,22.15,1-1,55.85,22.0,22.15,2-0,False,https://oddspedia.com/football/germany-ivory-coast-1654563,https://oddspedia.com/football/germany-ivory-coast-1654563,True,True,True,True,True,True,True,True,True,True,ok,,0
japan-sweden,,,,0,0-0;0-1;0-2;0-3;1-0;1-1;1-2;1-3;2-0;2-1;2-2;2-3;3-0;3-1;3-2;3-3,Other_1;Other_X;Other_2,0.0,0.0,,,,,,,,2-1,False,,,False,False,False,False,False,False,True,False,False,False,warning,has_grid;row_count_usually_19;has_exact_0_0_to_3_3;has_other_rows;correct_score_probability_total_ok;winner_probability_total_ok;source_url_loaded_successfully;modal_score_present;locked_score_present_or_outside_grid,9
