commence_time,home_team,away_team,best_score
2026-06-24T19:00:00Z,Bosnia & Herzegovina,Qatar,25
2026-06-24T19:00:00Z,Switzerland,Canada,25
2026-06-24T22:00:00Z,Morocco,Haiti,25
2026-06-24T22:00:00Z,Scotland,Brazil,25
2026-06-25T01:00:00Z,Czech Republic,Mexico,25
2026-06-25T01:00:00Z,South Africa,South Korea,25
2026-06-25T20:00:00Z,Curacao,Ivory Coast,25
2026-06-25T20:00:00Z,Ecuador,Germany,25
2026-06-25T23:00:00Z,Japan,Sweden,25
2026-06-25T23:00:00Z,Tunisia,Netherlands,25
2026-06-26T02:00:00Z,Paraguay,Australia,25
2026-06-26T02:00:00Z,Turkey,United States,25
2026-06-26T19:00:00Z,Senegal,Iraq,25
2026-06-26T19:00:00Z,Norway,France,25
2026-06-27T00:00:00Z,Cape Verde,Saudi Arabia,25
2026-06-27T00:00:00Z,Uruguay,Spain,25
2026-06-27T03:00:00Z,New Zealand,Belgium,25
2026-06-27T03:00:00Z,Egypt,Iran,25
2026-06-27T21:00:00Z,Croatia,Ghana,25
2026-06-27T21:00:00Z,Panama,England,25
2026-06-27T23:30:00Z,Colombia,Portugal,25
2026-06-27T23:30:00Z,DR Congo,Uzbekistan,25
2026-06-28T02:00:00Z,Algeria,Austria,25
2026-06-28T02:00:00Z,Jordan,Argentina,25
