home_team,away_team,commence_time,best_score
Bosnia & Herzegovina,Qatar,2026-06-24T19:00:00Z,25
Switzerland,Canada,2026-06-24T19:00:00Z,25
Morocco,Haiti,2026-06-24T22:00:00Z,25
Scotland,Brazil,2026-06-24T22:00:00Z,25
Czech Republic,Mexico,2026-06-25T01:00:00Z,25
South Africa,South Korea,2026-06-25T01:00:00Z,25
Curacao,Ivory Coast,2026-06-25T20:00:00Z,25
Ecuador,Germany,2026-06-25T20:00:00Z,25
Japan,Sweden,2026-06-25T23:00:00Z,25
Tunisia,Netherlands,2026-06-25T23:00:00Z,25
Paraguay,Australia,2026-06-26T02:00:00Z,25
Turkey,United States,2026-06-26T02:00:00Z,25
Senegal,Iraq,2026-06-26T19:00:00Z,25
Norway,France,2026-06-26T19:00:00Z,25
Cape Verde,Saudi Arabia,2026-06-27T00:00:00Z,25
Uruguay,Spain,2026-06-27T00:00:00Z,25
New Zealand,Belgium,2026-06-27T03:00:00Z,25
Egypt,Iran,2026-06-27T03:00:00Z,25
Croatia,Ghana,2026-06-27T21:00:00Z,25
Panama,England,2026-06-27T21:00:00Z,25
Colombia,Portugal,2026-06-27T23:30:00Z,25
DR Congo,Uzbekistan,2026-06-27T23:30:00Z,25
Algeria,Austria,2026-06-28T02:00:00Z,25
Jordan,Argentina,2026-06-28T02:00:00Z,25
