home,away,commence_time,actual_score,raw_home,raw_draw,raw_away,sum_raw,p_home,p_draw,p_away,favourite,actual_outcome,favourite_correct,home_market,draw_market,away_market,snapshot_times
Portugal,DR Congo,2026-06-17T17:00:00Z,1-1,0.765,0.165,0.075,1.0050000000000001,0.7611940298507462,0.16417910447761194,0.07462686567164178,home,draw,False,Will Portugal win on 2026-06-17?,Will Portugal vs. DR Congo end in a draw?,Will DR Congo win on 2026-06-17?,2026-06-17T15:00:06+00:00|2026-06-17T15:00:06+00:00|2026-06-17T15:00:11+00:00
England,Croatia,2026-06-17T20:00:00Z,4-2,0.575,0.255,0.175,1.005,0.5721393034825871,0.2537313432835821,0.17412935323383086,home,home,True,Will England win on 2026-06-17?,Will England vs. Croatia end in a draw?,Will Croatia win on 2026-06-17?,2026-06-17T18:00:12+00:00|2026-06-17T18:00:11+00:00|2026-06-17T18:00:09+00:00
Ghana,Panama,2026-06-17T23:00:00Z,1-0,0.405,0.305,0.295,1.005,0.4029850746268657,0.3034825870646766,0.2935323383084577,home,home,True,Will Ghana win on 2026-06-17?,Will Ghana vs. Panama end in a draw?,Will Panama win on 2026-06-17?,2026-06-17T21:00:04+00:00|2026-06-17T21:00:06+00:00|2026-06-17T21:00:08+00:00
Uzbekistan,Colombia,2026-06-18T02:00:00Z,1-3,0.095,0.195,0.705,0.995,0.09547738693467336,0.19597989949748745,0.7085427135678392,away,away,True,Will Uzbekistan win on 2026-06-17?,Will Uzbekistan vs. Colombia end in a draw?,Will Colombia win on 2026-06-17?,2026-06-18T00:00:16+00:00|2026-06-18T00:00:28+00:00|2026-06-18T00:00:24+00:00
Czech Republic,South Africa,2026-06-18T16:00:00Z,1-1,0.535,0.265,0.205,1.0050000000000001,0.5323383084577115,0.26368159203980096,0.20398009950248752,home,draw,False,Will Czechia win on 2026-06-18?,Will Czechia vs. South Africa end in a draw?,Will South Africa win on 2026-06-18?,2026-06-18T14:00:05+00:00|2026-06-18T14:00:04+00:00|2026-06-18T14:00:04+00:00
Switzerland,Bosnia & Herzegovina,2026-06-18T19:00:00Z,4-1,0.625,0.235,0.145,1.005,0.6218905472636816,0.2338308457711443,0.14427860696517414,home,home,True,Will Switzerland win on 2026-06-18?,Will Switzerland vs. Bosnia and Herzegovina end in a draw?,Will Bosnia and Herzegovina win on 2026-06-18?,2026-06-18T17:00:03+00:00|2026-06-18T17:00:14+00:00|2026-06-18T17:00:14+00:00
Canada,Qatar,2026-06-18T22:00:00Z,,0.745,0.175,0.085,1.005,0.7412935323383085,0.17412935323383086,0.08457711442786071,home,,,Will Canada win on 2026-06-18?,Will Canada vs. Qatar end in a draw?,Will Qatar win on 2026-06-18?,2026-06-18T20:00:08+00:00|2026-06-18T20:00:06+00:00|2026-06-18T20:00:08+00:00
United States,Australia,2026-06-19T19:00:00Z,,0.605,0.215,0.175,0.9949999999999999,0.6080402010050252,0.21608040201005027,0.17587939698492464,home,,,Will United States win on 2026-06-19?,Will United States vs. Australia end in a draw?,Will Australia win on 2026-06-19?,2026-06-19T04:00:03+00:00|2026-06-19T04:00:03+00:00|2026-06-19T04:00:03+00:00
Scotland,Morocco,2026-06-19T22:00:00Z,,0.175,0.265,0.555,0.9950000000000001,0.17587939698492458,0.2663316582914573,0.5577889447236181,away,,,Will Scotland win on 2026-06-19?,Will Scotland vs. Morocco end in a draw?,Will Morocco win on 2026-06-19?,2026-06-19T04:00:03+00:00|2026-06-19T04:00:03+00:00|2026-06-19T04:00:04+00:00
Brazil,Haiti,2026-06-20T01:00:00Z,,0.885,0.0825,0.0365,1.004,0.8814741035856574,0.08217131474103587,0.03635458167330677,home,,,Will Brazil win on 2026-06-19?,Will Brazil vs. Haiti end in a draw?,Will Haiti win on 2026-06-19?,2026-06-19T04:00:03+00:00|2026-06-19T04:00:05+00:00|2026-06-19T04:00:04+00:00
