home,away,commence_time,actual_score,question,slug,match_type,active,closed,volume,liquidity,outcome_prices,yes_token_id,pre_kickoff_yes_price,pre_kickoff_price_time
Portugal,DR Congo,2026-06-17T17:00:00Z,1-1,Will Portugal win on 2026-06-17?,fifwc-prt-cdr-2026-06-17-prt,home_win_market,True,True,14396185.470534254,,"[""0"", ""1""]",76071109489406808599878692125264766321676001700733380917373465772841855210643,0.765,2026-06-17T15:00:06+00:00
Portugal,DR Congo,2026-06-17T17:00:00Z,1-1,Will Portugal vs. DR Congo end in a draw?,fifwc-prt-cdr-2026-06-17-draw,draw_market,True,True,4963490.814626961,,"[""1"", ""0""]",2328333301741750345417630454121106244367883081134709887163965516147303610120,0.165,2026-06-17T15:00:06+00:00
Portugal,DR Congo,2026-06-17T17:00:00Z,1-1,Will DR Congo win on 2026-06-17?,fifwc-prt-cdr-2026-06-17-cdr,away_win_market,True,True,4297509.750632005,,"[""0"", ""1""]",59454896622130760276442490722222126894150925046963444585060045915889624278803,0.075,2026-06-17T15:00:11+00:00
England,Croatia,2026-06-17T20:00:00Z,4-2,Will England win on 2026-06-17?,fifwc-eng-hrv-2026-06-17-eng,home_win_market,True,True,15857649.80726726,,"[""1"", ""0""]",45513813860398961340723481590130352932611791552209098368268600222240572304551,0.575,2026-06-17T18:00:12+00:00
England,Croatia,2026-06-17T20:00:00Z,4-2,Will Croatia win on 2026-06-17?,fifwc-eng-hrv-2026-06-17-hrv,away_win_market,True,True,7210340.936444105,,"[""0"", ""1""]",55443738818158231803517291185008080654932985451404315852703585757411667902597,0.175,2026-06-17T18:00:09+00:00
England,Croatia,2026-06-17T20:00:00Z,4-2,Will England vs. Croatia end in a draw?,fifwc-eng-hrv-2026-06-17-draw,draw_market,True,True,3370587.3281050166,,"[""0"", ""1""]",92623193147229968536967595026209377290569876277152414806208806159046880692537,0.255,2026-06-17T18:00:11+00:00
Ghana,Panama,2026-06-17T23:00:00Z,1-0,Will Ghana win on 2026-06-17?,fifwc-gha-pan-2026-06-17-gha,home_win_market,True,True,12677277.821971292,,"[""1"", ""0""]",4583065636155233526779653080435458405485537158452842777526478181105245518840,0.405,2026-06-17T21:00:04+00:00
Ghana,Panama,2026-06-17T23:00:00Z,1-0,Will Ghana vs. Panama end in a draw?,fifwc-gha-pan-2026-06-17-draw,draw_market,True,True,4012648.7380820005,,"[""0"", ""1""]",61203648901328553286317484050722946819387883550381338646535487039149670812946,0.305,2026-06-17T21:00:06+00:00
Ghana,Panama,2026-06-17T23:00:00Z,1-0,Will Panama win on 2026-06-17?,fifwc-gha-pan-2026-06-17-pan,away_win_market,True,True,3714080.829743978,,"[""0"", ""1""]",98450368978745606301240607141388168410536324949220985931158206007509106995457,0.295,2026-06-17T21:00:08+00:00
Uzbekistan,Colombia,2026-06-18T02:00:00Z,1-3,Will Colombia win on 2026-06-17?,fifwc-uzb-col-2026-06-17-col,away_win_market,True,True,17636106.97954206,,"[""1"", ""0""]",107303881689780116979934419713652545873528717512161697004408881489729317049047,0.705,2026-06-18T00:00:24+00:00
Uzbekistan,Colombia,2026-06-18T02:00:00Z,1-3,Will Uzbekistan win on 2026-06-17?,fifwc-uzb-col-2026-06-17-uzb,home_win_market,True,True,3587055.827468993,,"[""0"", ""1""]",42349324891891531052261785579549036042703894030589864369388972549681820562082,0.095,2026-06-18T00:00:16+00:00
Uzbekistan,Colombia,2026-06-18T02:00:00Z,1-3,Will Uzbekistan vs. Colombia end in a draw?,fifwc-uzb-col-2026-06-17-draw,draw_market,True,True,1948013.5094149732,,"[""0"", ""1""]",29696609003438481519695227807182574735991421576025755342707611041941932867266,0.195,2026-06-18T00:00:28+00:00
Czech Republic,South Africa,2026-06-18T16:00:00Z,1-1,Will Czechia win on 2026-06-18?,fifwc-cze-rsa-2026-06-18-cze,home_win_market,True,True,23866870.866488546,,"[""0"", ""1""]",37088846718363125743947103938325144949409419304219830474975395227343762118615,0.535,2026-06-18T14:00:05+00:00
Czech Republic,South Africa,2026-06-18T16:00:00Z,1-1,Will Czechia vs. South Africa end in a draw?,fifwc-cze-rsa-2026-06-18-draw,draw_market,True,True,6102089.1912379945,,"[""1"", ""0""]",25547941541163379167027433013111695108245471419110558598651133766324877924515,0.265,2026-06-18T14:00:04+00:00
Czech Republic,South Africa,2026-06-18T16:00:00Z,1-1,Will South Africa win on 2026-06-18?,fifwc-cze-rsa-2026-06-18-rsa,away_win_market,True,True,3358556.7422589813,,"[""0"", ""1""]",29904085738634800807850286108673899231278214025131538572228243310371586316124,0.205,2026-06-18T14:00:04+00:00
Switzerland,Bosnia & Herzegovina,2026-06-18T19:00:00Z,4-1,Will Switzerland win on 2026-06-18?,fifwc-che-bih-2026-06-18-che,home_win_market,True,True,7126756.505122047,,"[""1"", ""0""]",106591280142630626115724651117201657682325101150171422307265130569697670708657,0.625,2026-06-18T17:00:03+00:00
Switzerland,Bosnia & Herzegovina,2026-06-18T19:00:00Z,4-1,Will Bosnia and Herzegovina win on 2026-06-18?,fifwc-che-bih-2026-06-18-bih,away_win_market,True,True,2475195.3200010066,,"[""0"", ""1""]",66489726367925595502503158446006075400401621519147621264189323965755835894613,0.145,2026-06-18T17:00:14+00:00
Switzerland,Bosnia & Herzegovina,2026-06-18T19:00:00Z,4-1,Will Switzerland vs. Bosnia and Herzegovina end in a draw?,fifwc-che-bih-2026-06-18-draw,draw_market,True,True,2205847.6356120175,,"[""0"", ""1""]",32304224949031261019227504618353662335004029148594248531414917789977278987468,0.235,2026-06-18T17:00:14+00:00
Canada,Qatar,2026-06-18T22:00:00Z,6-0,Will Canada win on 2026-06-18?,fifwc-can-qat-2026-06-18-can,home_win_market,True,True,14324374.22380302,,"[""1"", ""0""]",72434460309427898004674696764153066565237298072408402131497058701161364650505,0.745,2026-06-18T20:00:08+00:00
Canada,Qatar,2026-06-18T22:00:00Z,6-0,Will Qatar win on 2026-06-18?,fifwc-can-qat-2026-06-18-qat,away_win_market,True,True,3684427.4384670057,,"[""0"", ""1""]",12449312449220028732329011560175624873500857403580896927070982513454645477597,0.085,2026-06-18T20:00:08+00:00
Canada,Qatar,2026-06-18T22:00:00Z,6-0,Will Canada vs. Qatar end in a draw?,fifwc-can-qat-2026-06-18-draw,draw_market,True,True,2453933.700392984,,"[""0"", ""1""]",20349696283279625969179471671979665049068091025127882278606364235785111743882,0.175,2026-06-18T20:00:06+00:00
United States,Australia,2026-06-19T19:00:00Z,,Will United States win on 2026-06-19?,fifwc-usa-aus-2026-06-19-usa,home_win_market,True,False,1079057.1729120258,1668877.7381,"[""0.605"", ""0.395""]",39108014906147153132558864303811863989716119429482110734018531773663181557097,0.605,2026-06-19T04:00:03+00:00
United States,Australia,2026-06-19T19:00:00Z,,Will Australia win on 2026-06-19?,fifwc-usa-aus-2026-06-19-aus,away_win_market,True,False,481146.4385620038,2360713.5605,"[""0.175"", ""0.825""]",63278746552959073436363985715772152424855372958904540749550690656971780048497,0.175,2026-06-19T04:00:03+00:00
United States,Australia,2026-06-19T19:00:00Z,,Will United States vs. Australia end in a draw?,fifwc-usa-aus-2026-06-19-draw,draw_market,True,False,134695.1723249992,1263963.2391,"[""0.215"", ""0.785""]",14729379386817258537354006783786102068178286988322042272817558435233867171838,0.215,2026-06-19T04:00:03+00:00
Scotland,Morocco,2026-06-19T22:00:00Z,,Will Morocco win on 2026-06-19?,fifwc-sco-mar-2026-06-19-mar,away_win_market,True,False,530722.6973649879,1814333.0487,"[""0.555"", ""0.445""]",40791250908933508853723465614961035896557737979546129504169818299128524475478,0.555,2026-06-19T04:00:04+00:00
Scotland,Morocco,2026-06-19T22:00:00Z,,Will Scotland win on 2026-06-19?,fifwc-sco-mar-2026-06-19-sco,home_win_market,True,False,153613.84626700095,978690.912,"[""0.175"", ""0.825""]",101256141817216466245038151589296191044974050560393587426784474074655264282404,0.175,2026-06-19T04:00:03+00:00
