intent_id,mode,action,venue,commence_time,match,outcome,model_prob,market_price,bid,ask,edge,stake_usdc,expected_pnl_usdc,status
MAR-0001,MARKET_MAKE,QUOTE,polymarket,2026-06-21T16:00:00Z,Spain v Saudi Arabia,home,0.8782,0.8756,0.8656,0.8856,0.02,86.56,2.0,DRY_RUN
MAR-0002,MARKET_MAKE,QUOTE,polymarket,2026-06-21T16:00:00Z,Spain v Saudi Arabia,draw,0.0812,0.0846,0.0746,0.0946,0.02,7.46,2.0,DRY_RUN
MAR-0003,MARKET_MAKE,QUOTE,polymarket,2026-06-21T16:00:00Z,Spain v Saudi Arabia,away,0.0406,0.0398,0.0298,0.0498,0.02,2.98,2.0,DRY_RUN
MAR-0004,MARKET_MAKE,QUOTE,polymarket,2026-06-21T19:00:00Z,Belgium v Iran,home,0.6839,0.6756,0.6656,0.6856,0.02,66.56,2.0,DRY_RUN
MAR-0005,MARKET_MAKE,QUOTE,polymarket,2026-06-21T19:00:00Z,Belgium v Iran,draw,0.1976,0.2007,0.1907,0.2107,0.02,19.07,2.0,DRY_RUN
MAR-0006,MARKET_MAKE,QUOTE,polymarket,2026-06-21T19:00:00Z,Belgium v Iran,away,0.1185,0.1237,0.1137,0.1337,0.02,11.37,2.0,DRY_RUN
MAR-0007,MARKET_MAKE,QUOTE,polymarket,2026-06-21T22:00:00Z,Uruguay v Cape Verde,home,0.6678,0.6629,0.6529,0.6729,0.02,65.29,2.0,DRY_RUN
MAR-0008,MARKET_MAKE,QUOTE,polymarket,2026-06-21T22:00:00Z,Uruguay v Cape Verde,draw,0.2283,0.2276,0.2176,0.2376,0.02,21.76,2.0,DRY_RUN
MAR-0009,MARKET_MAKE,QUOTE,polymarket,2026-06-21T22:00:00Z,Uruguay v Cape Verde,away,0.1039,0.1095,0.0995,0.1195,0.02,9.95,2.0,DRY_RUN
MAR-0010,MARKET_MAKE,QUOTE,polymarket,2026-06-22T01:00:00Z,New Zealand v Egypt,home,0.1562,0.1578,0.1478,0.1678,0.02,14.78,2.0,DRY_RUN
MAR-0011,MARKET_MAKE,QUOTE,polymarket,2026-06-22T01:00:00Z,New Zealand v Egypt,draw,0.2383,0.2376,0.2276,0.2476,0.02,22.76,2.0,DRY_RUN
MAR-0012,MARKET_MAKE,QUOTE,polymarket,2026-06-22T01:00:00Z,New Zealand v Egypt,away,0.6055,0.6046,0.5946,0.6146,0.02,59.46,2.0,DRY_RUN
MAR-0013,MARKET_MAKE,QUOTE,polymarket,2026-06-22T17:00:00Z,Argentina v Austria,home,0.6103,0.6185,0.6085,0.6285,0.02,60.85,2.0,DRY_RUN
MAR-0014,MARKET_MAKE,QUOTE,polymarket,2026-06-22T17:00:00Z,Argentina v Austria,draw,0.2411,0.2342,0.2242,0.2442,0.02,22.42,2.0,DRY_RUN
MAR-0015,MARKET_MAKE,QUOTE,polymarket,2026-06-22T17:00:00Z,Argentina v Austria,away,0.1486,0.1473,0.1373,0.1573,0.02,13.73,2.0,DRY_RUN
MAR-0016,MARKET_MAKE,QUOTE,polymarket,2026-06-22T21:00:00Z,France v Iraq,home,0.8885,0.8815,0.8715,0.8915,0.02,87.15,2.0,DRY_RUN
MAR-0017,MARKET_MAKE,QUOTE,polymarket,2026-06-22T21:00:00Z,France v Iraq,draw,0.08,0.085,0.075,0.095,0.02,7.5,2.0,DRY_RUN
MAR-0018,MARKET_MAKE,QUOTE,polymarket,2026-06-22T21:00:00Z,France v Iraq,away,0.0315,0.0335,0.0235,0.0435,0.02,2.35,2.0,DRY_RUN
MAR-0019,MARKET_MAKE,QUOTE,polymarket,2026-06-23T00:00:00Z,Norway v Senegal,home,0.4244,0.4224,0.4124,0.4324,0.02,41.24,2.0,DRY_RUN
MAR-0020,MARKET_MAKE,QUOTE,polymarket,2026-06-23T00:00:00Z,Norway v Senegal,draw,0.2665,0.274,0.264,0.284,0.02,26.4,2.0,DRY_RUN
MAR-0021,MARKET_MAKE,QUOTE,polymarket,2026-06-23T00:00:00Z,Norway v Senegal,away,0.3091,0.3036,0.2936,0.3136,0.02,29.36,2.0,DRY_RUN
MAR-0022,MARKET_MAKE,QUOTE,polymarket,2026-06-23T03:00:00Z,Jordan v Algeria,home,0.1656,0.1603,0.1503,0.1703,0.02,15.03,2.0,DRY_RUN
MAR-0023,MARKET_MAKE,QUOTE,polymarket,2026-06-23T03:00:00Z,Jordan v Algeria,draw,0.2284,0.2316,0.2216,0.2416,0.02,22.16,2.0,DRY_RUN
MAR-0024,MARKET_MAKE,QUOTE,polymarket,2026-06-23T03:00:00Z,Jordan v Algeria,away,0.6061,0.6081,0.5981,0.6181,0.02,59.81,2.0,DRY_RUN
MAR-0025,MARKET_MAKE,QUOTE,polymarket,2026-06-23T17:00:00Z,Portugal v Uzbekistan,home,0.8067,0.7919,0.7819,0.8019,0.02,78.19,2.0,DRY_RUN
MAR-0026,MARKET_MAKE,QUOTE,polymarket,2026-06-23T17:00:00Z,Portugal v Uzbekistan,draw,0.1326,0.1417,0.1317,0.1517,0.02,13.17,2.0,DRY_RUN
MAR-0027,MARKET_MAKE,QUOTE,polymarket,2026-06-23T17:00:00Z,Portugal v Uzbekistan,away,0.0607,0.0663,0.0563,0.0763,0.02,5.63,2.0,DRY_RUN
MAR-0028,MARKET_MAKE,QUOTE,polymarket,2026-06-23T20:00:00Z,England v Ghana,home,0.7836,0.7862,0.7762,0.7962,0.02,77.62,2.0,DRY_RUN
MAR-0029,MARKET_MAKE,QUOTE,polymarket,2026-06-23T20:00:00Z,England v Ghana,draw,0.1458,0.1453,0.1353,0.1553,0.02,13.53,2.0,DRY_RUN
MAR-0030,MARKET_MAKE,QUOTE,polymarket,2026-06-23T20:00:00Z,England v Ghana,away,0.0706,0.0685,0.0585,0.0785,0.02,5.85,2.0,DRY_RUN
MAR-0031,MARKET_MAKE,QUOTE,polymarket,2026-06-23T23:00:00Z,Panama v Croatia,home,0.1448,0.1429,0.1329,0.1529,0.02,13.29,2.0,DRY_RUN
MAR-0032,MARKET_MAKE,QUOTE,polymarket,2026-06-23T23:00:00Z,Panama v Croatia,draw,0.2378,0.2376,0.2276,0.2476,0.02,22.76,2.0,DRY_RUN
