rank,movement_or_yellow_caps,player,current_points
1,,Danie,102.0
2,,Ivan Prinsloo,101.5
3,,Lusse,99.0
4,,Chapman12,98.0
5,,Leonard,96.5
6,,Ettiene,96.0
7,,Joe,96.0
8,,rob87,96.0
9,,Bijal,95.5
10,,Dheben,95.0
11,,Navasha,92.5
12,,Peter@,91.0
13,,Sajeed,91.0
14,,Caitlin,90.0
15,,Philip,89.5
16,,Kea Makhene,87.5
17,,Neilo,87.0
18,,Renay,80.0
19,,MasterRoshi,79.5
20,,ABC Ltd,78.5
21,,Jordan,76.5
22,,Kayla,75.5
23,,Boss3675,75.0
24,,AudittheRef,74.0
25,,Anru Pienaar,73.5
26,,Tayyibah,72.0
27,,Amit,65.0
28,,Shoeshine and piano,61.5
29,,Mari,29.0
30,,Legend-Harry,28.0
31,,Bee,21.0
32,,Coco Chanelle,7.5
