match_id,round_label,home_team,away_team,actual_score,home_goals,away_goals,home_code,away_code,is_completed,status,score_source,raw_text,source_url,source_title
argentina-algeria,Round 1 11 - 18 Jun,Argentina,Algeria,3-0,3,0,ARG,ALG,True,completed,superbru_matches_tab_result_row,ARG 3 - 0 ALG 1.5 CLOSE,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026
australia-turkey,Round 1 11 - 18 Jun,Australia,Turkey,2-0,2,0,AUS,TUR,True,completed,superbru_matches_tab_result_row,AUS 2 - 0 TUR 0 WRONG,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026
austria-jordan,Round 1 11 - 18 Jun,Austria,Jordan,3-1,3,1,AUT,JOR,True,completed,superbru_matches_tab_result_row,AUT 3 - 1 JOR 1.5 CLOSE,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026
belgium-egypt,Round 1 11 - 18 Jun,Belgium,Egypt,1-1,1,1,BEL,EGY,True,completed,superbru_matches_tab_result_row,BEL 1 - 1 EGY 0 WRONG,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026
brazil-morocco,Round 1 11 - 18 Jun,Brazil,Morocco,1-1,1,1,BRA,MOR,True,completed,superbru_matches_tab_result_row,BRA 1 - 1 MOR 3 EXACT,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026
canada-bosnia-and-herzegovina,Round 1 11 - 18 Jun,Canada,Bosnia & Herzegovina,1-1,1,1,CAN,BHI,True,completed,superbru_matches_tab_result_row,CAN 1 - 1 BHI 0 WRONG,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026
england-croatia,Round 1 11 - 18 Jun,England,Croatia,4-2,4,2,ENG,CRO,True,completed,superbru_matches_tab_result_row,ENG 4 - 2 CRO 1 RESULT,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026
france-senegal,Round 1 11 - 18 Jun,France,Senegal,3-1,3,1,FRA,SEN,True,completed,superbru_matches_tab_result_row,FRA 3 - 1 SEN 1.5 CLOSE,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026
germany-curacao,Round 1 11 - 18 Jun,Germany,Curacao,7-1,7,1,GER,CUR,True,completed,superbru_matches_tab_result_row,GER 7 - 1 CUR 1 RESULT,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026
ghana-panama,Round 1 11 - 18 Jun,Ghana,Panama,1-0,1,0,GHA,PAN,True,completed,superbru_matches_tab_result_row,GHA 1 - 0 PAN 3 EXACT,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026
haiti-scotland,Round 1 11 - 18 Jun,Haiti,Scotland,0-1,0,1,HAI,SCO,True,completed,superbru_matches_tab_result_row,HAI 0 - 1 SCO 0 WRONG,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026
iran-new-zealand,Round 1 11 - 18 Jun,Iran,New Zealand,2-2,2,2,IRN,NZL,True,completed,superbru_matches_tab_result_row,IRN 2 - 2 NZL 0 WRONG,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026
iraq-norway,Round 1 11 - 18 Jun,Iraq,Norway,1-4,1,4,IRQ,NOR,True,completed,superbru_matches_tab_result_row,IRQ 1 - 4 NOR 1 RESULT,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026
ivory-coast-ecuador,Round 1 11 - 18 Jun,Ivory Coast,Ecuador,1-0,1,0,CIV,ECU,True,completed,superbru_matches_tab_result_row,CIV 1 - 0 ECU 0 WRONG,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026
mexico-south-africa,Round 1 11 - 18 Jun,Mexico,South Africa,2-0,2,0,MEX,RSA,True,completed,superbru_matches_tab_result_row,MEX 2 - 0 RSA 1.5 CLOSE,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026
netherlands-japan,Round 1 11 - 18 Jun,Netherlands,Japan,2-2,2,2,NED,JPN,True,completed,superbru_matches_tab_result_row,NED 2 - 2 JPN 0 WRONG,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026
portugal-dr-congo,Round 1 11 - 18 Jun,Portugal,DR Congo,1-1,1,1,POR,DRC,True,completed,superbru_matches_tab_result_row,POR 1 - 1 DRC 0 WRONG,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026
qatar-switzerland,Round 1 11 - 18 Jun,Qatar,Switzerland,1-1,1,1,QAT,SUI,True,completed,superbru_matches_tab_result_row,QAT 1 - 1 SUI 0 WRONG,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026
saudi-arabia-uruguay,Round 1 11 - 18 Jun,Saudi Arabia,Uruguay,1-1,1,1,KSA,URU,True,completed,superbru_matches_tab_result_row,KSA 1 - 1 URU 0 WRONG,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026
south-korea-czech-republic,Round 1 11 - 18 Jun,South Korea,Czech Republic,2-1,2,1,KOR,CZE,True,completed,superbru_matches_tab_result_row,KOR 2 - 1 CZE 0 WRONG,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026
