match_id,round_label,round_number,home_team,away_team,actual_score,home_goals,away_goals,home_code,away_code,is_completed,status,score_source,raw_text,source_url,source_title,scraped_at_utc
argentina-algeria,Round 1 11 - 18 Jun,1,Argentina,Algeria,3-0,3,0,ARG,ALG,True,completed,superbru_matches_tab_result_row,ARG 3 - 0 ALG 1.5 CLOSE,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026,2026-06-22T07:00:28.854Z
australia-turkey,Round 1 11 - 18 Jun,1,Australia,Turkey,2-0,2,0,AUS,TUR,True,completed,superbru_matches_tab_result_row,AUS 2 - 0 TUR 0 WRONG,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026,2026-06-22T07:00:28.854Z
austria-jordan,Round 1 11 - 18 Jun,1,Austria,Jordan,3-1,3,1,AUT,JOR,True,completed,superbru_matches_tab_result_row,AUT 3 - 1 JOR 1.5 CLOSE,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026,2026-06-22T07:00:28.854Z
belgium-egypt,Round 1 11 - 18 Jun,1,Belgium,Egypt,1-1,1,1,BEL,EGY,True,completed,superbru_matches_tab_result_row,BEL 1 - 1 EGY 0 WRONG,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026,2026-06-22T07:00:28.854Z
brazil-morocco,Round 1 11 - 18 Jun,1,Brazil,Morocco,1-1,1,1,BRA,MOR,True,completed,superbru_matches_tab_result_row,BRA 1 - 1 MOR 3 EXACT,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026,2026-06-22T07:00:28.854Z
canada-bosnia-and-herzegovina,Round 1 11 - 18 Jun,1,Canada,Bosnia & Herzegovina,1-1,1,1,CAN,BHI,True,completed,superbru_matches_tab_result_row,CAN 1 - 1 BHI 0 WRONG,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026,2026-06-22T07:00:28.854Z
england-croatia,Round 1 11 - 18 Jun,1,England,Croatia,4-2,4,2,ENG,CRO,True,completed,superbru_matches_tab_result_row,ENG 4 - 2 CRO 1 RESULT,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026,2026-06-22T07:00:28.854Z
france-senegal,Round 1 11 - 18 Jun,1,France,Senegal,3-1,3,1,FRA,SEN,True,completed,superbru_matches_tab_result_row,FRA 3 - 1 SEN 1.5 CLOSE,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026,2026-06-22T07:00:28.854Z
germany-curacao,Round 1 11 - 18 Jun,1,Germany,Curacao,7-1,7,1,GER,CUR,True,completed,superbru_matches_tab_result_row,GER 7 - 1 CUR 1 RESULT,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026,2026-06-22T07:00:28.854Z
ghana-panama,Round 1 11 - 18 Jun,1,Ghana,Panama,1-0,1,0,GHA,PAN,True,completed,superbru_matches_tab_result_row,GHA 1 - 0 PAN 3 EXACT,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026,2026-06-22T07:00:28.854Z
