col_0,col_1,col_2,col_3
1,15,Danie,29.00
2,-,Dheben,28.00
3,11,Bijal,28.00
4,3,Peter@,27.50
5,4,rob87,27.00
6,,Leonard,26.50
7,1,Kea Makhene,26.00
8,4,MasterRoshi,25.50
9,2,Ettiene,25.50
10,3,Navasha,25.00
11,,Lusse,24.50
12,8,Caitlin,24.50
13,4,Sajeed,24.00
14,9,Anru Pienaar,24.00
15,12,ABC Ltd,23.50
16,8,Ivan Prinsloo,23.50
17,5,Joe,23.50
18,4,Tayyibah,23.00
19,9,Philip,23.00
20,9,Chapman12,22.50
21,2,Renay,22.00
22,4,Neilo,21.00
23,1,AudittheRef,20.50
24,9,Shoeshine and piano,19.50
25,6,Jordan,18.50
26,5,Kayla,15.50
27,2,Bee,13.50
28,2,Mari,13.00
29,1,Boss3675,11.50
30,3,Coco Chanelle,7.50
31,2,Amit,5.50
32,2,Legend-Harry,2.50
