türkiye_to_win,col_1,col_2
Renay,TUR 2 1 PAR,0 Wrong
Navasha,TUR 2 1 PAR,0 Wrong
Dheben,TUR 2 1 PAR,0 Wrong
Sajeed,TUR 2 1 PAR,0 Wrong
Caitlin,TUR 2 1 PAR,0 Wrong
Amit,TUR 2 1 PAR,0 Wrong
Danie,TUR 2 1 PAR,0 Wrong
MasterRoshi,TUR 2 1 PAR,0 Wrong
AudittheRef,TUR 2 1 PAR,0 Wrong
Neilo,TUR 2 0 PAR,0 Wrong
Bee,TUR 2 0 PAR,0 Wrong
Shoeshine and piano,TUR 1 0 PAR,0 Wrong
Jordan,TUR 1 0 PAR,0 Wrong
ABC Ltd,TUR 1 0 PAR,0 Wrong
Ettiene,TUR 1 0 PAR,0 Wrong
Draw,,
Peter@,TUR 0 0 PAR,0 Wrong
Mari,TUR 1 1 PAR,0 Wrong
Leonard,TUR 1 1 PAR,0 Wrong
Bijal,TUR 1 1 PAR,0 Wrong
Anru Pienaar,TUR 1 1 PAR,0 Wrong
Kea Makhene,TUR 1 1 PAR,0 Wrong
Chapman12,TUR 1 1 PAR,0 Wrong
Lusse,TUR 1 1 PAR,0 Wrong
rob87,TUR 1 1 PAR,0 Wrong
Philip,TUR 1 1 PAR,0 Wrong
Ivan Prinsloo,TUR 1 1 PAR,0 Wrong
Joe,TUR 2 2 PAR,0 Wrong
Paraguay to win,,
Tayyibah,TUR 0 1 PAR,3 Exact
Boss3675,TUR 0 1 PAR,3 Exact
No pick,,
"Legend-Harry, Kayla, Coco Chanelle",,
