calc_time,calc_time_iso,calc_time_raw,funding_interval_hours,last_funding_rate
1577836800000,2020-01-01T00:00:00Z,1577836800000,8,-0.00012359
1577865600000,2020-01-01T08:00:00Z,1577865600000,8,-0.00012383
1577894400000,2020-01-01T16:00:00Z,1577894400000,8,-9.664e-05
1577923200000,2020-01-02T00:00:00Z,1577923200002,8,3.662e-05
1577952000000,2020-01-02T08:00:00Z,1577952000000,8,0.0001
1577980800000,2020-01-02T16:00:00Z,1577980800000,8,1.04e-06
1578009600000,2020-01-03T00:00:00Z,1578009600000,8,-1.664e-05
1578038400000,2020-01-03T08:00:00Z,1578038400000,8,-1.553e-05
1578067200000,2020-01-03T16:00:00Z,1578067200001,8,0.0001
1578096000000,2020-01-04T00:00:00Z,1578096000000,8,0.0001
1578124800000,2020-01-04T08:00:00Z,1578124800000,8,8.4e-07
1578153600000,2020-01-04T16:00:00Z,1578153600000,8,7.387e-05
1578182400000,2020-01-05T00:00:00Z,1578182400000,8,0.0001
1578211200000,2020-01-05T08:00:00Z,1578211200000,8,0.0001
1578240000000,2020-01-05T16:00:00Z,1578240000000,8,0.0001
1578268800000,2020-01-06T00:00:00Z,1578268800000,8,0.0001
1578297600000,2020-01-06T08:00:00Z,1578297600000,8,0.0001
1578326400000,2020-01-06T16:00:00Z,1578326400000,8,0.0001
1578355200000,2020-01-07T00:00:00Z,1578355200000,8,0.0001
1578384000000,2020-01-07T08:00:00Z,1578384000001,8,0.0001
1578412800000,2020-01-07T16:00:00Z,1578412800000,8,0.0001
1578441600000,2020-01-08T00:00:00Z,1578441600000,8,0.00012514
1578470400000,2020-01-08T08:00:00Z,1578470400000,8,0.0001
1578499200000,2020-01-08T16:00:00Z,1578499200001,8,0.0001
1578528000000,2020-01-09T00:00:00Z,1578528000000,8,0.0001
1578556800000,2020-01-09T08:00:00Z,1578556800000,8,0.0001
1578585600000,2020-01-09T16:00:00Z,1578585600000,8,0.0001
1578614400000,2020-01-10T00:00:00Z,1578614400000,8,0.0001
1578643200000,2020-01-10T08:00:00Z,1578643200000,8,0.0001
1578672000000,2020-01-10T16:00:00Z,1578672000000,8,0.0001
