open_time,open_time_iso,open,high,low,close
1577836800000,2020-01-01T00:00:00Z,129.12,129.12,128.62,128.82
1577840400000,2020-01-01T01:00:00Z,128.81,130.61,128.76,130.57
1577844000000,2020-01-01T02:00:00Z,130.58,130.97,130.3,130.8
1577847600000,2020-01-01T03:00:00Z,130.8,130.82,129.88,130.09
1577851200000,2020-01-01T04:00:00Z,130.1,130.63,130.09,130.15
1577854800000,2020-01-01T05:00:00Z,130.15,130.37,130.05,130.23
1577858400000,2020-01-01T06:00:00Z,130.23,130.67,130.21,130.36
1577862000000,2020-01-01T07:00:00Z,130.36,130.6,130.0,130.17
1577865600000,2020-01-01T08:00:00Z,130.15,130.24,129.75,130.24
1577869200000,2020-01-01T09:00:00Z,130.24,130.49,130.01,130.03
1577872800000,2020-01-01T10:00:00Z,130.02,130.68,129.97,130.59
1577876400000,2020-01-01T11:00:00Z,130.59,131.88,130.5,130.64
1577880000000,2020-01-01T12:00:00Z,130.63,131.58,130.63,131.53
1577883600000,2020-01-01T13:00:00Z,131.57,131.97,131.18,131.55
1577887200000,2020-01-01T14:00:00Z,131.55,132.24,131.16,131.82
1577890800000,2020-01-01T15:00:00Z,131.87,132.49,131.52,131.97
1577894400000,2020-01-01T16:00:00Z,132.0,132.9,131.71,132.79
1577898000000,2020-01-01T17:00:00Z,132.8,132.96,132.22,132.31
1577901600000,2020-01-01T18:00:00Z,132.31,132.38,131.45,131.94
1577905200000,2020-01-01T19:00:00Z,131.94,132.04,131.53,131.79
1577908800000,2020-01-01T20:00:00Z,131.79,132.18,131.6,132.09
1577912400000,2020-01-01T21:00:00Z,132.09,132.25,131.57,131.77
1577916000000,2020-01-01T22:00:00Z,131.77,131.77,129.8,130.21
1577919600000,2020-01-01T23:00:00Z,130.21,130.78,129.54,130.62
1577923200000,2020-01-02T00:00:00Z,130.63,130.75,130.2,130.6
1577926800000,2020-01-02T01:00:00Z,130.61,130.61,130.09,130.17
1577930400000,2020-01-02T02:00:00Z,130.13,130.13,128.86,129.7
1577934000000,2020-01-02T03:00:00Z,129.7,129.7,128.75,129.09
1577937600000,2020-01-02T04:00:00Z,129.07,129.83,128.67,129.55
1577941200000,2020-01-02T05:00:00Z,129.54,129.71,129.3,129.58
1577944800000,2020-01-02T06:00:00Z,129.58,129.96,129.15,129.39
1577948400000,2020-01-02T07:00:00Z,129.39,129.65,128.96,129.28
1577952000000,2020-01-02T08:00:00Z,129.2,130.22,129.17,130.14
1577955600000,2020-01-02T09:00:00Z,130.14,130.15,129.57,129.96
1577959200000,2020-01-02T10:00:00Z,129.92,130.24,129.61,129.66
1577962800000,2020-01-02T11:00:00Z,129.65,129.87,129.32,129.48
1577966400000,2020-01-02T12:00:00Z,129.47,129.94,129.45,129.88
1577970000000,2020-01-02T13:00:00Z,129.89,129.95,128.79,129.31
1577973600000,2020-01-02T14:00:00Z,129.31,129.87,129.11,129.3
1577977200000,2020-01-02T15:00:00Z,129.3,129.64,129.26,129.48
1577980800000,2020-01-02T16:00:00Z,129.5,129.65,126.79,127.45
1577984400000,2020-01-02T17:00:00Z,127.45,127.6,126.25,127.36
1577988000000,2020-01-02T18:00:00Z,127.38,127.63,127.07,127.46
1577991600000,2020-01-02T19:00:00Z,127.44,127.56,127.05,127.53
1577995200000,2020-01-02T20:00:00Z,127.53,127.55,126.7,127.11
1577998800000,2020-01-02T21:00:00Z,127.11,127.79,127.11,127.65
1578002400000,2020-01-02T22:00:00Z,127.65,127.65,127.22,127.29
1578006000000,2020-01-02T23:00:00Z,127.32,127.41,126.86,127.11
1578009600000,2020-01-03T00:00:00Z,127.11,127.51,126.75,127.0
1578013200000,2020-01-03T01:00:00Z,126.99,127.08,125.78,125.96
1578016800000,2020-01-03T02:00:00Z,125.96,127.01,125.8,126.91
1578020400000,2020-01-03T03:00:00Z,126.9,127.0,126.59,126.76
1578024000000,2020-01-03T04:00:00Z,126.81,130.18,126.81,129.23
1578027600000,2020-01-03T05:00:00Z,129.23,129.95,128.69,129.18
1578031200000,2020-01-03T06:00:00Z,129.18,129.31,128.75,129.16
1578034800000,2020-01-03T07:00:00Z,129.15,129.43,128.69,128.82
1578038400000,2020-01-03T08:00:00Z,128.84,132.97,128.66,132.11
1578042000000,2020-01-03T09:00:00Z,132.12,132.81,131.66,132.32
1578045600000,2020-01-03T10:00:00Z,132.31,132.66,131.48,132.0
1578049200000,2020-01-03T11:00:00Z,132.0,132.53,131.83,132.42
1578052800000,2020-01-03T12:00:00Z,132.4,132.8,131.87,132.19
1578056400000,2020-01-03T13:00:00Z,132.19,133.95,132.19,133.47
1578060000000,2020-01-03T14:00:00Z,133.48,133.78,130.94,131.59
1578063600000,2020-01-03T15:00:00Z,131.62,132.47,131.57,132.45
1578067200000,2020-01-03T16:00:00Z,132.48,133.74,131.92,133.4
1578070800000,2020-01-03T17:00:00Z,133.4,134.94,132.66,133.93
1578074400000,2020-01-03T18:00:00Z,133.92,134.16,133.17,133.45
1578078000000,2020-01-03T19:00:00Z,133.42,133.48,132.17,133.41
1578081600000,2020-01-03T20:00:00Z,133.42,133.98,132.96,133.39
1578085200000,2020-01-03T21:00:00Z,133.39,133.84,132.21,132.44
1578088800000,2020-01-03T22:00:00Z,132.44,133.35,132.15,133.0
1578092400000,2020-01-03T23:00:00Z,133.02,135.07,132.87,134.29
1578096000000,2020-01-04T00:00:00Z,134.31,134.73,133.38,133.63
1578099600000,2020-01-04T01:00:00Z,133.63,133.63,132.75,132.97
1578103200000,2020-01-04T02:00:00Z,132.98,133.41,132.74,133.41
1578106800000,2020-01-04T03:00:00Z,133.41,133.47,133.11,133.25
1578110400000,2020-01-04T04:00:00Z,133.25,133.84,132.88,133.63
1578114000000,2020-01-04T05:00:00Z,133.6,134.0,133.41,133.65
1578117600000,2020-01-04T06:00:00Z,133.65,134.2,133.59,133.89
1578121200000,2020-01-04T07:00:00Z,133.88,134.21,133.3,133.84
1578124800000,2020-01-04T08:00:00Z,133.84,134.04,133.42,133.55
1578128400000,2020-01-04T09:00:00Z,133.55,134.08,133.34,134.05
