open_time,open_time_iso,open,high,low,close
1577836800000,2020-01-01T00:00:00Z,129.16,129.19,128.68,128.87
1577840400000,2020-01-01T01:00:00Z,128.87,130.65,128.78,130.64
1577844000000,2020-01-01T02:00:00Z,130.63,130.98,130.35,130.85
1577847600000,2020-01-01T03:00:00Z,130.85,130.89,129.94,130.2
1577851200000,2020-01-01T04:00:00Z,130.21,130.74,130.15,130.2
1577854800000,2020-01-01T05:00:00Z,130.2,130.47,130.11,130.3
1577858400000,2020-01-01T06:00:00Z,130.31,130.75,130.26,130.44
1577862000000,2020-01-01T07:00:00Z,130.47,130.71,130.14,130.24
1577865600000,2020-01-01T08:00:00Z,130.24,130.41,129.87,130.36
1577869200000,2020-01-01T09:00:00Z,130.4,130.62,130.13,130.17
1577872800000,2020-01-01T10:00:00Z,130.17,130.82,130.07,130.7
1577876400000,2020-01-01T11:00:00Z,130.67,131.87,130.6,130.74
1577880000000,2020-01-01T12:00:00Z,130.74,131.61,130.7,131.61
1577883600000,2020-01-01T13:00:00Z,131.6,131.9,131.28,131.68
1577887200000,2020-01-01T14:00:00Z,131.66,132.37,131.24,131.96
1577890800000,2020-01-01T15:00:00Z,131.95,132.4,131.6,132.08
1577894400000,2020-01-01T16:00:00Z,132.08,132.95,131.78,132.85
1577898000000,2020-01-01T17:00:00Z,132.86,133.05,132.27,132.34
1577901600000,2020-01-01T18:00:00Z,132.34,132.46,131.57,132.04
1577905200000,2020-01-01T19:00:00Z,132.04,132.16,131.62,131.86
1577908800000,2020-01-01T20:00:00Z,131.86,132.25,131.7,132.18
1577912400000,2020-01-01T21:00:00Z,132.17,132.37,131.68,131.78
1577916000000,2020-01-01T22:00:00Z,131.82,131.82,129.9,130.27
1577919600000,2020-01-01T23:00:00Z,130.28,130.87,129.74,130.77
1577923200000,2020-01-02T00:00:00Z,130.72,130.78,130.27,130.67
1577926800000,2020-01-02T01:00:00Z,130.66,130.67,130.12,130.15
1577930400000,2020-01-02T02:00:00Z,130.14,130.16,128.89,129.72
1577934000000,2020-01-02T03:00:00Z,129.71,129.71,128.77,129.1
1577937600000,2020-01-02T04:00:00Z,129.09,129.87,128.69,129.55
1577941200000,2020-01-02T05:00:00Z,129.57,129.75,129.3,129.63
1577944800000,2020-01-02T06:00:00Z,129.6,129.99,129.15,129.42
1577948400000,2020-01-02T07:00:00Z,129.43,129.67,128.96,129.26
1577952000000,2020-01-02T08:00:00Z,129.23,130.27,129.21,130.21
1577955600000,2020-01-02T09:00:00Z,130.21,130.21,129.57,129.98
1577959200000,2020-01-02T10:00:00Z,129.97,130.28,129.66,129.72
1577962800000,2020-01-02T11:00:00Z,129.73,129.94,129.44,129.53
1577966400000,2020-01-02T12:00:00Z,129.52,129.99,129.52,129.96
1577970000000,2020-01-02T13:00:00Z,129.97,130.01,128.9,129.35
1577973600000,2020-01-02T14:00:00Z,129.34,129.86,129.21,129.37
1577977200000,2020-01-02T15:00:00Z,129.37,129.8,129.36,129.59
1577980800000,2020-01-02T16:00:00Z,129.58,129.78,126.94,127.6
1577984400000,2020-01-02T17:00:00Z,127.6,127.68,126.38,127.4
1577988000000,2020-01-02T18:00:00Z,127.42,127.75,127.13,127.49
1577991600000,2020-01-02T19:00:00Z,127.49,127.67,127.08,127.62
1577995200000,2020-01-02T20:00:00Z,127.63,127.64,126.79,127.16
1577998800000,2020-01-02T21:00:00Z,127.16,127.87,127.15,127.72
1578002400000,2020-01-02T22:00:00Z,127.72,127.76,127.24,127.39
1578006000000,2020-01-02T23:00:00Z,127.39,127.48,126.91,127.19
1578009600000,2020-01-03T00:00:00Z,127.19,127.6,126.82,127.07
1578013200000,2020-01-03T01:00:00Z,127.07,127.17,125.88,126.04
1578016800000,2020-01-03T02:00:00Z,126.04,127.08,125.9,126.92
1578020400000,2020-01-03T03:00:00Z,126.94,127.11,126.65,126.89
1578024000000,2020-01-03T04:00:00Z,126.89,130.15,126.83,129.3
1578027600000,2020-01-03T05:00:00Z,129.23,129.97,128.76,129.21
1578031200000,2020-01-03T06:00:00Z,129.24,129.35,128.76,129.17
1578034800000,2020-01-03T07:00:00Z,129.18,129.53,128.72,128.86
1578038400000,2020-01-03T08:00:00Z,128.86,133.26,128.8,132.15
1578042000000,2020-01-03T09:00:00Z,132.2,132.87,131.71,132.35
1578045600000,2020-01-03T10:00:00Z,132.36,132.72,131.58,132.04
1578049200000,2020-01-03T11:00:00Z,132.03,132.63,131.92,132.46
1578052800000,2020-01-03T12:00:00Z,132.49,132.83,131.85,132.23
1578056400000,2020-01-03T13:00:00Z,132.23,133.95,132.23,133.54
1578060000000,2020-01-03T14:00:00Z,133.51,133.85,130.93,131.68
1578063600000,2020-01-03T15:00:00Z,131.68,132.57,131.59,132.53
1578067200000,2020-01-03T16:00:00Z,132.52,133.75,131.94,133.51
1578070800000,2020-01-03T17:00:00Z,133.44,134.9,132.66,133.97
1578074400000,2020-01-03T18:00:00Z,134.0,134.22,133.24,133.5
1578078000000,2020-01-03T19:00:00Z,133.5,133.59,132.21,133.49
1578081600000,2020-01-03T20:00:00Z,133.48,134.05,133.01,133.45
1578085200000,2020-01-03T21:00:00Z,133.48,133.93,132.29,132.5
1578088800000,2020-01-03T22:00:00Z,132.45,133.37,132.16,133.04
1578092400000,2020-01-03T23:00:00Z,133.04,135.14,132.9,134.35
1578096000000,2020-01-04T00:00:00Z,134.37,134.81,133.44,133.7
1578099600000,2020-01-04T01:00:00Z,133.71,133.71,132.79,133.01
1578103200000,2020-01-04T02:00:00Z,133.01,133.48,132.8,133.47
1578106800000,2020-01-04T03:00:00Z,133.47,133.54,133.18,133.34
1578110400000,2020-01-04T04:00:00Z,133.34,133.91,133.0,133.67
1578114000000,2020-01-04T05:00:00Z,133.68,134.11,133.4,133.66
1578117600000,2020-01-04T06:00:00Z,133.67,134.25,133.62,133.95
1578121200000,2020-01-04T07:00:00Z,133.92,134.31,133.41,133.91
1578124800000,2020-01-04T08:00:00Z,133.9,134.14,133.52,133.6
1578128400000,2020-01-04T09:00:00Z,133.61,134.15,133.41,134.13
1578132000000,2020-01-04T10:00:00Z,134.11,134.18,133.24,133.4
1578135600000,2020-01-04T11:00:00Z,133.4,133.82,133.07,133.77
1578139200000,2020-01-04T12:00:00Z,133.76,133.79,132.5,132.79
1578142800000,2020-01-04T13:00:00Z,132.81,133.25,132.59,132.9
1578146400000,2020-01-04T14:00:00Z,132.9,133.33,132.83,133.06
1578150000000,2020-01-04T15:00:00Z,133.06,133.66,132.94,133.26
1578153600000,2020-01-04T16:00:00Z,133.26,133.48,132.96,133.09
1578157200000,2020-01-04T17:00:00Z,133.12,134.86,133.04,134.6
1578160800000,2020-01-04T18:00:00Z,134.6,135.85,132.8,133.51
1578164400000,2020-01-04T19:00:00Z,133.5,134.27,133.07,133.72
1578168000000,2020-01-04T20:00:00Z,133.71,134.2,133.44,134.08
1578171600000,2020-01-04T21:00:00Z,134.09,134.54,133.68,134.12
1578175200000,2020-01-04T22:00:00Z,134.11,134.37,133.8,134.1
1578178800000,2020-01-04T23:00:00Z,134.14,134.4,133.77,134.2
1578182400000,2020-01-05T00:00:00Z,134.2,135.24,134.19,134.76
1578186000000,2020-01-05T01:00:00Z,134.76,135.83,134.71,135.65
1578189600000,2020-01-05T02:00:00Z,135.64,136.0,135.15,135.46
1578193200000,2020-01-05T03:00:00Z,135.47,136.2,135.45,136.16
1578196800000,2020-01-05T04:00:00Z,136.17,137.24,135.62,135.91
1578200400000,2020-01-05T05:00:00Z,135.91,136.45,135.64,136.19
1578204000000,2020-01-05T06:00:00Z,136.17,136.59,135.86,136.11
1578207600000,2020-01-05T07:00:00Z,136.1,136.31,135.82,136.02
1578211200000,2020-01-05T08:00:00Z,136.04,136.24,135.0,135.38
1578214800000,2020-01-05T09:00:00Z,135.42,135.62,134.94,135.32
1578218400000,2020-01-05T10:00:00Z,135.32,135.49,134.7,134.88
1578222000000,2020-01-05T11:00:00Z,134.88,135.37,134.77,135.07
1578225600000,2020-01-05T12:00:00Z,135.06,135.97,135.06,135.91
1578229200000,2020-01-05T13:00:00Z,135.95,135.95,135.24,135.6
1578232800000,2020-01-05T14:00:00Z,135.61,135.94,135.51,135.58
1578236400000,2020-01-05T15:00:00Z,135.57,137.96,135.51,137.26
1578240000000,2020-01-05T16:00:00Z,137.24,138.16,136.64,137.16
1578243600000,2020-01-05T17:00:00Z,137.12,138.19,136.77,137.8
1578247200000,2020-01-05T18:00:00Z,137.8,138.04,136.89,137.79
1578250800000,2020-01-05T19:00:00Z,137.8,138.0,137.36,137.97
1578254400000,2020-01-05T20:00:00Z,137.97,138.06,137.45,137.85
1578258000000,2020-01-05T21:00:00Z,137.85,137.86,135.0,135.37
1578261600000,2020-01-05T22:00:00Z,135.37,135.94,134.33,135.04
1578265200000,2020-01-05T23:00:00Z,135.03,135.48,134.21,135.37
1578268800000,2020-01-06T00:00:00Z,135.37,135.74,134.86,135.65
1578272400000,2020-01-06T01:00:00Z,135.69,137.58,135.39,137.22
1578276000000,2020-01-06T02:00:00Z,137.21,139.53,137.17,139.15
1578279600000,2020-01-06T03:00:00Z,139.13,139.67,138.27,139.49
1578283200000,2020-01-06T04:00:00Z,139.49,140.0,139.07,139.42
1578286800000,2020-01-06T05:00:00Z,139.4,139.6,138.54,139.16
1578290400000,2020-01-06T06:00:00Z,139.16,139.29,138.83,138.9
1578294000000,2020-01-06T07:00:00Z,138.93,139.16,138.78,138.87
