scanned_at_utc,event_slug,event_title,neg_risk,leg_count,sum_ask,sum_bid,fee_charge_buy_basket,fee_charge_sell_basket,net_buy_all_yes_per_basket,net_sell_all_yes_per_basket,flagged_side,executable_basket_usd,depth_weighted_net,book_fetch_ok,fee_type,fees_enabled,volume_24h_usd
2026-07-09T11:43:59Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.971,,0.0,,0.029,,buy_all_yes,,,,,False,31357.31
2026-07-09T11:59:36Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.961,,0.0,,0.039,,buy_all_yes,,,,,False,28730.93
2026-07-09T12:14:54Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.982,,0.0,,0.018,,buy_all_yes,,,,,False,28455.02
2026-07-09T12:30:20Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.976,,0.0,,0.024,,buy_all_yes,,,,,False,27650.33
2026-07-09T12:45:39Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.968,,0.0,,0.032,,buy_all_yes,,,,,False,27699.54
2026-07-09T13:10:56Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.971,,0.0,,0.029,,buy_all_yes,,,,,False,27721.75
2026-07-09T13:26:13Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.969,,0.0,,0.031,,buy_all_yes,,,,,False,25387.71
2026-07-09T13:41:46Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.959,,0.0,,0.041,,buy_all_yes,,,,,False,24925.55
2026-07-09T13:57:17Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.971,,0.0,,0.029,,buy_all_yes,,,,,False,34964.5
2026-07-09T13:57:17Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.974,,0.0,,0.026,,buy_all_yes,,,,,False,32957.77
2026-07-09T14:12:44Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.949,,0.0,,0.051,,buy_all_yes,,,,,False,34794.03
2026-07-09T14:28:05Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.95,,0.0,,0.05,,buy_all_yes,,,,,False,36096.64
2026-07-09T14:28:07Z,highest-temperature-in-chicago-on-july-9-2026,Highest temperature in Chicago on July 9?,True,11,0.95,,0.04546,,0.00454,,buy_all_yes,,,,weather_fees,True,21099.63
2026-07-09T14:43:23Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.976,,0.0,,0.024,,buy_all_yes,,,,,False,37253.84
2026-07-09T14:59:02Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.975,,0.0,,0.025,,buy_all_yes,,,,,False,37311.19
