generated_at_utc,portfolio_members
2026-07-21T11:33:02Z,"[{""condition_id"":""0x5c79dfde05559b79a9cb9f7c4187e4d49632dd042572ae676952f812732591cc"",""markout_measured"":true}]"
2026-07-21T22:40:44Z,[]
2026-07-22T11:48:30Z,"[{""condition_id"":""0xbad91c213787a7542345b8abd72a1d55754987c47ba82ef5d4aa625ac046f024"",""markout_measured"":true}]"
2026-07-22T22:55:39Z,[]
2026-07-23T12:06:27Z,"[{""condition_id"":""0x7d352ec1d718dd1f2d2fdb93d65fd3908cf34755d1aa45a8697a84d2b5ae1e8e"",""markout_measured"":true},{""condition_id"":""0xbad91c213787a7542345b8abd72a1d55754987c47ba82ef5d4aa625ac046f024"",""markout_measured"":true}]"
2026-07-23T23:16:00Z,"[{""condition_id"":""0xb12f5e328a7d9f7a26e0a074625ea775025104e673c776d575dab422a472ef59"",""markout_measured"":true}]"
2026-07-24T12:23:12Z,[]
2026-07-24T23:28:38Z,[]
2026-07-25T12:39:33Z,"[{""condition_id"":""0x5c79dfde05559b79a9cb9f7c4187e4d49632dd042572ae676952f812732591cc"",""markout_measured"":true}]"
2026-07-25T23:48:51Z,"[{""condition_id"":""0xa08a5ce99e14ce0b22767af6f16c08a2ab012249444c20887193a9a3e98e11fc"",""markout_measured"":true}]"
2026-07-26T13:00:35Z,"[{""condition_id"":""0xa08a5ce99e14ce0b22767af6f16c08a2ab012249444c20887193a9a3e98e11fc"",""markout_measured"":true}]"
2026-07-27T00:08:09Z,[]
2026-07-27T13:15:40Z,"[{""condition_id"":""0x5c79dfde05559b79a9cb9f7c4187e4d49632dd042572ae676952f812732591cc"",""markout_measured"":true}]"
2026-07-28T00:24:24Z,"[{""condition_id"":""0xbad91c213787a7542345b8abd72a1d55754987c47ba82ef5d4aa625ac046f024"",""markout_measured"":true}]"
2026-07-28T12:51:15Z,"[{""condition_id"":""0xa3b36b2d6104d34af4e6c6215fc818e43352e78a748fbfb0b85e3a35f71dec9a"",""markout_measured"":true}]"
2026-07-28T13:32:52Z,"[{""condition_id"":""0xa3b36b2d6104d34af4e6c6215fc818e43352e78a748fbfb0b85e3a35f71dec9a"",""markout_measured"":true}]"
2026-07-29T00:39:24Z,[]
2026-07-29T10:53:10Z,"[{""condition_id"":""0xa3b36b2d6104d34af4e6c6215fc818e43352e78a748fbfb0b85e3a35f71dec9a"",""markout_measured"":true}]"
2026-07-29T11:24:12Z,"[{""condition_id"":""0xa3b36b2d6104d34af4e6c6215fc818e43352e78a748fbfb0b85e3a35f71dec9a"",""markout_measured"":true}]"
2026-07-29T14:13:59Z,"[{""condition_id"":""0x876506d8b2bd7a0d3fa4fe18c024eee6e1dd81ee24c26795dadd6cfe4a7b5d0d"",""markout_measured"":true}]"
2026-07-29T14:41:36Z,[]
2026-07-29T15:39:57Z,"[{""condition_id"":""0x876506d8b2bd7a0d3fa4fe18c024eee6e1dd81ee24c26795dadd6cfe4a7b5d0d"",""markout_measured"":true}]"
2026-07-29T16:40:16Z,"[{""condition_id"":""0xa3b36b2d6104d34af4e6c6215fc818e43352e78a748fbfb0b85e3a35f71dec9a"",""markout_measured"":true}]"
2026-07-29T17:37:54Z,"[{""condition_id"":""0xa3b36b2d6104d34af4e6c6215fc818e43352e78a748fbfb0b85e3a35f71dec9a"",""markout_measured"":true}]"
2026-07-29T18:39:35Z,[]
2026-07-29T19:35:37Z,"[{""condition_id"":""0x12aa13b3da17ceae1b0a59b5d5b77121e91bb79b4bb0b52bf6543ed3f8d0953b"",""markout_measured"":true}]"
2026-07-29T20:22:55Z,[]
2026-07-29T21:09:45Z,[]
2026-07-29T21:32:16Z,[]
2026-07-30T08:37:35Z,[]
2026-07-30T21:47:29Z,[]
2026-07-31T07:06:02Z,[]
2026-07-31T08:51:49Z,[]
2026-07-31T22:02:09Z,[]
2026-08-01T09:08:24Z,"[{""condition_id"":""0x684e5b72d4e407695397a79ed75ef37273c2655ca2548791a4153233d3744696"",""markout_measured"":true}]"
2026-08-01T09:51:30Z,"[{""condition_id"":""0x684e5b72d4e407695397a79ed75ef37273c2655ca2548791a4153233d3744696"",""markout_measured"":true}]"
2026-08-01T22:17:57Z,[]
2026-08-02T09:23:51Z,"[{""condition_id"":""0xa08a5ce99e14ce0b22767af6f16c08a2ab012249444c20887193a9a3e98e11fc"",""markout_measured"":true}]"
2026-08-02T22:29:50Z,"[{""condition_id"":""0xa08a5ce99e14ce0b22767af6f16c08a2ab012249444c20887193a9a3e98e11fc"",""markout_measured"":true}]"
2026-08-03T09:37:13Z,"[{""condition_id"":""0xa08a5ce99e14ce0b22767af6f16c08a2ab012249444c20887193a9a3e98e11fc"",""markout_measured"":true}]"
2026-08-03T22:45:28Z,[]
2026-08-04T09:51:49Z,"[{""condition_id"":""0xa08a5ce99e14ce0b22767af6f16c08a2ab012249444c20887193a9a3e98e11fc"",""markout_measured"":true}]"
