generated_at_utc,status,bytes_before,bytes_after,bytes_archived,bytes_pruned_raw,bytes_pruned_archive,orphan_temp_bytes_deleted,projected_daily_growth_bytes,projected_days_to_90_percent_disk,disk_used_percent_before,disk_used_percent_after,paper_trading_invoked,live_trading_invoked
2026-07-14T13:08:17Z,ok,1501570847,394871135,33527502,37587264,360837,1101938644,262763022.0,18.983,78.414,74.219,False,False
2026-07-14T16:25:21Z,ok,417827265,417731006,3374961,3485641,0,0,167744387.009,17.751,80.579,80.58,False,False
2026-07-15T07:58:34Z,ok,447314426,435436059,6880643,8240716,16051,10502243,45648696.944,0.0,92.663,92.623,False,False
2026-07-15T08:15:36Z,ok,436818601,436334315,186366,670652,0,0,116880263.014,0.0,92.671,92.844,False,False
2026-07-15T08:32:06Z,ok,439137185,438675599,133915,595501,0,0,244614109.091,0.0,94.914,94.726,False,False
2026-07-15T08:48:50Z,ok,439393329,438868608,127328,652049,0,0,61764812.749,0.0,94.336,94.336,False,False
2026-07-15T09:04:41Z,ok,439198312,439113934,116430,200808,0,0,29954180.442,0.0,94.356,94.357,False,False
2026-07-15T09:35:16Z,ok,440683010,440215210,801610,1269410,0,0,73879109.755,28.712,83.275,83.289,False,False
2026-07-15T10:08:56Z,ok,439996584,439388352,1006961,1518526,85114,0,0.0,,82.306,82.307,False,False
2026-07-16T10:22:44Z,ok,456390757,454393976,10973859,12279194,4896,0,16841011.969,130.273,83.122,83.059,False,False
2026-07-17T10:38:40Z,ok,507821246,496658405,8228666,18989470,402037,0,52842576.675,935.383,34.446,34.428,False,False
2026-07-18T10:52:33Z,ok,543591128,536750130,10506699,16857299,490398,0,46484555.927,1052.325,35.012,35.003,False,False
2026-07-19T11:04:10Z,ok,564410807,560631090,9075134,12896276,196411,0,27439320.445,1759.178,35.519,35.729,False,False
2026-07-20T11:24:52Z,ok,958319341,953491858,8191886,12803631,215738,0,392052496.365,117.582,38.178,38.172,False,False
2026-07-21T11:36:38Z,ok,1008404448,1004014676,7432426,11607189,325342,0,54467519.758,748.27,44.457,44.178,False,False
2026-07-22T11:52:14Z,ok,1034985410,1030703219,6485507,10604009,163689,0,30638813.52,1321.2,44.443,44.488,False,False
2026-07-23T12:10:39Z,ok,1077681314,1074367699,6645008,9730827,202080,0,46384862.671,862.264,45.034,45.033,False,False
2026-07-24T12:26:17Z,ok,1105445554,1100693387,6884295,11268542,367920,0,30744082.438,1290.481,45.4,45.394,False,False
2026-07-25T12:43:27Z,ok,1152801230,1148576248,6160312,10238991,146303,0,51493968.148,764.932,45.72,45.715,False,False
2026-07-26T13:04:25Z,ok,1180753921,1177782156,5708783,8531116,149432,0,31715883.858,1070.109,51.846,51.842,False,False
2026-07-27T13:19:42Z,ok,1211029815,1207208203,5572180,8592754,154139,0,32898493.279,1050.905,51.133,51.129,False,False
2026-07-28T13:37:16Z,ok,1267128558,1264145252,5616177,8451235,148248,0,59198191.872,431.772,61.267,61.263,False,False
2026-07-29T14:25:48Z,ok,1305163808,1299887026,6123681,10618899,367408,0,39681154.138,412.257,71.614,71.608,False,False
2026-07-29T16:00:39Z,ok,1326981518,1301010441,530781,2103874,106543,0,411344949.71,28.983,76.638,76.596,False,False
2026-07-29T16:58:24Z,ok,1305118580,1303285346,446754,2137890,142098,0,102436712.727,116.254,76.613,76.611,False,False
2026-07-29T18:00:03Z,ok,1307241293,1305483375,405906,2037361,126463,0,92401681.752,123.907,76.959,77.128,False,False
2026-07-29T18:56:29Z,ok,1310977153,1309526482,328187,1789244,106607,0,140183821.382,84.627,76.663,76.662,False,False
2026-07-29T19:43:25Z,ok,1314004876,1312309186,318551,1907534,106707,0,137405270.455,86.304,76.669,76.667,False,False
2026-07-29T20:31:13Z,ok,1316708585,1315118434,303703,1787073,106781,0,132534195.816,89.353,76.686,76.686,False,False
2026-07-29T21:15:39Z,ok,1320834790,1319271590,298577,1755036,106741,0,185256248.462,63.865,76.699,76.698,False,False
2026-07-29T21:36:08Z,ok,1324279625,1322726291,220206,1666886,106654,0,352070157.852,33.582,76.717,76.707,False,False
2026-07-30T21:50:44Z,ok,1350720749,1345868491,4976864,9357120,472002,0,27713474.165,448.096,76.044,76.038,False,False
2026-07-31T22:05:18Z,ok,1362936247,1358913245,3962583,7619330,366255,0,16896832.028,604.558,78.519,78.515,False,False
2026-08-01T22:21:11Z,ok,1385349918,1382029732,4651296,7793613,196889,0,26148255.323,305.822,81.009,81.009,False,False
2026-08-02T22:34:08Z,ok,1434634384,1431215012,5285767,8503992,201147,0,52135791.927,148.936,81.275,81.27,False,False
2026-08-03T22:48:48Z,ok,1466940521,1462631253,4573972,8390124,493116,0,35365306.801,211.134,81.61,81.605,False,False
2026-08-04T23:05:41Z,ok,1507837894,1504560251,4191742,7261131,208254,0,44682756.368,118.098,84.071,84.067,False,False
2026-08-05T23:21:29Z,ok,1542920861,1539480946,4346453,7557104,229264,0,37944276.961,0.0,90.831,90.826,False,False
2026-08-06T23:38:50Z,ok,1563699898,1559214121,3991852,8095348,382281,0,23930621.251,0.0,91.095,91.09,False,False
2026-08-07T23:52:35Z,ok,1578732189,1574904731,4366184,7963778,229864,0,19333460.306,2174.464,42.739,42.735,False,False
2026-08-09T00:04:55Z,ok,1610506948,1606038734,4906989,9090991,345266,0,35299880.064,1186.672,42.914,42.904,False,False
2026-08-10T00:21:33Z,ok,1640432316,1636615730,4695267,8266831,253008,0,34000840.806,1225.105,43.056,43.168,False,False
2026-08-11T00:42:25Z,ok,1670506173,1665692239,4287746,8884536,232201,0,33406360.097,1243.058,43.319,43.312,False,False
2026-08-12T00:55:44Z,ok,1706109537,1701320308,4683030,9302099,302779,0,40046956.355,921.07,48.54,48.529,False,False
2026-08-13T01:13:39Z,ok,1730813080,1724584687,4361321,9851287,572081,0,29130328.674,1258.718,48.782,48.776,False,False
2026-08-14T01:29:11Z,ok,1770087375,1765582082,4885586,9070850,320029,0,45017087.015,810.794,48.969,48.964,False,False
2026-08-15T01:47:13Z,ok,1822068628,1815520344,4177087,10140931,512627,0,55787905.791,647.283,49.33,49.401,False,False
2026-08-16T02:01:35Z,ok,1847652857,1838978628,4872059,12928555,617733,0,31815098.476,712.176,64.539,64.526,False,False
2026-08-17T02:20:50Z,ok,1871497767,1866306164,4427136,9026040,576574,0,32090156.012,698.096,64.8,64.813,False,False
2026-08-18T02:39:13Z,ok,1869123240,1864923460,4246045,8046990,336110,0,2781565.962,8003.457,64.939,64.971,False,False
2026-08-19T02:56:43Z,ok,1901991690,1895243581,6061800,12209363,533352,0,36623156.913,603.637,65.157,65.145,False,False
2026-08-20T03:12:48Z,ok,1961542726,1957740592,4770238,8253214,347945,0,65566830.287,334.864,65.326,65.315,False,False
