incident_id,detected_at_utc,registration_id,entity,source_artifact,observation_token,degraded_state,reason,consecutive_degraded_observations,max_consecutive_degraded_observations,event_type,owner_notification_eligible,paper_trading_invoked,live_trading_invoked
degraded_8a2f905ca83ebf7cd3ceb478,2026-07-13T18:12:34Z,wallet_reconciliation_partial,wallet_reconciliation,performance/wallet_reconciliation.json,2026-07-13T18:07:38Z,partial,wallet reconciliation remained partial,3,2,incident_open,True,False,False
degraded_b5938331918318e9bf75011d,2026-07-14T08:25:46Z,scheduler_nonzero_exit,governance_refresh,ops_scheduler/status.json,2026-07-14T08:25:07.431492+00:00,last_exit_code=2,scheduler job governance_refresh exited with 2,1,0,incident_open,True,False,False
degraded_0ed340b93c465b9eca4e1151,2026-07-14T10:55:38Z,operating_state_unknown_regression,executor_exposure_vs_stage_cap,performance/operating_state.json,2026-07-14T10:51:01Z,UNKNOWN,operating-state row executor_exposure_vs_stage_cap regressed from ABSENT to UNKNOWN,1,0,incident_open,True,False,False
degraded_95f1900559cf9eb024e8d41a,2026-07-14T10:55:38Z,operating_state_unknown_regression,executor_last_action_age,performance/operating_state.json,2026-07-14T10:51:01Z,UNKNOWN,operating-state row executor_last_action_age regressed from ABSENT to UNKNOWN,1,0,incident_open,True,False,False
degraded_d3b8a1579831bd7abcec09c0,2026-07-14T10:55:38Z,operating_state_unknown_regression,executor_open_orders,performance/operating_state.json,2026-07-14T10:51:01Z,UNKNOWN,operating-state row executor_open_orders regressed from ABSENT to UNKNOWN,1,0,incident_open,True,False,False
degraded_d4d8ae9c8424d1e0b99cb2e1,2026-07-14T11:45:51Z,maker_replay_insufficient_coverage,maker_fill_replay,maker_carry/maker_fill_replay.json,2026-07-14T11:45:01Z,insufficient_coverage,maker replay has simulated fill opportunities but no covered 5m official-book window; a zero realism ratio must not be interpreted as evidence,4,3,incident_open,True,False,False
degraded_53bb64fa81d13ed502912f29,2026-07-14T14:15:04Z,maker_replay_insufficient_coverage,maker_fill_replay,maker_carry/maker_fill_replay.json,2026-07-14T14:14:13Z,insufficient_coverage,maker replay has simulated fill opportunities but no covered 5m official-book window; a zero realism ratio must not be interpreted as evidence,4,3,incident_open,True,False,False
degraded_f7c93b35a434a478301558a1,2026-07-15T08:00:38Z,scheduler_completion_freshness,degraded_state_watchdog,ops_scheduler/status.json,2026-07-15T07:40:31.113412+00:00,stale,scheduler job degraded_state_watchdog has no successful completion within 900 seconds; measured age 1206.887 seconds,1,0,incident_open,True,False,False
degraded_29f821bb42dfb9e911c757f0,2026-07-15T08:00:38Z,scheduler_nonzero_exit,training_harvest,ops_scheduler/status.json,2026-07-15T07:59:30.039216+00:00,last_exit_code=1,scheduler job training_harvest exited with 1,1,0,incident_open,True,False,False
degraded_1a27a2a7207d92ae7ad545e1,2026-07-15T08:17:04Z,scheduler_completion_freshness,degraded_state_watchdog,ops_scheduler/status.json,2026-07-15T08:00:43.648977+00:00,stale,scheduler job degraded_state_watchdog has no successful completion within 900 seconds; measured age 980.351 seconds,1,0,incident_open,True,False,False
degraded_fa33e287d0688b13210daaf1,2026-07-15T08:33:38Z,scheduler_completion_freshness,degraded_state_watchdog,ops_scheduler/status.json,2026-07-15T08:17:10.612884+00:00,stale,scheduler job degraded_state_watchdog has no successful completion within 900 seconds; measured age 987.387 seconds,1,0,incident_open,True,False,False
degraded_b6eda083f3fe5b3a06e95e3a,2026-07-15T08:50:17Z,scheduler_completion_freshness,degraded_state_watchdog,ops_scheduler/status.json,2026-07-15T08:33:43.787944+00:00,stale,scheduler job degraded_state_watchdog has no successful completion within 900 seconds; measured age 993.212 seconds,1,0,incident_open,True,False,False
degraded_0bdcdc7e0bf1c6dcb9413dcd,2026-07-15T09:06:09Z,scheduler_completion_freshness,degraded_state_watchdog,ops_scheduler/status.json,2026-07-15T08:50:22.818779+00:00,stale,scheduler job degraded_state_watchdog has no successful completion within 900 seconds; measured age 946.181 seconds,1,0,incident_open,True,False,False
degraded_c020fb38058f194dd55a708f,2026-07-15T14:45:02Z,scheduler_completion_freshness,trade_prints,ops_scheduler/status.json,2026-07-15T14:24:28.163300+00:00,stale,scheduler job trade_prints has no successful completion within 1200 seconds; measured age 1233.837 seconds,1,0,incident_open,True,False,False
degraded_34a4382d803c96d9ddec7b02,2026-07-15T17:54:21Z,scheduler_completion_freshness,trade_prints,ops_scheduler/status.json,2026-07-15T17:33:37.221607+00:00,stale,scheduler job trade_prints has no successful completion within 1200 seconds; measured age 1243.778 seconds,1,0,incident_open,True,False,False
degraded_d354879cb79699b3dc679de7,2026-07-15T18:30:20Z,maker_replay_insufficient_coverage,maker_fill_replay,maker_carry/maker_fill_replay.json,2026-07-15T18:29:29Z,insufficient_coverage,maker replay has simulated fill opportunities but no covered 5m official-book window; a zero realism ratio must not be interpreted as evidence,4,3,incident_open,True,False,False
degraded_96d815c6f4dead5c396db2ea,2026-07-15T20:19:33Z,scheduler_completion_freshness,maker_study_intraday,ops_scheduler/status.json,2026-07-14T19:18:06.133657+00:00,stale,scheduler job maker_study_intraday has no successful completion within 90000 seconds; measured age 90086.866 seconds,1,0,incident_open,True,False,False
degraded_c7007e648a416a8ca70cbfdb,2026-07-16T10:19:43Z,scheduler_completion_freshness,trade_prints,ops_scheduler/status.json,2026-07-16T09:58:47.972086+00:00,stale,scheduler job trade_prints has no successful completion within 1200 seconds; measured age 1255.028 seconds,1,0,incident_open,True,False,False
degraded_1c6080cff7caf5665578d098,2026-07-17T23:51:12Z,requote_missing_inputs,requote_alerts,maker_carry/requote_alerts.json,2026-07-17T23:51:05Z,pull_quotes_now,persistent missing-input rules: missing_live_bid_ask,4,3,incident_open,True,False,False
degraded_dfb7ab5741b89c4a1baf9675,2026-07-18T10:48:10Z,scheduler_completion_freshness,trade_prints,ops_scheduler/status.json,2026-07-18T10:27:03.227029+00:00,stale,scheduler job trade_prints has no successful completion within 1200 seconds; measured age 1266.773 seconds,1,0,incident_open,True,False,False
degraded_c93fc6ebaa8becbb14f33b4f,2026-07-18T12:29:15Z,scheduler_completion_freshness,trade_prints,ops_scheduler/status.json,2026-07-18T12:07:31.997299+00:00,stale,scheduler job trade_prints has no successful completion within 1200 seconds; measured age 1303.003 seconds,1,0,incident_open,True,False,False
degraded_639dbc46ba957de7ca51c75a,2026-07-18T13:03:32Z,scheduler_completion_freshness,trade_prints,ops_scheduler/status.json,2026-07-18T12:43:07.034339+00:00,stale,scheduler job trade_prints has no successful completion within 1200 seconds; measured age 1224.966 seconds,1,0,incident_open,True,False,False
degraded_e029029a5fb7b9fc03af21ed,2026-07-18T14:05:14Z,scheduler_completion_freshness,trade_prints,ops_scheduler/status.json,2026-07-18T13:39:38.990333+00:00,stale,scheduler job trade_prints has no successful completion within 1200 seconds; measured age 1535.01 seconds,1,0,incident_open,True,False,False
degraded_148956c9d16ed8d2e0bc7ad9,2026-07-19T10:05:50Z,scheduler_completion_freshness,trade_prints,ops_scheduler/status.json,2026-07-19T09:40:26.491982+00:00,stale,scheduler job trade_prints has no successful completion within 1200 seconds; measured age 1523.508 seconds,1,0,incident_open,True,False,False
degraded_02cbef81f1387890a8002c64,2026-07-19T10:35:18Z,scheduler_completion_freshness,trade_prints,ops_scheduler/status.json,2026-07-19T10:14:19.300716+00:00,stale,scheduler job trade_prints has no successful completion within 1200 seconds; measured age 1258.699 seconds,1,0,incident_open,True,False,False
degraded_2fe68994ba895aa4ef8d3e09,2026-07-19T18:42:32Z,scheduler_completion_freshness,trade_prints,ops_scheduler/status.json,2026-07-19T18:21:46.614722+00:00,stale,scheduler job trade_prints has no successful completion within 1200 seconds; measured age 1245.385 seconds,1,0,incident_open,True,False,False
degraded_72c69f54c2941bb7ef63fc9f,2026-07-20T07:58:04Z,scheduler_nonzero_exit,locked_card_refresh,ops_scheduler/status.json,2026-07-20T07:57:59.396286+00:00,last_exit_code=1,scheduler job locked_card_refresh exited with 1,1,0,incident_open,True,False,False
degraded_f72a91a0ef44349ba4f8cdf3,2026-07-20T08:55:19Z,scheduler_completion_freshness,locked_card_refresh,ops_scheduler/status.json,2026-07-19T19:54:35.745769+00:00,stale,scheduler job locked_card_refresh has no successful completion within 46800 seconds; measured age 46843.254 seconds,1,0,incident_open,True,False,False
degraded_5483183f414ee31347d0d1c9,2026-07-20T11:25:16Z,scheduler_completion_freshness,trade_prints,ops_scheduler/status.json,2026-07-20T11:04:09.327760+00:00,stale,scheduler job trade_prints has no successful completion within 1200 seconds; measured age 1266.672 seconds,1,0,incident_open,True,False,False
degraded_6ee42eb0372329382672c953,2026-07-20T12:02:13Z,maker_replay_insufficient_coverage,maker_fill_replay,maker_carry/maker_fill_replay.json,2026-07-20T12:01:19Z,insufficient_coverage,maker replay has simulated fill opportunities but no covered 5m official-book window; a zero realism ratio must not be interpreted as evidence,4,3,incident_open,True,False,False
degraded_7ff5bc872e57c17c0e266058,2026-07-21T11:37:00Z,scheduler_completion_freshness,trade_prints,ops_scheduler/status.json,2026-07-21T11:15:55.489322+00:00,stale,scheduler job trade_prints has no successful completion within 1200 seconds; measured age 1264.511 seconds,1,0,incident_open,True,False,False
degraded_7fa587e3e66fd31fc1e6f67d,2026-07-22T11:46:33Z,scheduler_completion_freshness,trade_prints,ops_scheduler/status.json,2026-07-22T11:25:17.121652+00:00,stale,scheduler job trade_prints has no successful completion within 1200 seconds; measured age 1275.878 seconds,1,0,incident_open,True,False,False
degraded_522d78d29f542f9cb8368b4b,2026-07-22T19:20:00Z,scheduler_completion_freshness,trade_prints,ops_scheduler/status.json,2026-07-22T18:58:55.100134+00:00,stale,scheduler job trade_prints has no successful completion within 1200 seconds; measured age 1264.9 seconds,1,0,incident_open,True,False,False
degraded_04deafcbb9810e2bcd5ecb21,2026-07-23T12:08:42Z,scheduler_completion_freshness,trade_prints,ops_scheduler/status.json,2026-07-23T11:47:39.458596+00:00,stale,scheduler job trade_prints has no successful completion within 1200 seconds; measured age 1262.541 seconds,1,0,incident_open,True,False,False
degraded_7e2a6a0dacf6a55f4167e51e,2026-07-24T12:25:14Z,scheduler_completion_freshness,trade_prints,ops_scheduler/status.json,2026-07-24T12:03:57.882101+00:00,stale,scheduler job trade_prints has no successful completion within 1200 seconds; measured age 1276.118 seconds,1,0,incident_open,True,False,False
degraded_609bd18df3f09ae461174e77,2026-07-26T13:05:09Z,scheduler_completion_freshness,trade_prints,ops_scheduler/status.json,2026-07-26T12:44:21.164935+00:00,stale,scheduler job trade_prints has no successful completion within 1200 seconds; measured age 1247.835 seconds,1,0,incident_open,True,False,False
degraded_45c3b5f3d6f243c9f048b09a,2026-07-27T13:18:17Z,scheduler_completion_freshness,trade_prints,ops_scheduler/status.json,2026-07-27T12:57:13.963834+00:00,stale,scheduler job trade_prints has no successful completion within 1200 seconds; measured age 1263.036 seconds,1,0,incident_open,True,False,False
degraded_4a6d43be2ecb9ff483324181,2026-07-28T11:07:46Z,scheduler_completion_freshness,trade_prints,ops_scheduler/status.json,2026-07-28T10:43:58.204442+00:00,stale,scheduler job trade_prints has no successful completion within 1200 seconds; measured age 1427.796 seconds,1,0,incident_open,True,False,False
degraded_16abbc4ad2109e1994964a8c,2026-07-28T13:28:10Z,scheduler_completion_freshness,trade_prints,ops_scheduler/status.json,2026-07-28T13:06:52.107057+00:00,stale,scheduler job trade_prints has no successful completion within 1200 seconds; measured age 1277.893 seconds,1,0,incident_open,True,False,False
degraded_7ee052e8784f2a7cb6157f31,2026-07-29T09:04:01Z,disaster_recovery_not_recoverable,disaster_recovery_not_recoverable,performance/disaster_recovery_status.json,2026-07-29T09:00:08Z,not_due,status=not_due; remote_push_status=ok; rpo_compliant=True,1,0,incident_open,True,False,False
degraded_55b12da51d5e2b1a45c2c418,2026-07-29T09:04:01Z,operating_state_slo_breach,operating_state_slo,performance/operating_state.json,2026-07-29T08:58:38Z,breach_or_missing,"SLO rows breached, unknown, or missing: scheduler_overrun_cycles",1,0,incident_open,True,False,False
degraded_a63fe3e33b299f93eaf8d5a0,2026-07-29T09:04:01Z,publication_bridge_unhealthy,anchor,performance/anchor_push_status.json,2026-07-29T09:00:06Z,failed,"anchor publication status is missing, failed, or older than 7200 seconds",1,0,incident_open,True,False,False
degraded_fb1d1fbdcb36a4100f6ffe99,2026-07-29T09:04:48Z,operating_state_slo_breach,operating_state_slo,performance/operating_state.json,2026-07-29T09:04:04Z,breach_or_missing,"SLO rows breached, unknown, or missing: scheduler_overrun_cycles",1,0,incident_open,True,False,False
