generated_at_utc,snapshot_date,wallet_role,wallet_address,reconciliation_status,internal_nav_usd,data_api_nav_usd,onchain_nav_usd,max_pairwise_delta_usd,unexplained_discrepancy_usd,contracts_page_sha256,rpc_chain_id
2026-07-12T07:54:30Z,2026-07-12,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,partial,,0.0,,,,aa1c0466f4a50afc2449f646ea2c052e24afab16d47b19ae2130d92497fddabb,
2026-07-13T08:24:03Z,2026-07-13,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,partial,,-0.068962,,,,87776247f9cce1f36b7a7e5460bfabb3055b5cc6b3cdd60ea0227e8b8454ea3b,
2026-07-13T17:47:20Z,2026-07-13,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,partial,,-0.135432,12.787917,12.923349,,5c20e19a151dd22bf7e38f76388b5c86fc35e4c26658aeeaed7805a4adbc9036,137
2026-07-13T18:07:38Z,2026-07-13,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,partial,,-0.135432,12.787917,12.923349,,5c20e19a151dd22bf7e38f76388b5c86fc35e4c26658aeeaed7805a4adbc9036,137
2026-07-13T18:34:07Z,2026-07-13,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,partial,,-0.135432,12.787917,12.923349,,55b0c5c67f2122a5d535268b2025ff447a7af20c59c20a72ad962dd4039e84c6,137
2026-07-14T08:25:17Z,2026-07-14,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,DISCREPANCY,12.923349,-0.136132,12.787217,13.059481,13.059481,2f3584bc160354b886e51bea0423e20bf52ea38feaa07bf85dfe97359c945967,137
2026-07-14T08:53:46Z,2026-07-14,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,DISCREPANCY,12.923349,-0.136132,12.787217,13.059481,13.059481,2f3584bc160354b886e51bea0423e20bf52ea38feaa07bf85dfe97359c945967,137
2026-07-14T10:50:47Z,2026-07-14,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,clean,12.923349,12.787217,12.787217,0.136132,0.0,2f3584bc160354b886e51bea0423e20bf52ea38feaa07bf85dfe97359c945967,137
2026-07-14T11:24:36Z,2026-07-14,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,clean,12.923349,12.787217,12.787217,0.136132,0.0,2f3584bc160354b886e51bea0423e20bf52ea38feaa07bf85dfe97359c945967,137
2026-07-14T12:46:54Z,2026-07-14,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,clean,12.923349,12.787217,12.787217,0.136132,0.0,2f3584bc160354b886e51bea0423e20bf52ea38feaa07bf85dfe97359c945967,137
