bucket,probability_min,probability_max,row_count,avg_predicted_probability,actual_win_rate,calibrated_probability,brier_score,log_loss
0,0.0,0.1,3,0.07833333333333334,1.0,0.81,0.850025,2.6029498546583363
1,0.1,0.2,14,0.16071428571428573,0.2857142857142857,0.25857142857142856,0.22212857142857143,0.6564610488595061
2,0.2,0.3,24,0.26000000000000006,0.5,0.45,0.3019895833333333,0.8104329951321342
3,0.3,0.4,63,0.3570634920634921,0.6825396825396826,0.616031746031746,0.32928373015873025,0.8583523477982635
4,0.4,0.5,100,0.47224999999999967,0.68,0.634,0.24993124999999985,0.6929736284513853
5,0.5,0.6,412,0.5060072815533977,0.4587378640776699,0.476990291262136,0.24966547330097102,0.6924605231864678
6,0.6,0.7,68,0.6417647058823526,0.3088235294117647,0.3770588235294118,0.33113970588235303,0.8621867610104651
7,0.7,0.8,24,0.7385416666666668,0.5416666666666666,0.5833333333333334,0.28323020833333334,0.7699600572547517
8,0.8,0.9,13,0.8419230769230768,0.6923076923076923,0.7238461538461539,0.2362903846153846,0.6902724371130392
9,0.9,1.0,3,0.9216666666666665,0.0,0.19,0.850025,2.6029498546583363
