shadow_position_id,signal_cohort,category,market_id,token_id,market_slug,question,status,opened_at,close_time,entry_price,line_price,line_bid,line_timestamp,line_kind,clv,clv_pct,clv_vs_bid,beat_close,quote_count
shadow_position_9ed9e5bd9e862fee9b00d1ec,near_miss_learning|crypto,crypto,0x1336cdb5c954e541480b6b3d241d299bce0d209ce725007cd7448b1530a8854b,51286356739900665958517218755996001284098353481701052787607366451031876880511,bitcoin-above-58k-on-july-1-2026,"Will the price of Bitcoin be above $58,000 on July 1?",closed,2026-07-01T12:33:00Z,2026-07-01T16:00:00Z,0.23,0.0005,,2026-07-01T15:50:05Z,closing,-0.2295,-0.997826,,False,0
shadow_position_2d1ce234ad56e372e9088e4c,near_miss_learning|unknown,unknown,0x1a64843d427607b164ea18493a30066de60f10abbbdc559066be494528378886,101210529767768522109521013327011182791765840362085947967089633962337103758101,0x1a64843d427607b164ea18493a30066de60f10abbbdc559066be494528378886,,closed,2026-07-01T12:38:44Z,2026-07-15T03:59:00Z,0.469,0.0005,,2026-07-14T14:30:06Z,closing,-0.4685,-0.998934,,False,0
shadow_position_b36a50db728a3d199d2b7cc9,exploratory_crypto_updown_live_model|crypto_eth_updown_daily|outcome=up,crypto,0xf4db0ac1fe6fdf723307cf8f7ed3b8b35e7b7ab1409c3672f3bd7cea154cb5f9,15133965731545014374900920914914504425237364675649508262471768181374994898591,ethereum-up-or-down-on-july-1-2026,Ethereum Up or Down on July 1?,closed,2026-07-01T13:01:02Z,2026-07-01T16:00:00Z,0.59,0.9995,,2026-07-01T15:50:03Z,closing,0.4095,0.694068,,True,0
shadow_position_b459988dbebc646e26d8b061,crypto_btc_updown_event,crypto_btc_updown_event,0x068e9ab22d0907e2994ce08907beeec97120fc79decbc8d43a7232edfc78dc3a,62491181956793915949619523167742425136466075088627377767605544091350002944371,bitcoin-up-or-down-on-july-1-2026,Bitcoin Up or Down on July 1?,closed,2026-07-01T13:16:44Z,2026-07-01T16:00:00Z,0.35,0.0005,,2026-07-01T15:50:03Z,closing,-0.3495,-0.998571,,False,0
shadow_position_749a1b3182070b4d3081a0f8,crypto_xrp_updown_event,crypto_xrp_updown_event,0xc235835f1be1bc5ce119a22a749191f23acad7045f5af851ad999e8b3db600d2,103969164718474111862121182153244985315866224399425867264746795676895650391952,xrp-up-or-down-on-july-1-2026,XRP Up or Down on July 1?,closed,2026-07-01T13:17:43Z,2026-07-01T16:00:00Z,0.25,0.0005,,2026-07-01T15:50:03Z,closing,-0.2495,-0.998,,False,0
shadow_position_3cd0555436b0cffc5e490855,near_miss_learning|crypto_eth_updown_event,crypto_eth_updown_event,0xdf00ee4c5e29d49d92ef247a36d573e3f2bee36a226b36a0b4d510db1523d4e6,95970913262670810505582938582435436880687579142255885096913338033013971150243,ethereum-up-or-down-july-1-2026-9am-et,"Ethereum Up or Down - July 1, 9AM ET",closed,2026-07-01T13:23:02Z,2026-07-01T14:00:00Z,0.18,0.0025,,2026-07-01T13:50:04Z,closing,-0.1775,-0.986111,,False,0
shadow_position_8aabe31a1925596752230768,near_miss_learning|crypto_btc_updown_event,crypto_btc_updown_event,0xd0dcf49d7581614cc1061cab3b48457e651c8b5bd07cda5f1d5b813f89a9fc32,1563162945160401095963867324951055209473710269890417949906585810475714457575,bitcoin-up-or-down-july-1-2026-9am-et,"Bitcoin Up or Down - July 1, 9AM ET",closed,2026-07-01T13:25:43Z,2026-07-01T14:00:00Z,0.26,0.0025,,2026-07-01T13:50:04Z,closing,-0.2575,-0.990385,,False,0
shadow_position_bd4ddebd5bdc4c8bacb8e0df,near_miss_learning|macro_rates,macro_rates,0x8bf1c1536ecb1c08fe13c6b71e8ab1f58bf3461c4cb79f5f1679f869a06aef86,36015050921127306245266044699797268780268172446856063291868548314968920497494,will-there-be-no-change-in-fed-interest-rates-after-the-july-2026-meeting,Will there be no change in Fed interest rates after the July 2026 meeting?,closed,2026-07-01T13:29:56Z,2026-07-29T00:00:00Z,0.23,0.243,0.242,2026-07-28T23:58:27Z,closing,0.013,0.056522,0.012,True,5741
shadow_position_71bd3067a3f8508211a12f01,crypto_btc_updown_event,crypto_btc_updown_event,0x7033ece71a74a49f1efecd85ea2578a25af4ea4b59b27fc7c07359962d263219,105068887882187836388877473645777248531686732926096216121355472205440074476932,bitcoin-up-or-down-on-july-2-2026,Bitcoin Up or Down on July 2?,closed,2026-07-01T16:22:35Z,2026-07-02T16:00:00Z,0.47,0.9995,,2026-07-02T15:50:05Z,closing,0.5295,1.126596,,True,0
shadow_position_f1b953f8c74a4e238415929d,crypto_eth_updown_event,crypto_eth_updown_event,0xfc966c7851e7e43685ddc2cfa06ccde7a937c14e346fec8229cfdec879af5b84,53855646100834706748889273803999821053702564615604493601478667498735606571859,ethereum-up-or-down-on-july-2-2026,Ethereum Up or Down on July 2?,closed,2026-07-01T16:27:47Z,2026-07-02T16:00:00Z,0.46,0.0005,,2026-07-02T15:50:04Z,closing,-0.4595,-0.998913,,False,0
