signal_cohort,family,paper_round_trips,paper_audited_round_trips,paper_quote_conflict_round_trips,paper_quote_unverified_round_trips,paper_realized_pnl_usdc,paper_audited_pnl_usdc,paper_unaudited_pnl_usdc,shadow_positions,shadow_closed_positions,shadow_realized_pnl_usdc,shadow_unrealized_pnl_usdc,shadow_total_pnl_usdc,entry_edge_usdc,spread_slippage_cost_usdc,clv_positions,clv_final_positions,mean_clv,mean_final_clv,line_movement_usdc,decision_pnl_usdc,closed_decision_pnl_usdc,residual_pnl_usdc,settlement_surprise_usdc,primary_drag,recommended_action
exploratory_crypto_updown_live_model|crypto_eth_updown_15m|outcome=up,crypto_eth_updown_15m,3,0,0,1,-0.12,0.0,-0.12,1,1,45.555556,0.0,45.555556,2.213826,0.18,0,0,,,0.0,45.555556,45.555556,43.521729,43.521729,quote_quality,fix_quote_audit_before_promotion
exploratory_crypto_updown_live_model|crypto_eth_updown_15m|outcome=down,crypto_eth_updown_15m,0,0,0,0,0.0,0.0,0.0,1,1,14.390244,0.0,14.390244,0.700055,0.0,0,0,,,0.0,14.390244,14.390244,13.690189,13.690189,positive_forward_edge,collect_confirmation_until_governance_threshold
exploratory_crypto_updown_live_model|crypto_sol_updown_15m|outcome=up,crypto_sol_updown_15m,0,0,0,0,0.0,0.0,0.0,1,1,9.678957,0.0,9.678957,0.433085,0.0,0,0,,,0.0,9.678957,9.678957,9.245873,9.245873,positive_forward_edge,collect_confirmation_until_governance_threshold
exploratory_crypto_updown_live_model|crypto_eth_updown_daily|outcome=up,crypto_eth_updown_event,1,0,1,0,-1.058824,0.0,-1.058824,2,2,5.330912,0.0,5.330912,0.779514,0.044118,0,0,,,0.0,5.330912,5.330912,4.595515,4.595515,quote_quality,fix_quote_audit_before_promotion
near_miss_learning|crypto_eth_updown_event,crypto_eth_updown_event,0,0,0,0,0.0,0.0,0.0,1,1,5.0,0.0,5.0,0.051913,0.0,0,0,,,0.0,5.0,5.0,4.948087,4.948087,positive_forward_edge,collect_confirmation_until_governance_threshold
crypto_xrp_updown_event,crypto_xrp_updown_event,1,0,0,1,-1.222222,0.0,-1.222222,3,3,4.640244,0.0,4.640244,3.570777,0.041667,0,0,,,0.0,4.640244,4.640244,1.111133,1.111133,quote_quality,fix_quote_audit_before_promotion
exploratory_crypto_updown_live_model|crypto_btc_updown_daily|outcome=down,crypto_btc_updown_event,4,0,2,0,5.572885,0.0,5.572885,1,1,2.916667,0.0,2.916667,0.956016,0.333603,0,0,,,0.0,2.916667,2.916667,2.294253,2.294253,quote_quality,fix_quote_audit_before_promotion
exploratory_crypto_updown_live_model|crypto_xrp_updown_daily|outcome=up,crypto,0,0,0,0,0.0,0.0,0.0,1,1,1.363636,0.0,1.363636,0.032846,0.0,0,0,,,0.0,1.363636,1.363636,1.33079,1.33079,positive_forward_edge,collect_confirmation_until_governance_threshold
near_miss_learning|crypto,crypto_btc_special,2,0,2,0,51.495455,0.0,51.495455,2,1,2.608696,-1.333333,1.275362,0.478782,0.119805,0,0,,,0.0,1.275362,2.608696,0.916386,0.916386,quote_quality,fix_quote_audit_before_promotion
worldcup_2026_winner_fundamental,worldcup,0,0,0,0,0.0,0.0,0.0,2,0,0.0,0.110318,0.110318,0.255006,0.0,0,0,,,0.0,0.110318,0.0,-0.144688,-0.144688,positive_forward_edge,collect_confirmation_until_governance_threshold
