shadow_position_id,signal_cohort,category,market_slug,close_reason,quantity,entry_fill_price,entry_mid_price,line_price,line_kind,exit_price,model_probability,model_claimed_edge_per_share,execution_cost_per_share,line_movement_per_share,settlement_surprise_per_share,total_pnl_per_share,execution_cost_usdc,line_movement_usdc,settlement_surprise_usdc,total_pnl_usdc
shadow_position_9ed9e5bd9e862fee9b00d1ec,near_miss_learning|crypto,crypto,bitcoin-above-58k-on-july-1-2026,shadow_take_profit,43.478261,0.23,0.225,0.0005,closing,0.29,0.283776,0.058776,0.005,-0.2245,0.2895,0.06,0.217391,-9.76087,12.586957,2.608696
shadow_position_2d1ce234ad56e372e9088e4c,near_miss_learning|unknown,unknown,0x1a64843d427607b164ea18493a30066de60f10abbbdc559066be494528378886,shadow_time_exit,21.321962,0.469,0.467,0.0005,closing,0.486,0.5501,0.0831,0.002,-0.4665,0.4855,0.017,0.042644,-9.946695,10.351812,0.362473
shadow_position_b36a50db728a3d199d2b7cc9,exploratory_crypto_updown_live_model|crypto_eth_updown_daily|outcome=up,crypto,ethereum-up-or-down-on-july-1-2026,shadow_take_profit,16.949153,0.59,0.585,0.9995,closing,0.75,0.618978,0.033978,0.005,0.4145,-0.2495,0.16,0.084746,7.025424,-4.228814,2.711864
shadow_position_b459988dbebc646e26d8b061,crypto_btc_updown_event,crypto_btc_updown_event,bitcoin-up-or-down-on-july-1-2026,shadow_stop_loss,28.571429,0.35,0.345,0.0005,closing,0.21,0.489778,0.144778,0.005,-0.3445,0.2095,-0.14,0.142857,-9.842857,5.985714,-4.0
shadow_position_749a1b3182070b4d3081a0f8,crypto_xrp_updown_event,crypto_xrp_updown_event,xrp-up-or-down-on-july-1-2026,shadow_take_profit,40.0,0.25,0.245,0.0005,closing,0.35,0.469526,0.224526,0.005,-0.2445,0.3495,0.1,0.2,-9.78,13.98,4.0
shadow_position_3cd0555436b0cffc5e490855,near_miss_learning|crypto_eth_updown_event,crypto_eth_updown_event,ethereum-up-or-down-july-1-2026-9am-et,shadow_take_profit,55.555556,0.18,0.175,0.0025,closing,0.27,0.273776,0.098776,0.005,-0.1725,0.2675,0.09,0.277778,-9.583333,14.861111,5.0
shadow_position_8aabe31a1925596752230768,near_miss_learning|crypto_btc_updown_event,crypto_btc_updown_event,bitcoin-up-or-down-july-1-2026-9am-et,shadow_stop_loss,38.461538,0.26,0.255,0.0025,closing,0.15,0.283776,0.028776,0.005,-0.2525,0.1475,-0.11,0.192308,-9.711538,5.673077,-4.230769
shadow_position_bd4ddebd5bdc4c8bacb8e0df,near_miss_learning|macro_rates,macro_rates,will-there-be-no-change-in-fed-interest-rates-after-the-july-2026-meeting,shadow_stop_loss,43.478261,0.23,0.225,0.243,closing,0.14,0.283776,0.058776,0.005,0.018,-0.103,-0.09,0.217391,0.782609,-4.478261,-3.913043
shadow_position_71bd3067a3f8508211a12f01,crypto_btc_updown_event,crypto_btc_updown_event,bitcoin-up-or-down-on-july-2-2026,shadow_take_profit,21.276596,0.47,0.465,0.9995,closing,0.59,0.576906,0.111906,0.005,0.5345,-0.4095,0.12,0.106383,11.37234,-8.712766,2.553191
shadow_position_f1b953f8c74a4e238415929d,crypto_eth_updown_event,crypto_eth_updown_event,ethereum-up-or-down-on-july-2-2026,shadow_take_profit,21.73913,0.46,0.455,0.0005,closing,0.58,0.573406,0.118406,0.005,-0.4545,0.5795,0.12,0.108696,-9.880435,12.597826,2.608696
shadow_position_9051ab02850b4cd29b952a67,exploratory_crypto_updown_live_model|crypto_eth_updown_daily|outcome=up,crypto_eth_updown_event,ethereum-up-or-down-on-july-2-2026,shadow_take_profit,23.809524,0.42,0.415,0.9995,closing,0.53,0.521443,0.106443,0.005,0.5845,-0.4695,0.11,0.119048,13.916667,-11.178571,2.619048
shadow_position_47dc2c8914c131ff27d812e6,crypto_btc_updown_event,crypto_btc_updown_event,bitcoin-up-or-down-on-july-2-2026,shadow_stop_loss,20.833333,0.48,0.475,0.0005,closing,0.31,0.580406,0.105406,0.005,-0.4745,0.3095,-0.17,0.104167,-9.885417,6.447917,-3.541667
shadow_position_8f3e63109d84c899aebb4ed1,exploratory_crypto_updown_live_model|crypto_eth_updown_15m|outcome=up,crypto_eth_updown_15m,eth-updown-15m-1782934200,shadow_clean_settlement,55.555556,0.18,0.175,0.175,closing,1.0,0.425,0.25,0.005,0.0,0.825,0.82,0.277778,0.0,45.833333,45.555556
