recorded_at_utc,source,positions_scored_attributed,final_line_positions,mean_final_clv,positive_cohorts,total_pnl_usdc,decision_or_class_summary
2026-08-04T04:26:24Z,edge_attribution,99,,,near_miss_learning|worldcup,-48.591926,insufficient_attribution_evidence=32|model_direction_not_confirmed=3|positive_edge_confirmed=1
2026-08-04T04:26:26Z,algo_sweep,9,,,,,no_sweep_candidate_reached_minimum_train_fills
2026-08-04T10:30:26Z,closing_line_value,109,89,0.006553,,,insufficient_clv_evidence=39
2026-08-04T10:30:26Z,edge_attribution,99,,,near_miss_learning|worldcup,-48.591926,insufficient_attribution_evidence=32|model_direction_not_confirmed=3|positive_edge_confirmed=1
2026-08-04T10:30:28Z,algo_sweep,9,,,,,no_sweep_candidate_reached_minimum_train_fills
2026-08-04T16:36:56Z,closing_line_value,109,89,0.006553,,,insufficient_clv_evidence=39
2026-08-04T16:36:56Z,edge_attribution,99,,,near_miss_learning|worldcup,-48.591926,insufficient_attribution_evidence=32|model_direction_not_confirmed=3|positive_edge_confirmed=1
2026-08-04T16:36:58Z,algo_sweep,9,,,,,no_sweep_candidate_reached_minimum_train_fills
2026-08-04T22:39:58Z,closing_line_value,112,89,0.006553,,,insufficient_clv_evidence=40
2026-08-04T22:39:58Z,edge_attribution,101,,,near_miss_learning|worldcup,-50.167404,insufficient_attribution_evidence=33|model_direction_not_confirmed=3|positive_edge_confirmed=1
2026-08-04T22:40:00Z,algo_sweep,9,,,,,no_sweep_candidate_reached_minimum_train_fills
2026-08-05T04:46:11Z,closing_line_value,113,90,0.008424,,,insufficient_clv_evidence=40
2026-08-05T04:46:12Z,edge_attribution,102,,,near_miss_learning|worldcup,-47.367404,insufficient_attribution_evidence=34|model_direction_not_confirmed=3|positive_edge_confirmed=1
2026-08-05T04:46:14Z,algo_sweep,9,,,,,no_sweep_candidate_reached_minimum_train_fills
2026-08-05T10:48:47Z,closing_line_value,115,90,0.008424,,,insufficient_clv_evidence=41
2026-08-05T10:48:47Z,edge_attribution,109,,,near_miss_learning|worldcup,-48.6141,insufficient_attribution_evidence=35|model_direction_not_confirmed=3|positive_edge_confirmed=1
2026-08-05T10:48:49Z,algo_sweep,9,,,,,no_sweep_candidate_reached_minimum_train_fills
2026-08-05T16:53:13Z,closing_line_value,118,90,0.008424,,,insufficient_clv_evidence=41
2026-08-05T16:53:13Z,edge_attribution,110,,,near_miss_learning|worldcup,-49.09029,insufficient_attribution_evidence=36|model_direction_not_confirmed=3|positive_edge_confirmed=1
2026-08-05T16:53:15Z,algo_sweep,9,,,,,no_sweep_candidate_reached_minimum_train_fills
2026-08-05T22:57:03Z,closing_line_value,117,90,0.008424,,,insufficient_clv_evidence=41
2026-08-05T22:57:03Z,edge_attribution,109,,,near_miss_learning|worldcup,-44.518861,insufficient_attribution_evidence=35|model_direction_not_confirmed=3|positive_edge_confirmed=1
2026-08-05T22:57:05Z,algo_sweep,9,,,,,no_sweep_candidate_reached_minimum_train_fills
2026-08-06T05:04:26Z,closing_line_value,117,90,0.008424,,,insufficient_clv_evidence=41
2026-08-06T05:04:26Z,edge_attribution,110,,,near_miss_learning|worldcup,-45.031682,insufficient_attribution_evidence=36|model_direction_not_confirmed=3|positive_edge_confirmed=1
2026-08-06T05:04:29Z,algo_sweep,9,,,,,no_sweep_candidate_reached_minimum_train_fills
2026-08-06T11:04:46Z,closing_line_value,114,90,0.008424,,,insufficient_clv_evidence=40
2026-08-06T11:04:46Z,edge_attribution,107,,,near_miss_learning|worldcup,-46.493605,insufficient_attribution_evidence=35|model_direction_not_confirmed=3|positive_edge_confirmed=1
2026-08-06T11:04:48Z,algo_sweep,9,,,,,no_sweep_candidate_reached_minimum_train_fills
2026-08-06T17:06:23Z,closing_line_value,115,90,0.008424,,,insufficient_clv_evidence=41
2026-08-06T17:06:23Z,edge_attribution,108,,,near_miss_learning|worldcup,-51.62874,insufficient_attribution_evidence=35|model_direction_not_confirmed=3|positive_edge_confirmed=1
2026-08-06T17:06:26Z,algo_sweep,9,,,,,no_sweep_candidate_reached_minimum_train_fills
2026-08-06T23:08:28Z,closing_line_value,115,90,0.008424,,,insufficient_clv_evidence=41
2026-08-06T23:08:28Z,edge_attribution,108,,,near_miss_learning|worldcup,-49.465819,insufficient_attribution_evidence=36|model_direction_not_confirmed=3|positive_edge_confirmed=1
2026-08-06T23:08:30Z,algo_sweep,9,,,,,no_sweep_candidate_reached_minimum_train_fills
2026-08-07T05:12:11Z,closing_line_value,114,90,0.008424,,,insufficient_clv_evidence=40
2026-08-07T05:12:11Z,edge_attribution,108,,,near_miss_learning|worldcup,-52.48241,insufficient_attribution_evidence=36|model_direction_not_confirmed=3|positive_edge_confirmed=1
2026-08-07T05:12:14Z,algo_sweep,9,,,,,no_sweep_candidate_reached_minimum_train_fills
2026-08-07T11:12:49Z,closing_line_value,114,90,0.008424,,,insufficient_clv_evidence=40
2026-08-07T11:12:49Z,edge_attribution,108,,,near_miss_learning|worldcup,-52.48241,insufficient_attribution_evidence=36|model_direction_not_confirmed=3|positive_edge_confirmed=1
2026-08-07T11:12:51Z,algo_sweep,9,,,,,no_sweep_candidate_reached_minimum_train_fills
2026-08-07T17:17:12Z,closing_line_value,113,90,0.008424,,,insufficient_clv_evidence=39
2026-08-07T17:17:12Z,edge_attribution,107,,,near_miss_learning|worldcup,-54.98241,insufficient_attribution_evidence=35|model_direction_not_confirmed=3|positive_edge_confirmed=1
2026-08-07T17:17:15Z,algo_sweep,9,,,,,no_sweep_candidate_reached_minimum_train_fills
2026-08-07T23:21:58Z,closing_line_value,112,90,0.008424,,,insufficient_clv_evidence=38
2026-08-07T23:21:58Z,edge_attribution,107,,,near_miss_learning|worldcup,-52.335351,insufficient_attribution_evidence=34|model_direction_not_confirmed=3|positive_edge_confirmed=1
2026-08-07T23:22:01Z,algo_sweep,9,,,,,no_sweep_candidate_reached_minimum_train_fills
2026-08-08T05:24:44Z,closing_line_value,112,90,0.008424,,,insufficient_clv_evidence=38
2026-08-08T05:24:44Z,edge_attribution,108,,,near_miss_learning|worldcup,-51.847546,insufficient_attribution_evidence=34|model_direction_not_confirmed=3|positive_edge_confirmed=1
2026-08-08T05:24:47Z,algo_sweep,9,,,,,no_sweep_candidate_reached_minimum_train_fills
2026-08-08T11:27:21Z,closing_line_value,112,90,0.008424,,,insufficient_clv_evidence=38
2026-08-08T11:27:21Z,edge_attribution,109,,,near_miss_learning|worldcup,-53.310961,insufficient_attribution_evidence=34|model_direction_not_confirmed=3|positive_edge_confirmed=1
2026-08-08T11:27:23Z,algo_sweep,9,,,,,no_sweep_candidate_reached_minimum_train_fills
2026-08-08T17:30:15Z,closing_line_value,111,90,0.008424,,,insufficient_clv_evidence=38
2026-08-08T17:30:15Z,edge_attribution,110,,,near_miss_learning|worldcup,-52.969149,insufficient_attribution_evidence=33|model_direction_not_confirmed=4|positive_edge_confirmed=1
2026-08-08T17:30:17Z,algo_sweep,9,,,,,no_sweep_candidate_reached_minimum_train_fills
2026-08-08T23:35:28Z,closing_line_value,110,90,0.008424,,,insufficient_clv_evidence=38
2026-08-08T23:35:28Z,edge_attribution,109,,,near_miss_learning|worldcup,-53.456954,insufficient_attribution_evidence=33|model_direction_not_confirmed=4|positive_edge_confirmed=1
2026-08-08T23:35:30Z,algo_sweep,9,,,,,no_sweep_candidate_reached_minimum_train_fills
2026-08-09T05:36:16Z,closing_line_value,110,90,0.008424,,,insufficient_clv_evidence=38
2026-08-09T05:36:16Z,edge_attribution,109,,,near_miss_learning|worldcup,-53.456954,insufficient_attribution_evidence=33|model_direction_not_confirmed=4|positive_edge_confirmed=1
2026-08-09T05:36:19Z,algo_sweep,9,,,,,no_sweep_candidate_reached_minimum_train_fills
2026-08-09T11:38:04Z,closing_line_value,110,90,0.008424,,,insufficient_clv_evidence=38
