market_slug,condition_id,question,resolution_source,closed,active,resolution_quality,resolution_quality_reason,row_count
argcopa-rac-cab-2026-08-19-exact-score-1-0,0x392c05a49b845fae32da027798b97275b4a4c9e740696e33921e29c7fb33cf1d,Exact Score: Racing Club Avellaneda 1 - 0 CA Belgrano de Cordoba?,,True,True,clean_settlement,,2
bra2-fec-ber-2026-08-19-halftime-result-draw,0x511c60c276736bdded49db6670d0d358ec96bf86b4a1bb130118e18670d7aa5a,Fortaleza EC vs. São Bernardo FC: Draw at halftime?,,True,True,clean_settlement,,2
lowest-temperature-in-hong-kong-on-august-19-2026-28c,0x84ab4971844a26b013231604b4fd1c58e6b8e18c9100d3b57f6aa9ab7e62f4bf,Will the lowest temperature in Hong Kong be 28°C on August 19?,,True,True,clean_settlement,,2
will-ekkotheneeko-win-the-2026-soloq-challenge-high-elo-20260727164936160,0x2c49a0686cfaaa583c6dae38323ad3803926e18f14b3b8a06a899106428ed9da,Will EkkoTheNeeko Win the 2026 Soloq Challenge (High Elo),,True,True,clean_settlement,,2
will-jesuscpev-win-the-2026-soloq-challenge-high-elo-20260727164936168,0x402fc13247a20564b7430673f1a2803e2a49e74563349e717c48988056d4855f,Will Jesuscpev Win the 2026 Soloq Challenge (High Elo),,True,True,clean_settlement,,2
will-kerios-win-the-2026-soloq-challenge-high-elo-20260727164936169,0x7c071a0be990ae6493debefa350fed70cf2a569b1b3aa74a6c2c67a23e9258b2,Will Kerios Win the 2026 Soloq Challenge (High Elo),,True,True,clean_settlement,,2
will-sol1xd-win-the-2026-soloq-challenge-high-elo-20260727164936180,0x1430adbea56b13402fa8c87b8c501df8438757d4f9880a8f06891db20e3ebec9,Will Sol1xd Win the 2026 Soloq Challenge (High Elo),,True,True,clean_settlement,,2
hype-updown-5m-1787194200,0x696ffaba265dd52d8440f5cdafadbf9e1650dc75cd58f53412516ed225d63f2a,"Hyperliquid Up or Down - August 19, 10:50PM-10:55PM ET",https://data.chain.link/streams/hype-usd-twap-60s-streams,True,True,clean_settlement,,2
eth-updown-5m-1787194200,0xdba02e20fb4f432d689db5f6012ef4335b9ddc69e844b44cb7972c5e0a24e36c,"Ethereum Up or Down - August 19, 10:50PM-10:55PM ET",https://data.chain.link/streams/eth-usd-twap-60s-streams,True,True,clean_settlement,,2
btc-updown-5m-1787194200,0x157f41c294c12d4fcfb98f5a36cd2f2a87f6b907fc5135c3df013e1ba6685bcd,"Bitcoin Up or Down - August 19, 10:50PM-10:55PM ET",https://data.chain.link/streams/btc-usd-twap-60s-streams,True,True,clean_settlement,,2
doge-updown-5m-1787194200,0x37edb7668bba40c1dad8fa33d439ab8b82822a4512cb847a167c8c7c664afb7e,"Dogecoin Up or Down - August 19, 10:50PM-10:55PM ET",https://data.chain.link/streams/doge-usd-twap-60s-streams,True,True,clean_settlement,,2
zec-updown-5m-1787194200,0x69193d4ebe725f5f51768846bbc1b3ac46bdcc4dff4af24af5e128bfe1caeccf,"ZCash Up or Down - August 19, 10:50PM-10:55PM ET",https://data.chain.link/streams/zec-usd-twap-60s-streams,True,True,clean_settlement,,2
bnb-updown-5m-1787194200,0xd4c85a5b54d7e4e429f08ac56b0d5dc084693af196f02964f1fc4a07d54b879d,"BNB Up or Down - August 19, 10:50PM-10:55PM ET",https://data.chain.link/streams/bnb-usd-twap-60s-streams,True,True,clean_settlement,,2
sol-updown-5m-1787194200,0x1ba3fffaf7c492a2dda1b96160c581d96f688bcf8faa0c08e7ccffa68f53bc89,"Solana Up or Down - August 19, 10:50PM-10:55PM ET",https://data.chain.link/streams/sol-usd-twap-60s-streams,True,True,clean_settlement,,2
xrp-updown-5m-1787194200,0xd3e5c7ead950b94567d9c1f58c02479ea3b7edd9360b4d5a643c6dd3c513d34e,"XRP Up or Down - August 19, 10:50PM-10:55PM ET",https://data.chain.link/streams/xrp-usd-twap-60s-streams,True,True,clean_settlement,,2
mls-min-atl-2026-08-19-first-to-score-home,0x8a3f3eced1372dbcad9d75ffad46725d958377d5aa289e58a009a02f2ea14033,Minnesota United FC to score first vs. Atlanta United FC?,,True,True,clean_settlement,,2
mls-min-atl-2026-08-19-halftime-result-away,0x1d283867f47bfddf528400758c0907cb7c47c2dfe1e25ae094de6598e398bdc5,Atlanta United FC leading at halftime?,,True,True,clean_settlement,,2
mls-min-atl-2026-08-19-second-half-result-draw,0xc21d9cf9f756a02fa8d2034c253ad85cd256e2b021f357bd6087f073f1cdd3c1,Minnesota United FC vs. Atlanta United FC: Second half draw?,,True,True,clean_settlement,,2
mls-min-atl-2026-08-19-first-to-score-neither,0x8d9de2dab1fcb6876faad31a0a0e882120ddc1482e4e323053f1ce5ef1af2ef9,Minnesota United FC vs. Atlanta United FC: Neither team to score first?,,True,True,clean_settlement,,2
highest-temperature-in-hong-kong-on-august-19-2026-32c,0xe7d33d2e69584373c24b5fcfb41be983263a4f8afb935ee83ec21f21503a0703,Will the highest temperature in Hong Kong be 32°C on August 19?,,True,True,clean_settlement,,2
will-silencer-be-the-most-picked-hero-at-the-international-2026-20260806194835472,0xa2117abb4e22f9fb9aebd93312aaafe3aa67f1e39208b7f8d36286c0eb7b95d0,Will Silencer Be the Most Picked Hero at The International 2026?,,True,True,clean_settlement,,2
grc-mp-pnt-2026-08-18-first-to-score-neither,0x3ac8fc67f07021041d2ed456e90ae4d5388db9f7edd7b6e097e608e4228d8f89,MGS Panserraïkós vs. APS Panthrakikós: Neither team to score first?,,True,True,clean_settlement,,2
bra2-fec-ber-2026-08-19-ber,0xb979ab92690814f55562a8adf0bedc0246965e6995657b123f3ce14d558c8a2c,Will São Bernardo FC win on 2026-08-19?,https://www.cbf.com.br/futebol-brasileiro/competicoes/campeonato-brasileiro-serie-b,True,True,clean_settlement,,2
bra2-fec-ber-2026-08-19-exact-score-1-2,0x2608b9357d7381db553af9c6cff8b8bdddc7f5bcdb73708575f6d073df873972,Exact Score: Fortaleza EC 1 - 2 São Bernardo FC?,,True,True,clean_settlement,,2
grc-mp-pnt-2026-08-18-first-to-score-away,0xaa6e0f489f920ec75631f1dd399eecb991c9c841b356d0f61aebe038a3a9ef9f,APS Panthrakikós to score first vs. MGS Panserraïkós?,,True,True,clean_settlement,,2
bra2-fec-ber-2026-08-19-fec,0xcc2ed34e956348191cf3f91e16d02219888e872e4b505f385bc39c3c279141ba,Will Fortaleza EC win on 2026-08-19?,https://www.cbf.com.br/futebol-brasileiro/competicoes/campeonato-brasileiro-serie-b,True,True,clean_settlement,,2
bra2-fec-ber-2026-08-19-exact-score-0-1,0x86d9d4952c3f26c897aa1732a8e61ec260504edebac9a3218a2c94c68c493372,Exact Score: Fortaleza EC 0 - 1 São Bernardo FC?,,True,True,clean_settlement,,2
bra2-fec-ber-2026-08-19-exact-score-1-0,0xb6b32d310db30b03dfd5b5f0a92c724831467ad422cc0ad3fe3c140839d7e097,Exact Score: Fortaleza EC 1 - 0 São Bernardo FC?,,True,True,clean_settlement,,2
bra2-fec-ber-2026-08-19-halftime-result-away,0x28b6f77ba1f14ce3c996d2004441a5d126c8ceb2756cd18355d448447b41c0bb,São Bernardo FC leading at halftime?,,True,True,clean_settlement,,2
bra2-fec-ber-2026-08-19-halftime-result-home,0x45c58fc595c1669779895c22da140a87a3d401d9c3c8de6fc352d478fe68de25,Fortaleza EC leading at halftime?,,True,True,clean_settlement,,2
bra2-fec-ber-2026-08-19-exact-score-3-1,0x0accf5af58a0bdeacc9db5d32a617c0e9bad5ecd8e6b1df18f39801318cb5865,Exact Score: Fortaleza EC 3 - 1 São Bernardo FC?,,True,True,clean_settlement,,2
bra2-fec-ber-2026-08-19-exact-score-any-other,0xf350ebb9e47e27b23b73fbbed9dc15036ab2bb73c51c1f751280a7420f20cc86,Exact Score: Any Other Score?,,True,True,clean_settlement,,2
bra2-fec-ber-2026-08-19-exact-score-2-1,0x82ed9ec3000216af08745556e41c18e0855855f4ec28778df4ff451f4cf0b190,Exact Score: Fortaleza EC 2 - 1 São Bernardo FC?,,True,True,clean_settlement,,2
bra2-fec-ber-2026-08-19-exact-score-3-3,0xa6181f7993d2ed61ccdb42a3f06bc359c795951e209e7ef1c624490ba487ae89,Exact Score: Fortaleza EC 3 - 3 São Bernardo FC?,,True,True,clean_settlement,,2
bra2-fec-ber-2026-08-19-exact-score-2-0,0x3a4ddb442f838d26406b2f37b53cbb60af80eff6e61d0312f86a4f8fcada7170,Exact Score: Fortaleza EC 2 - 0 São Bernardo FC?,,True,True,clean_settlement,,2
bra2-fec-ber-2026-08-19-second-half-result-away,0x950e5f61e6f06486adbf4929119d7e03f87b4f042fc19bb9d5e9befb3ff3233a,São Bernardo FC to win the second half?,,True,True,clean_settlement,,2
bra2-fec-ber-2026-08-19-exact-score-3-2,0x0f810c758dd424c501cf87f12c42913caa71d211a6fba69b6e8f15b53951a1ea,Exact Score: Fortaleza EC 3 - 2 São Bernardo FC?,,True,True,clean_settlement,,2
bra2-fec-ber-2026-08-19-exact-score-2-2,0x1fcd48423ae79b310e26b01161899f37ec6ba92a157b28592063d5a069b40be6,Exact Score: Fortaleza EC 2 - 2 São Bernardo FC?,,True,True,clean_settlement,,2
bra2-fec-ber-2026-08-19-exact-score-0-3,0x4e105952d71e593491fe0c46f3f5cb020aac6e035929cc2950e56feeda416da7,Exact Score: Fortaleza EC 0 - 3 São Bernardo FC?,,True,True,clean_settlement,,2
bra2-fec-ber-2026-08-19-exact-score-1-3,0x22f3ee48ba2ae0b76d026dec20c82609600addd3abdb01e8c17e655801df53d1,Exact Score: Fortaleza EC 1 - 3 São Bernardo FC?,,True,True,clean_settlement,,2
bra2-fec-ber-2026-08-19-second-half-result-home,0x46ee360b8f66c5529e1dccd6f2f4b31931ca16e3115ba9c03b443205d00cb67d,Fortaleza EC to win the second half?,,True,True,clean_settlement,,2
mls-min-atl-2026-08-19-ags-marcus-caldeira,0xe43d2a9814d58367b183e70d5512edf5211f7bf06a3487e8b48d7e4c98423287,Marcus Caldeira: Anytime Goalscorer,https://www.mlssoccer.com/schedule/scores,True,True,clean_settlement,,2
mls-min-atl-2026-08-19-ags-aleksey-miranchuk,0x985a2c03be63d8c3677fadde1c4a29b3e03742d8f01dfaaac94a5c9fb70d8f4e,Aleksey Miranchuk: Anytime Goalscorer,https://www.mlssoccer.com/schedule/scores,True,True,clean_settlement,,2
mls-min-atl-2026-08-19-ags-arif-kovac,0x31f033d19e08927302e42f54d501d0c424772b7c055ae54ea9a95d5d600a691b,Arif Kovac: Anytime Goalscorer,https://www.mlssoccer.com/schedule/scores,True,True,clean_settlement,,2
mls-min-atl-2026-08-19-ags-kelvin-yeboah,0xed57171a8fb92ffb2fb126362f366658ae4d0c6aceec0897d99e11716c02208e,Kelvin Yeboah: Anytime Goalscorer,https://www.mlssoccer.com/schedule/scores,True,True,clean_settlement,,2
mls-min-atl-2026-08-19-ags-mauricio-gonzalez,0xbb8e49e157c71db9049230809bb7bd1fd539939e717e43ffd12d4316af6421fb,Mauricio Gonzalez: Anytime Goalscorer,https://www.mlssoccer.com/schedule/scores,True,True,clean_settlement,,2
mls-min-atl-2026-08-19-ags-bongokuhle-hlongwane,0x736e5cb742664e7dc5743aa5742e383f17f8bd5be89b82633a6da518743885b5,Bongokuhle Hlongwane: Anytime Goalscorer,https://www.mlssoccer.com/schedule/scores,True,True,clean_settlement,,2
mls-min-atl-2026-08-19-ags-mamadou-dieng,0x35ab2d183d68aac8ceaa6eeee9b24410ed8ea1e8002c9db45db4d52df2fa389e,Mamadou Dieng: Anytime Goalscorer,https://www.mlssoccer.com/schedule/scores,True,True,clean_settlement,,2
mls-min-atl-2026-08-19-ags-julian-gressel,0x9bb702d099907d549533c026ce91219b7f7c24460656239f5ee63d0442b45bb5,Julian Gressel: Anytime Goalscorer,https://www.mlssoccer.com/schedule/scores,True,True,clean_settlement,,2
mls-min-atl-2026-08-19-ags-dominik-fitz,0x62fb25e03d6294c77bc22a711d58fa9a5b59f0c852aa77967a3c728d09252459,Dominik Fitz: Anytime Goalscorer,https://www.mlssoccer.com/schedule/scores,True,True,clean_settlement,,2
mls-min-atl-2026-08-19-ags-cayman-togashi,0x1aca694ac380b1d7491a9d6e857d93ece52287a89daa15ba76769e3908901e07,Cayman Togashi: Anytime Goalscorer,https://www.mlssoccer.com/schedule/scores,True,True,clean_settlement,,2
mls-min-atl-2026-08-19-ags-tomas-chancalay,0x35eaba7bc9300f73e9593832816adf14918987d7702f759deeaba34f6bdb92d1,Tomas Chancalay: Anytime Goalscorer,https://www.mlssoccer.com/schedule/scores,True,True,clean_settlement,,2
mls-min-atl-2026-08-19-ags-sergio-santos,0xb2c04583d6d3ba5d1c5473968dbee522de7cae59638166e3e729082ecf0c44d5,Sergio Santos: Anytime Goalscorer,https://www.mlssoccer.com/schedule/scores,True,True,clean_settlement,,2
mls-min-atl-2026-08-19-ags-joaquin-pereyra,0x8abf1d886d92367d15c087874c096cdfe18fb433655378b856cad681a54a0c5f,Joaquin Pereyra: Anytime Goalscorer,https://www.mlssoccer.com/schedule/scores,True,True,clean_settlement,,2
mls-min-atl-2026-08-19-ags-anthony-markanich,0xcf7a9abd69c7e42608f9719f0451e850d6b6f173bedff3f9e61699c3ff917f2b,Anthony Markanich: Anytime Goalscorer,https://www.mlssoccer.com/schedule/scores,True,True,clean_settlement,,2
mls-min-atl-2026-08-19-corners-total-7pt5,0x9c76ca25027c295fc966d2adcdfa75cc8753505323089bf497362ec1736341fb,Minnesota United FC vs. Atlanta United FC: O/U 7.5 Total Corners,https://www.mlssoccer.com/schedule/scores,True,True,clean_settlement,,2
mls-min-atl-2026-08-19-ags-fafa-picault,0xc4cd8f168c47aef83c53dd30c614404c77dc9794162125674bcca21a20604cb5,Fafa Picault: Anytime Goalscorer,https://www.mlssoccer.com/schedule/scores,True,True,clean_settlement,,2
mls-min-atl-2026-08-19-ags-miguel-almiron,0x5d9e3ec718fae8e1b4ed316864e472554ae53c3afa43ef9ebb2d102cd9c28e78,Miguel Almiron: Anytime Goalscorer,https://www.mlssoccer.com/schedule/scores,True,True,clean_settlement,,2
mls-min-atl-2026-08-19-corners-total-12pt5,0x9cc49a58f62b2166791e000d693d5a27e95cf54dc53bf06a74b8fb59df8c7e04,Minnesota United FC vs. Atlanta United FC: O/U 12.5 Total Corners,https://www.mlssoccer.com/schedule/scores,True,True,clean_settlement,,2
