signal_cohort,positions,open_positions,closed_positions,cost_basis_usdc,realised_pnl_usdc,unrealised_pnl_usdc,total_pnl_usdc,roi
exploratory_crypto_updown_live_model|crypto_eth_updown_15m|outcome=up,1,0,1,10.0,45.55555555555556,0.0,45.55555555555556,4.555555555555555
near_miss_learning|worldcup,5,0,5,50.0,32.484766359766354,0.0,32.484766359766354,0.6496953271953271
exploratory_crypto_updown_live_model|crypto_eth_updown_15m|outcome=down,1,0,1,10.0,14.390243902439025,0.0,14.390243902439025,1.4390243902439024
near_miss_learning|soccer_match,7,0,7,70.0,12.94337144337144,0.0,12.94337144337144,0.18490530633387772
exploratory_crypto_updown_live_model|crypto_sol_updown_15m|outcome=up,1,0,1,10.0,9.67895748754814,0.0,9.67895748754814,0.9678957487548139
near_miss_learning|crypto,5,0,5,50.0,8.654804514072246,0.0,8.654804514072246,0.17309609028144493
exploratory_crypto_updown_live_model|crypto_eth_updown_daily|outcome=up,3,0,3,30.0,8.023219718134973,0.0,8.023219718134973,0.2674406572711658
near_miss_learning|mma_match,2,0,2,20.0,5.182926829268293,0.0,5.182926829268293,0.25914634146341464
near_miss_learning|crypto_eth_updown_event,1,0,1,10.0,5.000000000000002,0.0,5.000000000000002,0.5000000000000002
ai_model_leader,12,0,12,120.0,4.833944319238431,0.0,4.833944319238431,0.04028286932698692
crypto_xrp_updown_event,3,0,3,30.0,4.640243902439023,0.0,4.640243902439023,0.15467479674796744
exploratory_crypto_updown_live_model|crypto_btc_updown_daily|outcome=down,1,0,1,10.0,2.916666666666668,0.0,2.916666666666668,0.2916666666666668
near_miss_learning|exploratory_historical_rule|crypto_sol_updown_event|outcome=down,1,0,1,10.0,2.8000000000000007,0.0,2.8000000000000007,0.2800000000000001
exploratory_crypto_updown_live_model|crypto_xrp_updown_daily|outcome=up,1,0,1,10.0,1.3636363636363633,0.0,1.3636363636363633,0.13636363636363633
structural|longshot_no|macro_rates,1,0,1,10.0,1.288135593220339,0.0,1.288135593220339,0.12881355932203392
structural|longshot_no|culture_entertainment,1,0,1,10.0,0.6666666666666661,0.0,0.6666666666666661,0.06666666666666661
structural|longshot_no|equities_macro,1,0,1,10.0,0.0,0.0,0.0,0.0
structural|longshot_no|tennis_match,1,0,1,10.0,0.0,0.0,0.0,0.0
structural|longshot_no|crypto_btc_special,4,0,4,40.0,-0.2912812384061567,0.0,-0.2912812384061567,-0.007282030960153918
near_miss_learning|esports_match,2,0,2,20.0,-0.5333333333333332,0.0,-0.5333333333333332,-0.02666666666666666
structural|longshot_no|crypto_sol_special,2,0,2,20.0,-0.6199806199806197,0.0,-0.6199806199806197,-0.030999030999030987
structural|longshot_no|crypto_eth_special,2,0,2,20.0,-0.8199808199808185,0.0,-0.8199808199808185,-0.04099904099904093
near_miss_learning|policy_legal,2,0,2,20.0,-0.9523809523809526,0.0,-0.9523809523809526,-0.04761904761904763
near_miss_learning|tennis_tennis_winner,1,0,1,10.0,-1.1904761904761898,0.0,-1.1904761904761898,-0.11904761904761899
near_miss_learning|tennis_tennis_set,2,0,2,20.0,-1.3606524264000406,0.0,-1.3606524264000406,-0.06803262132000203
near_miss_learning|tennis_match,4,0,4,40.0,-1.4474941724941726,0.0,-1.4474941724941726,-0.036187354312354314
crypto_eth_updown_event,2,0,2,20.0,-1.859389454209066,0.0,-1.859389454209066,-0.0929694727104533
macro_economy,3,0,3,30.0,-1.9634340222575517,0.0,-1.9634340222575517,-0.06544780074191839
near_miss_learning|macro_rates,3,0,3,30.0,-2.169564256333368,0.0,-2.169564256333368,-0.0723188085444456
tennis_tennis_winner,3,0,3,30.0,-2.3309606100504716,0.0,-2.3309606100504716,-0.07769868700168239
equities_macro,4,0,4,40.0,-2.405107313195548,0.0,-2.405107313195548,-0.060127682829888694
tennis_tennis_set,4,0,4,40.0,-2.518989577813107,0.0,-2.518989577813107,-0.06297473944532768
near_miss_learning|ai_model_leader,7,0,7,70.0,-2.5196383390038237,0.0,-2.5196383390038237,-0.03599483341434034
