fold,l2,train_markets,validation_markets,train_rows,validation_rows,status,rows,markets,base_rate,market_brier,model_brier,brier_gain_vs_market,brier_skill_vs_market,market_log_loss,model_log_loss,log_loss_gain_vs_market
1,0.1,5,15,120,136,ok,136,15,0.5,0.25074338235294097,0.24946152651316986,0.0012818558397711122,0.0051122220165586985,0.6946339950972549,0.6920685947994005,0.0025654002978543478
2,0.1,20,15,256,120,ok,120,15,0.5,0.25067,0.249287089838954,0.001382910161045997,0.0055168554715203655,0.6944872253404129,0.6917213035329749,0.0027659218074379543
3,0.1,35,15,376,118,ok,118,15,0.5,0.24871949152542366,0.2501039147753429,-0.00138442324991922,-0.005566203281569981,0.690543060590258,0.6933708570094126,-0.002827796419154538
4,0.1,50,14,494,48,ok,48,14,0.5,0.28428229166666663,0.23899942885027844,0.045282862816388186,0.15928836984853179,0.7649257677867974,0.6701645757134695,0.0947611920733279
1,0.3,5,15,120,136,ok,136,15,0.5,0.25074338235294097,0.2494522057022096,0.0012911766507313627,0.005149394726254197,0.6946339950972549,0.6920503634927337,0.0025836316045211305
2,0.3,20,15,256,120,ok,120,15,0.5,0.25067,0.2493694168414193,0.0013005831585806982,0.00518842764822558,0.6944872253404129,0.6918859749276355,0.0026012504127773672
3,0.3,35,15,376,118,ok,118,15,0.5,0.24871949152542366,0.24988220754755466,-0.0011627160221309996,-0.0046748086167269776,0.690543060590258,0.692923750483457,-0.0023806898931989506
4,0.3,50,14,494,48,ok,48,14,0.5,0.28428229166666663,0.2389357823146221,0.04534650935204454,0.15951225483019282,0.7649257677867974,0.6701539683377509,0.09477179944904657
1,1.0,5,15,120,136,ok,136,15,0.5,0.25074338235294097,0.24945488509709665,0.0012884972558443175,0.005138708921261448,0.6946339950972549,0.6920560521866934,0.0025779429105614593
2,1.0,20,15,256,120,ok,120,15,0.5,0.25067,0.24946007104202364,0.001209928957976364,0.004826780061341074,0.6944872253404129,0.692067297916079,0.0024199274243338342
3,1.0,35,15,376,118,ok,118,15,0.5,0.24871949152542366,0.249606318187669,-0.0008868266622453491,-0.003565569617428599,0.690543060590258,0.6923679235569599,-0.0018248629667018124
4,1.0,50,14,494,48,ok,48,14,0.5,0.28428229166666663,0.23903553880700368,0.04524675285966295,0.15916134837099438,0.7649257677867974,0.6705280491950024,0.09439771859179502
1,3.0,5,15,120,136,ok,136,15,0.5,0.25074338235294097,0.2494734078725756,0.0012699744803653656,0.005064837478254036,0.6946339950972549,0.6920933961916509,0.0025405989056039857
2,3.0,20,15,256,120,ok,120,15,0.5,0.25067,0.2495214251211955,0.0011485748788045147,0.004582019702415563,0.6944872253404129,0.6921900136385617,0.002297211701851154
3,3.0,35,15,376,118,ok,118,15,0.5,0.24871949152542366,0.2494410517938366,-0.0007215602684129407,-0.0029011006093151437,0.690543060590258,0.6920345742439097,-0.0014915136536516327
4,3.0,50,14,494,48,ok,48,14,0.5,0.28428229166666663,0.23931569341073955,0.04496659825592708,0.1581758680510863,0.7649257677867974,0.6712253356637818,0.0937004321230156
1,10.0,5,15,120,136,ok,136,15,0.5,0.25074338235294097,0.2495398294271834,0.0012035529257575783,0.004799938943407467,0.6946339950972549,0.692226596335151,0.0024073987621038295
2,10.0,20,15,256,120,ok,120,15,0.5,0.25067,0.24959206202842735,0.0010779379715726567,0.004300227277187818,0.6944872253404129,0.692331294093911,0.0021559312465018188
3,10.0,35,15,376,118,ok,118,15,0.5,0.24871949152542366,0.24936102631634702,-0.0006415347909233537,-0.002579350685339321,0.690543060590258,0.6918721714981185,-0.0013291109078604757
4,10.0,50,14,494,48,ok,48,14,0.5,0.28428229166666663,0.23985465954800914,0.044427632118657495,0.15627998444148894,0.7649257677867974,0.6724383432514123,0.09248742453538517
