signal_cohort,shadow_fills,shadow_sell_fills,shadow_open_positions,shadow_total_buy_cost_usdc,shadow_sell_proceeds_usdc,shadow_open_mark_value_usdc,shadow_open_cost_basis_usdc,first_evidence_at_utc,last_evidence_at_utc,shadow_total_pnl_usdc,shadow_roi,evidence_elapsed_hours,shadow_monthly_run_rate_usdc,promotion_readiness,promotion_ready_score,promotion_ready_checks,shadow_promoted,generated_at_utc
soccer_match,6,6,0,60.0,52.5469495716175,0.0,0.0,2026-07-13T10:02:37Z,2026-07-15T08:33:34Z,-7.453050428382497,-0.12421750713970828,877.9475432033333,-6.112206076518613,"{""fills_remaining"": 0, ""monthly_run_rate_remaining_usdc"": 26.112206076518614, ""pnl_remaining_usdc"": 7.453050428382497, ""roi_remaining"": 0.15421750713970828, ""settled_fills_remaining"": 0, ""tracking_hours_remaining"": 0.0}",3,6,False,2026-08-18T23:59:28Z
structural|longshot_no|ai_model_leader,6,6,0,60.0,54.66580756314177,0.0,0.0,2026-07-04T09:12:29Z,2026-08-17T01:40:16Z,-5.334192436858231,-0.08890320728097052,1094.7830987611112,-3.5081091029649025,"{""fills_remaining"": 0, ""monthly_run_rate_remaining_usdc"": 23.5081091029649, ""pnl_remaining_usdc"": 5.334192436858231, ""roi_remaining"": 0.11890320728097052, ""settled_fills_remaining"": 0, ""tracking_hours_remaining"": 0.0}",3,6,False,2026-08-18T23:59:28Z
structural|longshot_no|baseball_mlb_match,5,5,0,50.0,46.137328339575525,0.0,0.0,2026-07-19T22:22:57Z,2026-08-17T01:40:16Z,-3.862671660424475,-0.0772534332084895,721.6086543186111,-3.854060755590015,"{""fills_remaining"": 0, ""monthly_run_rate_remaining_usdc"": 23.854060755590016, ""pnl_remaining_usdc"": 3.862671660424475, ""roi_remaining"": 0.1072534332084895, ""settled_fills_remaining"": 0, ""tracking_hours_remaining"": 0.0}",3,6,False,2026-08-18T23:59:28Z
structural|longshot_no|crypto_btc_special,4,4,0,40.0,39.70871876159384,0.0,0.0,2026-07-04T09:12:29Z,2026-08-17T01:40:16Z,-0.2912812384061567,-0.007282030960153918,1094.7830987652778,-0.19156533553436877,"{""fills_remaining"": 1, ""monthly_run_rate_remaining_usdc"": 20.191565335534367, ""pnl_remaining_usdc"": 0.2912812384061567, ""roi_remaining"": 0.037282030960153915, ""settled_fills_remaining"": 0, ""tracking_hours_remaining"": 0.0}",2,6,False,2026-08-18T23:59:28Z
structural|longshot_no|crypto_eth_special,2,2,0,20.0,19.18001918001918,0.0,0.0,2026-07-04T09:12:29Z,2026-07-07T09:14:11Z,-0.8199808199808203,-0.04099904099904102,1094.7830987675,-0.5392722915165059,"{""fills_remaining"": 3, ""monthly_run_rate_remaining_usdc"": 20.539272291516507, ""pnl_remaining_usdc"": 0.8199808199808203, ""roi_remaining"": 0.07099904099904102, ""settled_fills_remaining"": 1, ""tracking_hours_remaining"": 0.0}",1,6,False,2026-08-18T23:59:28Z
structural|longshot_no|crypto_sol_special,2,2,0,20.0,19.38001938001938,0.0,0.0,2026-07-04T09:12:29Z,2026-07-07T09:14:11Z,-0.6199806199806197,-0.030999030999030987,1094.7830987694445,-0.40773925619382095,"{""fills_remaining"": 3, ""monthly_run_rate_remaining_usdc"": 20.40773925619382, ""pnl_remaining_usdc"": 0.6199806199806197, ""roi_remaining"": 0.060999030999030986, ""settled_fills_remaining"": 1, ""tracking_hours_remaining"": 0.0}",1,6,False,2026-08-18T23:59:28Z
structural|longshot_no|culture_entertainment,1,1,0,10.0,10.666666666666666,0.0,0.0,2026-07-19T22:22:57Z,2026-07-22T22:23:42Z,0.6666666666666661,0.06666666666666661,721.6086543272222,0.6651804923918888,"{""fills_remaining"": 4, ""monthly_run_rate_remaining_usdc"": 19.33481950760811, ""pnl_remaining_usdc"": 0.0, ""roi_remaining"": 0.0, ""settled_fills_remaining"": 2, ""tracking_hours_remaining"": 0.0}",3,6,False,2026-08-18T23:59:28Z
structural|longshot_no|equities_macro,1,1,0,10.0,10.0,0.0,0.0,2026-08-14T01:39:13Z,2026-08-17T01:40:16Z,0.0,0.0,118.33754321805556,0.0,"{""fills_remaining"": 4, ""monthly_run_rate_remaining_usdc"": 20.0, ""pnl_remaining_usdc"": 0.0, ""roi_remaining"": 0.03, ""settled_fills_remaining"": 2, ""tracking_hours_remaining"": 0.0}",2,6,False,2026-08-18T23:59:28Z
structural|longshot_no|macro_rates,1,1,0,10.0,11.288135593220339,0.0,0.0,2026-07-04T23:58:32Z,2026-07-08T00:02:39Z,1.288135593220339,0.12881355932203392,1080.0155987758333,0.858744659030308,"{""fills_remaining"": 4, ""monthly_run_rate_remaining_usdc"": 19.141255340969693, ""pnl_remaining_usdc"": 0.0, ""roi_remaining"": 0.0, ""settled_fills_remaining"": 2, ""tracking_hours_remaining"": 0.0}",3,6,False,2026-08-18T23:59:28Z
structural|longshot_no|tennis_match,1,1,0,10.0,10.0,0.0,0.0,2026-07-19T22:22:57Z,2026-07-22T22:23:42Z,0.0,0.0,721.6086543444444,0.0,"{""fills_remaining"": 4, ""monthly_run_rate_remaining_usdc"": 20.0, ""pnl_remaining_usdc"": 0.0, ""roi_remaining"": 0.03, ""settled_fills_remaining"": 2, ""tracking_hours_remaining"": 0.0}",2,6,False,2026-08-18T23:59:28Z
