anchor_generated_at_utc,recorded_at_utc,sport,market_key,rows_fetched,rows_mapped,join_rate,direct_token_joins,token_map_joins,h2h_public_search_token_joins,worldcup_winner_token_joins,advance_composite_token_joins,skipped_no_token,zero_join_streak,classification,recommendation
2026-07-05T00:03:37Z,2026-07-05T08:19:40Z,baseball_mlb,h2h,24,12,0.5,0,0,12,0,0,8,0,mappable,Keep fetching; this sport/market currently maps into Polymarket tokens.
2026-07-05T00:03:37Z,2026-07-05T08:19:40Z,basketball_nba,h2h,0,0,,0,0,0,0,0,0,0,collecting_coverage_evidence,No fetched rows this run; keep collecting before trimming.
2026-07-05T00:03:37Z,2026-07-05T08:19:40Z,mma_mixed_martial_arts,h2h,32,12,0.375,0,0,12,0,0,20,0,mappable,Keep fetching; this sport/market currently maps into Polymarket tokens.
2026-07-05T00:03:37Z,2026-07-05T08:19:40Z,soccer_fifa_world_cup,h2h,21,15,0.714286,0,0,15,0,0,6,0,mappable,Keep fetching; this sport/market currently maps into Polymarket tokens.
2026-07-05T00:03:37Z,2026-07-05T08:19:40Z,soccer_fifa_world_cup_winner,outrights,14,14,1.0,0,0,0,14,0,0,0,mappable,Keep fetching; this sport/market currently maps into Polymarket tokens.
2026-07-05T00:03:37Z,2026-07-05T08:19:40Z,tennis_atp,h2h,0,0,,0,0,0,0,0,0,0,collecting_coverage_evidence,No fetched rows this run; keep collecting before trimming.
2026-07-05T00:03:37Z,2026-07-05T08:19:40Z,tennis_wta,h2h,0,0,,0,0,0,0,0,0,0,collecting_coverage_evidence,No fetched rows this run; keep collecting before trimming.
2026-07-05T13:36:32Z,2026-07-05T13:41:49Z,baseball_mlb_world_series_winner,outrights,30,0,0.0,0,0,0,0,0,30,1,collecting_coverage_evidence,Fetched rows but mapped zero tokens; need 4 more zero-join fetched cycle(s) before flagging.
2026-07-05T13:36:32Z,2026-07-05T13:41:49Z,basketball_nba_championship_winner,outrights,0,0,,0,0,0,0,0,0,0,collecting_coverage_evidence,No fetched rows this run; keep collecting before trimming.
2026-07-05T13:36:32Z,2026-07-05T13:41:49Z,soccer_fifa_world_cup,h2h,21,18,0.857143,0,0,18,0,0,3,0,mappable,Keep fetching; this sport/market currently maps into Polymarket tokens.
2026-07-05T13:36:32Z,2026-07-05T13:41:49Z,soccer_fifa_world_cup_winner,outrights,14,14,1.0,0,0,0,14,0,0,0,mappable,Keep fetching; this sport/market currently maps into Polymarket tokens.
2026-07-05T15:35:01Z,2026-07-05T16:05:31Z,baseball_mlb_world_series_winner,outrights,30,0,0.0,0,0,0,0,0,30,2,collecting_coverage_evidence,Fetched rows but mapped zero tokens; need 3 more zero-join fetched cycle(s) before flagging.
2026-07-05T15:35:01Z,2026-07-05T16:05:31Z,basketball_nba_championship_winner,outrights,0,0,,0,0,0,0,0,0,0,collecting_coverage_evidence,No fetched rows this run; keep collecting before trimming.
2026-07-05T15:35:01Z,2026-07-05T16:05:31Z,soccer_fifa_world_cup,h2h,21,18,0.857143,0,0,18,0,0,3,0,mappable,Keep fetching; this sport/market currently maps into Polymarket tokens.
2026-07-05T15:35:01Z,2026-07-05T16:05:31Z,soccer_fifa_world_cup_winner,outrights,14,14,1.0,0,0,0,14,0,0,0,mappable,Keep fetching; this sport/market currently maps into Polymarket tokens.
2026-07-07T13:48:50Z,2026-07-07T13:54:49Z,baseball_mlb_world_series_winner,outrights,30,0,0.0,0,0,0,0,0,30,3,collecting_coverage_evidence,Fetched rows but mapped zero tokens; need 2 more zero-join fetched cycle(s) before flagging.
2026-07-07T13:48:50Z,2026-07-07T13:54:49Z,basketball_nba_championship_winner,outrights,0,0,,0,0,0,0,0,0,0,collecting_coverage_evidence,No fetched rows this run; keep collecting before trimming.
2026-07-07T13:48:50Z,2026-07-07T13:54:49Z,soccer_fifa_world_cup,h2h,15,15,1.0,0,0,15,0,0,0,0,mappable,Keep fetching; this sport/market currently maps into Polymarket tokens.
2026-07-07T13:48:50Z,2026-07-07T13:54:49Z,soccer_fifa_world_cup_winner,outrights,10,10,1.0,0,0,0,10,0,0,0,mappable,Keep fetching; this sport/market currently maps into Polymarket tokens.
2026-07-07T14:12:59Z,2026-07-07T14:26:03Z,baseball_mlb_world_series_winner,outrights,30,0,0.0,0,0,0,0,0,30,4,collecting_coverage_evidence,Fetched rows but mapped zero tokens; need 1 more zero-join fetched cycle(s) before flagging.
2026-07-07T14:12:59Z,2026-07-07T14:26:03Z,basketball_nba_championship_winner,outrights,0,0,,0,0,0,0,0,0,0,collecting_coverage_evidence,No fetched rows this run; keep collecting before trimming.
2026-07-07T14:12:59Z,2026-07-07T14:26:03Z,soccer_fifa_world_cup,h2h,15,15,1.0,0,0,15,0,0,0,0,mappable,Keep fetching; this sport/market currently maps into Polymarket tokens.
2026-07-07T14:12:59Z,2026-07-07T14:26:03Z,soccer_fifa_world_cup_winner,outrights,10,10,1.0,0,0,0,10,0,0,0,mappable,Keep fetching; this sport/market currently maps into Polymarket tokens.
2026-07-07T14:29:46Z,2026-07-07T14:40:56Z,baseball_mlb_world_series_winner,outrights,30,0,0.0,0,0,0,0,0,30,5,no_mappable_market,Recommendation only: consider trimming this sport/market from sharp_odds_fetch unless a new Polymarket market appears.
2026-07-07T14:29:46Z,2026-07-07T14:40:56Z,basketball_nba_championship_winner,outrights,0,0,,0,0,0,0,0,0,0,collecting_coverage_evidence,No fetched rows this run; keep collecting before trimming.
2026-07-07T14:29:46Z,2026-07-07T14:40:56Z,soccer_fifa_world_cup,h2h,15,15,1.0,0,0,15,0,0,0,0,mappable,Keep fetching; this sport/market currently maps into Polymarket tokens.
2026-07-07T14:29:46Z,2026-07-07T14:40:56Z,soccer_fifa_world_cup_winner,outrights,10,10,1.0,0,0,0,10,0,0,0,mappable,Keep fetching; this sport/market currently maps into Polymarket tokens.
2026-07-07T14:48:24Z,2026-07-07T14:55:33Z,baseball_mlb_world_series_winner,outrights,30,0,0.0,0,0,0,0,0,30,6,no_mappable_market,Recommendation only: consider trimming this sport/market from sharp_odds_fetch unless a new Polymarket market appears.
2026-07-07T14:48:24Z,2026-07-07T14:55:33Z,basketball_nba_championship_winner,outrights,0,0,,0,0,0,0,0,0,0,collecting_coverage_evidence,No fetched rows this run; keep collecting before trimming.
2026-07-07T14:48:24Z,2026-07-07T14:55:33Z,soccer_fifa_world_cup,h2h,15,15,1.0,0,0,15,0,0,0,0,mappable,Keep fetching; this sport/market currently maps into Polymarket tokens.
2026-07-07T14:48:24Z,2026-07-07T14:55:33Z,soccer_fifa_world_cup_winner,outrights,10,10,1.0,0,0,0,10,0,0,0,mappable,Keep fetching; this sport/market currently maps into Polymarket tokens.
2026-07-07T15:28:56Z,2026-07-07T15:35:20Z,baseball_mlb_world_series_winner,outrights,30,0,0.0,0,0,0,0,0,30,7,no_mappable_market,Recommendation only: consider trimming this sport/market from sharp_odds_fetch unless a new Polymarket market appears.
2026-07-07T15:28:56Z,2026-07-07T15:35:20Z,basketball_nba_championship_winner,outrights,0,0,,0,0,0,0,0,0,0,collecting_coverage_evidence,No fetched rows this run; keep collecting before trimming.
2026-07-07T15:28:56Z,2026-07-07T15:35:20Z,soccer_fifa_world_cup,h2h,15,15,1.0,0,0,15,0,0,0,0,mappable,Keep fetching; this sport/market currently maps into Polymarket tokens.
2026-07-07T15:28:56Z,2026-07-07T15:35:20Z,soccer_fifa_world_cup_winner,outrights,10,10,1.0,0,0,0,10,0,0,0,mappable,Keep fetching; this sport/market currently maps into Polymarket tokens.
2026-07-07T15:46:32Z,2026-07-07T15:50:40Z,baseball_mlb_world_series_winner,outrights,30,0,0.0,0,0,0,0,0,30,8,no_mappable_market,Recommendation only: consider trimming this sport/market from sharp_odds_fetch unless a new Polymarket market appears.
2026-07-07T15:46:32Z,2026-07-07T15:50:40Z,basketball_nba_championship_winner,outrights,0,0,,0,0,0,0,0,0,0,collecting_coverage_evidence,No fetched rows this run; keep collecting before trimming.
2026-07-07T15:46:32Z,2026-07-07T15:50:40Z,soccer_fifa_world_cup,h2h,15,15,1.0,0,0,15,0,0,0,0,mappable,Keep fetching; this sport/market currently maps into Polymarket tokens.
2026-07-07T15:46:32Z,2026-07-07T15:50:40Z,soccer_fifa_world_cup_winner,outrights,10,10,1.0,0,0,0,10,0,0,0,mappable,Keep fetching; this sport/market currently maps into Polymarket tokens.
2026-07-07T17:31:30Z,2026-07-07T17:58:48Z,baseball_mlb_world_series_winner,outrights,30,0,0.0,0,0,0,0,0,30,9,no_mappable_market,Recommendation only: consider trimming this sport/market from sharp_odds_fetch unless a new Polymarket market appears.
2026-07-07T17:31:30Z,2026-07-07T17:58:48Z,basketball_nba_championship_winner,outrights,0,0,,0,0,0,0,0,0,0,collecting_coverage_evidence,No fetched rows this run; keep collecting before trimming.
2026-07-07T17:31:30Z,2026-07-07T17:58:48Z,soccer_fifa_world_cup,h2h,15,15,1.0,0,0,15,0,0,0,0,mappable,Keep fetching; this sport/market currently maps into Polymarket tokens.
2026-07-07T17:31:30Z,2026-07-07T17:58:48Z,soccer_fifa_world_cup_winner,outrights,10,10,1.0,0,0,0,10,0,0,0,mappable,Keep fetching; this sport/market currently maps into Polymarket tokens.
