signal_cohort,buy_fills,sell_fills,open_positions,total_buy_cost_usdc,sell_proceeds_usdc,open_mark_value_usdc,open_cost_basis_usdc,paper_first_observed_at,paper_latest_observed_at,paper_buy_fills,paper_total_pnl_usdc,paper_elapsed_hours,paper_monthly_run_rate_usdc,total_pnl_usdc,roi,shadow_fills,shadow_sell_fills,shadow_open_positions,shadow_total_buy_cost_usdc,shadow_open_mark_value_usdc,shadow_total_pnl_usdc,shadow_roi,shadow_monthly_run_rate_usdc,evidence_elapsed_hours,settled_fills,monthly_run_rate_usdc,promotion_readiness,promotion_ready_score,promotion_ready_checks,promotion_evidence_source,metadata_valid,metadata_blocker,promoted,probationary,probationary_max_stake_usdc,promotion_reason,raw_paper_buy_fills,raw_paper_sell_fills,raw_paper_total_pnl_usdc,raw_paper_monthly_run_rate_usdc,paper_audit_round_trips,paper_audited_round_trips,paper_quote_conflict_round_trips,paper_quote_unverified_round_trips,paper_audited_pnl_usdc,paper_audited_stake_usdc,paper_audit_first_observed_at,paper_audit_latest_observed_at,paper_audited_roi,paper_audited_elapsed_hours,paper_audited_monthly_run_rate_usdc,paper_audit_blocker
ai_model_leader,12,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,4.833944319238441,0.040282869326987006,12,12,0,120.0,0.0,4.833944319238441,0.040282869326987006,3.94857908411263,881.4411046872222,12,3.94857908411263,"{""fills_remaining"": 0, ""monthly_run_rate_remaining_usdc"": 16.05142091588737, ""pnl_remaining_usdc"": 0.0, ""roi_remaining"": 0.0, ""settled_fills_remaining"": 0, ""tracking_hours_remaining"": 0.0}",5,6,shadow,True,,False,False,0.0,"needs >= 5 evidence fills, >= 3 settled fills, P&L > 0.00, ROI >= 3.00%, evidence age >= 2.0h, and monthly run-rate >= 20.00",,,,,,,,,,,,,,,,
baseball_mlb_match,5,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,-6.9667284152410005,-0.13933456830482002,5,5,0,50.0,0.0,-6.9667284152410005,-0.13933456830482002,-5.508617412494328,910.5813824705556,5,0.0,"{""fills_remaining"": 0, ""monthly_run_rate_remaining_usdc"": 20.0, ""pnl_remaining_usdc"": 6.9667284152410005, ""roi_remaining"": 0.16933456830482002, ""settled_fills_remaining"": 0, ""tracking_hours_remaining"": 0.0}",3,6,shadow,True,,False,False,0.0,"needs >= 5 evidence fills, >= 3 settled fills, P&L > 0.00, ROI >= 3.00%, evidence age >= 2.0h, and monthly run-rate >= 20.00",,,,,,,,,,,,,,,,
basketball_nba_match,4,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,-13.423605389707088,-0.3355901347426772,4,4,0,40.0,0.0,-13.423605389707088,-0.3355901347426772,-11.757330490019518,822.0399935841666,4,0.0,"{""fills_remaining"": 1, ""monthly_run_rate_remaining_usdc"": 20.0, ""pnl_remaining_usdc"": 13.423605389707088, ""roi_remaining"": 0.3655901347426772, ""settled_fills_remaining"": 0, ""tracking_hours_remaining"": 0.0}",2,6,shadow,True,,False,False,0.0,"needs >= 5 evidence fills, >= 3 settled fills, P&L > 0.00, ROI >= 3.00%, evidence age >= 2.0h, and monthly run-rate >= 20.00",,,,,,,,,,,,,,,,
crypto,22,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,-7.5952802803099075,-0.03452400127413594,22,22,0,220.0,0.0,-7.5952802803099075,-0.03452400127413594,-5.469239914887743,999.8833269197222,22,0.0,"{""fills_remaining"": 0, ""monthly_run_rate_remaining_usdc"": 20.0, ""pnl_remaining_usdc"": 7.5952802803099075, ""roi_remaining"": 0.06452400127413593, ""settled_fills_remaining"": 0, ""tracking_hours_remaining"": 0.0}",3,6,shadow,True,,False,False,0.0,"needs >= 5 evidence fills, >= 3 settled fills, P&L > 0.00, ROI >= 3.00%, evidence age >= 2.0h, and monthly run-rate >= 20.00",,,,,,,,,,,,,,,,
crypto_btc_updown_event,3,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,-4.988475177304963,-0.16628250591016544,3,3,0,30.0,0.0,-4.988475177304963,-0.16628250591016544,-2.9616871252236687,1212.7216602552778,3,0.0,"{""fills_remaining"": 2, ""monthly_run_rate_remaining_usdc"": 20.0, ""pnl_remaining_usdc"": 4.988475177304963, ""roi_remaining"": 0.19628250591016544, ""settled_fills_remaining"": 0, ""tracking_hours_remaining"": 0.0}",2,6,shadow,True,,False,False,0.0,"needs >= 5 evidence fills, >= 3 settled fills, P&L > 0.00, ROI >= 3.00%, evidence age >= 2.0h, and monthly run-rate >= 20.00",,,,,,,,,,,,,,,,
crypto_eth_updown_15m,1,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,-9.99997435897436,-0.999997435897436,1,0,1,10.0,2.5641025641025636e-05,-9.99997435897436,-0.999997435897436,-5.962602442470572,1207.5233269241667,0,0.0,"{""fills_remaining"": 4, ""monthly_run_rate_remaining_usdc"": 20.0, ""pnl_remaining_usdc"": 9.99997435897436, ""roi_remaining"": 1.029997435897436, ""settled_fills_remaining"": 3, ""tracking_hours_remaining"": 0.0}",1,6,shadow,True,,False,False,0.0,"needs >= 5 evidence fills, >= 3 settled fills, P&L > 0.00, ROI >= 3.00%, evidence age >= 2.0h, and monthly run-rate >= 20.00",,,,,,,,,,,,,,,,
crypto_eth_updown_event,4,2,0,4.0,4.186579378068739,0.0,0.0,2026-07-01T16:37:22Z,2026-07-01T16:41:27Z,2,0.1865793780687397,0.06805555555555555,1973.9336651190747,-1.6728100761403255,-0.06970041983918022,2,2,0,20.0,0.0,-1.8593894542090652,-0.09296947271045326,-1.1068366331108817,1209.5374935930556,4,1973.9336651190747,"{""fills_remaining"": 1, ""monthly_run_rate_remaining_usdc"": 0.0, ""pnl_remaining_usdc"": 1.6728100761403255, ""roi_remaining"": 0.09970041983918022, ""settled_fills_remaining"": 0, ""tracking_hours_remaining"": 0.0}",3,6,paper_plus_shadow,True,,False,False,0.0,"needs >= 5 evidence fills, >= 3 settled fills, P&L > 0.00, ROI >= 3.00%, evidence age >= 2.0h, and monthly run-rate >= 20.00",2,2,0.18657937806873903,1973.9336651190679,2,2,0,0,0.1865793780687397,4.0,2026-07-01T16:37:22Z,2026-07-01T16:41:27Z,0.046644844517184925,0.06805555555555555,1973.9336651190747,
crypto_xrp_updown_event,3,0,0,0.0,0.7777777777777778,0.0,0.0,2026-07-01T13:21:36Z,2026-07-01T13:21:43Z,0,0.0,0.0,0.0,4.640243902439025,0.1546747967479675,3,3,0,30.0,0.0,4.640243902439025,0.1546747967479675,2.75497739526818,1212.7052713727778,3,2.75497739526818,"{""fills_remaining"": 2, ""monthly_run_rate_remaining_usdc"": 17.24502260473182, ""pnl_remaining_usdc"": 0.0, ""roi_remaining"": 0.0, ""settled_fills_remaining"": 0, ""tracking_hours_remaining"": 0.0}",4,6,shadow,False,paper_quotes_unverified_by_snapshot,False,False,0.0,metadata/audit invalid: paper_quotes_unverified_by_snapshot,1,1,-1.2222222222222219,-52799.999999999985,1,0,0,1,0.0,0.0,,,0.0,0.0,0.0,paper_quotes_unverified_by_snapshot
equities_macro,4,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,-2.4051073131955505,-0.060127682829888764,4,4,0,40.0,0.0,-2.4051073131955505,-0.060127682829888764,-1.9473896269451294,889.2299935972222,4,0.0,"{""fills_remaining"": 1, ""monthly_run_rate_remaining_usdc"": 20.0, ""pnl_remaining_usdc"": 2.4051073131955505, ""roi_remaining"": 0.09012768282988876, ""settled_fills_remaining"": 0, ""tracking_hours_remaining"": 0.0}",2,6,shadow,True,,False,False,0.0,"needs >= 5 evidence fills, >= 3 settled fills, P&L > 0.00, ROI >= 3.00%, evidence age >= 2.0h, and monthly run-rate >= 20.00",,,,,,,,,,,,,,,,
esports_match,6,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,-10.41550046069284,-0.17359167434488068,6,6,0,60.0,0.0,-10.41550046069284,-0.17359167434488068,-6.6403819156523545,1129.326660266111,6,0.0,"{""fills_remaining"": 0, ""monthly_run_rate_remaining_usdc"": 20.0, ""pnl_remaining_usdc"": 10.41550046069284, ""roi_remaining"": 0.20359167434488068, ""settled_fills_remaining"": 0, ""tracking_hours_remaining"": 0.0}",3,6,shadow,True,,False,False,0.0,"needs >= 5 evidence fills, >= 3 settled fills, P&L > 0.00, ROI >= 3.00%, evidence age >= 2.0h, and monthly run-rate >= 20.00",,,,,,,,,,,,,,,,
