shadow_fill_id,shadow_position_id,created_at,side,market_id,token_id,market_slug,question,category,correlation_key,signal_cohort,shadow_source,price,quantity,gross_notional_usdc,reason
shadow_fill_5b9b3034f14c86285c5c1fa2,shadow_position_9ed9e5bd9e862fee9b00d1ec,2026-07-01T12:33:00Z,BUY_SHADOW,0x1336cdb5c954e541480b6b3d241d299bce0d209ce725007cd7448b1530a8854b,51286356739900665958517218755996001284098353481701052787607366451031876880511,bitcoin-above-58k-on-july-1-2026,"Will the price of Bitcoin be above $58,000 on July 1?",crypto,0x1336cdb5c954e541480b6b3d241d299bce0d209ce725007cd7448b1530a8854b,near_miss_learning|crypto,near_miss_learning,0.23,43.47826086956522,10.0,shadow_entry
shadow_fill_14ac4bd65d2278a8c7c2c1d6,shadow_position_46961e07f39ab766e5377d2f,2026-07-01T12:35:56Z,BUY_SHADOW,0x068e9ab22d0907e2994ce08907beeec97120fc79decbc8d43a7232edfc78dc3a,47581385012550991085148829829464385589071738906241215245717526584676231898767,0x068e9ab22d0907e2994ce08907beeec97120fc79decbc8d43a7232edfc78dc3a,,unknown,0x068e9ab22d0907e2994ce08907beeec97120fc79decbc8d43a7232edfc78dc3a,near_miss_learning|unknown,near_miss_learning,0.5,20.0,10.0,shadow_entry
shadow_fill_70ab53d8164fe32e6414fb24,shadow_position_2d1ce234ad56e372e9088e4c,2026-07-01T12:38:44Z,BUY_SHADOW,0x1a64843d427607b164ea18493a30066de60f10abbbdc559066be494528378886,101210529767768522109521013327011182791765840362085947967089633962337103758101,0x1a64843d427607b164ea18493a30066de60f10abbbdc559066be494528378886,,unknown,0x1a64843d427607b164ea18493a30066de60f10abbbdc559066be494528378886,near_miss_learning|unknown,near_miss_learning,0.469,21.321961620469086,10.0,shadow_entry
shadow_fill_fe2ee9c6ba26da569997e518,shadow_position_9ed9e5bd9e862fee9b00d1ec,2026-07-01T12:48:34Z,SELL_SHADOW,0x1336cdb5c954e541480b6b3d241d299bce0d209ce725007cd7448b1530a8854b,51286356739900665958517218755996001284098353481701052787607366451031876880511,bitcoin-above-58k-on-july-1-2026,"Will the price of Bitcoin be above $58,000 on July 1?",crypto,0x1336cdb5c954e541480b6b3d241d299bce0d209ce725007cd7448b1530a8854b,near_miss_learning|crypto,near_miss_learning,0.29,43.47826086956522,12.608695652173912,shadow_take_profit
shadow_fill_3128fb179cc71f0c94fcee70,shadow_position_7b50bea5be3fad10b9236535,2026-07-01T12:56:52Z,BUY_SHADOW,0x024b68f77bfc019341ee3db8f57c103334e4b9430bba4746d8c94aafd8b36fee,9894510651052373088408067031031513212801618531203062911959630395716258202132,will-bitcoin-dip-to-45000-by-december-31-2026-674-923-755-971-998-525-926-245-316-517-544-589-965-923-986-841-815-224-586-231-289-533,"Will Bitcoin dip to $45,000 by December 31, 2026?",crypto,0x024b68f77bfc019341ee3db8f57c103334e4b9430bba4746d8c94aafd8b36fee,near_miss_learning|crypto,near_miss_learning,0.45,22.22222222222222,10.0,shadow_entry
shadow_fill_76fb24a6fe847ab48d06e632,shadow_position_b36a50db728a3d199d2b7cc9,2026-07-01T13:01:02Z,BUY_SHADOW,0xf4db0ac1fe6fdf723307cf8f7ed3b8b35e7b7ab1409c3672f3bd7cea154cb5f9,15133965731545014374900920914914504425237364675649508262471768181374994898591,ethereum-up-or-down-on-july-1-2026,Ethereum Up or Down on July 1?,crypto,0xf4db0ac1fe6fdf723307cf8f7ed3b8b35e7b7ab1409c3672f3bd7cea154cb5f9,exploratory_crypto_updown_live_model|crypto_eth_updown_daily|outcome=up,shadow_trade_candidate,0.59,16.949152542372882,10.0,shadow_entry
shadow_fill_bc2442dc7a72e4f7dd4687ed,shadow_position_46961e07f39ab766e5377d2f,2026-07-01T13:01:34Z,SELL_SHADOW,0x068e9ab22d0907e2994ce08907beeec97120fc79decbc8d43a7232edfc78dc3a,47581385012550991085148829829464385589071738906241215245717526584676231898767,0x068e9ab22d0907e2994ce08907beeec97120fc79decbc8d43a7232edfc78dc3a,,unknown,0x068e9ab22d0907e2994ce08907beeec97120fc79decbc8d43a7232edfc78dc3a,near_miss_learning|unknown,near_miss_learning,0.67,20.0,13.4,shadow_take_profit
shadow_fill_2eefd7425373ef9753a8a9fd,shadow_position_1cd766c15bf7bfcd260cfd07,2026-07-01T13:07:21Z,BUY_SHADOW,0xf4db0ac1fe6fdf723307cf8f7ed3b8b35e7b7ab1409c3672f3bd7cea154cb5f9,88573568753972843609233782544263688613192447059515439195026030115855631852457,0xf4db0ac1fe6fdf723307cf8f7ed3b8b35e7b7ab1409c3672f3bd7cea154cb5f9,,unknown,0xf4db0ac1fe6fdf723307cf8f7ed3b8b35e7b7ab1409c3672f3bd7cea154cb5f9,near_miss_learning|unknown,near_miss_learning,0.41,24.390243902439025,10.0,shadow_entry
shadow_fill_1e1b0e2aef66ba6f9fe24aa2,shadow_position_b459988dbebc646e26d8b061,2026-07-01T13:16:44Z,BUY_SHADOW,0x068e9ab22d0907e2994ce08907beeec97120fc79decbc8d43a7232edfc78dc3a,62491181956793915949619523167742425136466075088627377767605544091350002944371,bitcoin-up-or-down-on-july-1-2026,Bitcoin Up or Down on July 1?,crypto_btc_updown_event,0x068e9ab22d0907e2994ce08907beeec97120fc79decbc8d43a7232edfc78dc3a,crypto_btc_updown_event,shadow_trade_candidate,0.35,28.571428571428573,10.0,shadow_entry
shadow_fill_f4f97914be965cba3271508c,shadow_position_749a1b3182070b4d3081a0f8,2026-07-01T13:17:43Z,BUY_SHADOW,0xc235835f1be1bc5ce119a22a749191f23acad7045f5af851ad999e8b3db600d2,103969164718474111862121182153244985315866224399425867264746795676895650391952,xrp-up-or-down-on-july-1-2026,XRP Up or Down on July 1?,crypto_xrp_updown_event,0xc235835f1be1bc5ce119a22a749191f23acad7045f5af851ad999e8b3db600d2,crypto_xrp_updown_event,shadow_trade_candidate,0.25,40.0,10.0,shadow_entry
