snapshot_date,snapshot_at_utc,wallet,rank,pnl,volume,raw_window,raw_rank_type,raw_offset
2026-08-19,2026-08-19T02:52:38Z,0x204f72f35326db932158cba6adff0b9a1da95e14,1,23599464.01924008,1818324275.558858,ALL,PNL,0
2026-08-19,2026-08-19T02:52:38Z,0x56687bf447db6ffa42ffe2204a05edaa20f55839,2,22053933.752321757,43065779.86288799,ALL,PNL,0
2026-08-19,2026-08-19T02:52:38Z,0x1f2dd6d473f3e824cd2f8a89d9c69fb96f6ad0cf,3,16619506.631730152,76615700.94724603,ALL,PNL,0
2026-08-19,2026-08-19T02:52:38Z,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,4,12751996.60946758,1079066595.7930849,ALL,PNL,0
2026-08-19,2026-08-19T02:52:38Z,0x6a72f61820b26b1fe4d956e17b6dc2a1ea3033ee,5,11386690.875513867,298637138.564484,ALL,PNL,0
2026-08-19,2026-08-19T02:52:38Z,0x96cfcb0c30942cfcd1cdf76c7d408794d66b1acb,6,9238344.623224001,17759922.232853003,ALL,PNL,0
2026-08-19,2026-08-19T02:52:38Z,0xed64a7bf029040aa331abc87902434d815ef217d,7,9063378.176199999,13281460.374667995,ALL,PNL,0
2026-08-19,2026-08-19T02:52:38Z,0xbc11a64ab34a03a043fbe80598fa065ee87eeec6,8,8928561.11799,23091318.15574806,ALL,PNL,0
2026-08-19,2026-08-19T02:52:38Z,0x2c335066fe58fe9237c3d3dc7b275c2a034a0563,9,8900049.600230921,909629759.152186,ALL,PNL,0
2026-08-19,2026-08-19T02:52:38Z,0x78b9ac44a6d7d7a076c14e0ad518b301b63c6b76,10,8709972.988069998,16402744.764627,ALL,PNL,0
2026-08-19,2026-08-19T02:52:38Z,0x664ce9fb97ae1bbd538d7381b2f4e92dab16f49c,11,8474966.272470918,19001698.927902,ALL,PNL,0
2026-08-19,2026-08-19T02:52:38Z,0x09b428f7c2b469786286214aa5c90dd9015f7320,12,8052184.542897382,72132442.51950999,ALL,PNL,0
2026-08-19,2026-08-19T02:52:38Z,0xd235973291b2b75ff4070e9c0b01728c520b0f29,13,7807265.589240883,47857879.86885198,ALL,PNL,0
2026-08-19,2026-08-19T02:52:38Z,0x3f87d51f27ba6e19ec52aaeebb68559a839c742c,14,7602742.057861,13603969.275332002,ALL,PNL,0
2026-08-19,2026-08-19T02:52:38Z,0x863134d00841b2e200492805a01e1e2f5defaa53,15,7532409.671579,13983231.103425,ALL,PNL,0
2026-08-19,2026-08-19T02:52:38Z,0x5e4c3b5b81171e2ca4ab776ac0d6bba787f9dba2,16,7409836.65260974,26282164.742855996,ALL,PNL,0
